date,state,parlimen,parliament_code,parliament_name,dun,dun_code,dun_name,sex,age,ethnicity,population
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.01 Chennah,N.01,Chennah,both,overall,overall,16.361
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.01 Chennah,N.01,Chennah,both,overall,citizen,15.269
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.01 Chennah,N.01,Chennah,both,overall,noncitizen,1.092
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.01 Chennah,N.01,Chennah,female,overall,overall,7.141
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.01 Chennah,N.01,Chennah,male,overall,overall,9.22
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.02 Pertang,N.02,Pertang,both,overall,overall,11.054
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.02 Pertang,N.02,Pertang,both,overall,citizen,10.421
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.02 Pertang,N.02,Pertang,both,overall,noncitizen,0.633
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.02 Pertang,N.02,Pertang,female,overall,overall,5.029
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.02 Pertang,N.02,Pertang,male,overall,overall,6.025
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.03 Sungai Lui,N.03,Sungai Lui,both,overall,overall,18.147
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.03 Sungai Lui,N.03,Sungai Lui,both,overall,citizen,17.596
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.03 Sungai Lui,N.03,Sungai Lui,both,overall,noncitizen,0.551
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.03 Sungai Lui,N.03,Sungai Lui,female,overall,overall,8.781
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.03 Sungai Lui,N.03,Sungai Lui,male,overall,overall,9.366
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.04 Klawang,N.04,Klawang,both,overall,overall,18.638
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.04 Klawang,N.04,Klawang,both,overall,citizen,17.461
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.04 Klawang,N.04,Klawang,both,overall,noncitizen,1.177
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.04 Klawang,N.04,Klawang,female,overall,overall,8.853
2020-01-01,Negeri Sembilan,P.126 Jelebu,P.126,Jelebu,N.04 Klawang,N.04,Klawang,male,overall,overall,9.785
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.05 Serting,N.05,Serting,both,overall,overall,28.943
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.05 Serting,N.05,Serting,both,overall,citizen,27.862
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.05 Serting,N.05,Serting,both,overall,noncitizen,1.081
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.05 Serting,N.05,Serting,female,overall,overall,13.831
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.05 Serting,N.05,Serting,male,overall,overall,15.112
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.06 Palong,N.06,Palong,both,overall,overall,22.726
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.06 Palong,N.06,Palong,both,overall,citizen,21.881
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.06 Palong,N.06,Palong,both,overall,noncitizen,0.845
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.06 Palong,N.06,Palong,female,overall,overall,10.873
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.06 Palong,N.06,Palong,male,overall,overall,11.853
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.07 Jeram Padang,N.07,Jeram Padang,both,overall,overall,24.692
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.07 Jeram Padang,N.07,Jeram Padang,both,overall,citizen,22.152
2020-01-01,Negeri Sembilan,P.127 Jempol,P.127,Jempol,N.07 Jeram Padang,N.07,Jeram Padang,both,overall,noncitizen,2.54
