Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
facebook,post,1413876584104594,"As Hadi makes room for Hamzah, should Bersatu stay or leave PN?

Does Bersatu still want to be PAS’s main partner in Perikatan Nasional, or move on to Muhyiddin Yassin’s loose Ikatan Prihatin Rakyat coalition?

#FMTOpinions #FacebookWatch",https://www.facebook.com/reel/761547810301745/,,,neutral,,0,0,0,0,0.5,0,0.0,,,neutral,0.9359498620033264,english,Mixed/Urban,love,0.06609195470809937,0.035743143409490585,0.1942800134420395,0.03135239705443382,0.4686296880245209,0.02830195613205433
facebook,post,1334506395374947,"#FMTNews Bersatu veep says screenshot of alleged WhatsApp messages are fake, and the work of those who recently left or were sacked from the party.",https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,,,negative,,0,0,0,0,0.08924365639686585,0,0.0,,,negative,0.7025211453437805,english,Mixed/Urban,anger,0.3324355185031891,0.16664129495620728,0.08454925566911697,0.09546025097370148,0.03112548030912876,0.07691610604524612
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3XzEyMTA3ODY0NjEyNjQ5MTg=,"A cancer like pesky weeds will eventually die off when there is nothing more to feed off or when the host dies.
I think those who wish for a genuine renewal will be OK with either outcome.",,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,negative,2026-02-21 04:57:13+00:00,1,0,0,0,0.14750749468803406,1,,Danny Wan,0.0,negative,0.5083083510398865,english,Mixed/Urban,happy,0.056739967316389084,0.18099410831928253,0.5329372882843018,0.05131232738494873,0.12448643893003464,0.02727358601987362
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3Xzc4NzgxMzA4NzY5NjU0OA==,Y so afraid of PAST?,,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,negative,2026-02-21 04:45:29+00:00,0,0,0,0,0.13334214091300964,0,,Loy Boon Hor,0.0,negative,0.5555261969566345,english,Mixed/Urban,anger,0.518663227558136,0.13371461629867554,0.11058679968118668,0.047831930220127106,0.0706479474902153,0.0473666749894619
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3XzE5MjI4NzE2MDE2NTc3ODk=,Let the fight continue 😁,,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,neutral,2026-02-21 04:13:36+00:00,1,0,0,0,0.5,1,,Marcus Loh,0.0,neutral,0.820574939250946,english,Mixed/Urban,no_clear_emotion,0.14590471982955933,0.0914747565984726,0.15372757613658905,0.06636103987693787,0.20296911895275116,0.05828126147389412
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3XzEyMzEzNDIyMzkwNjQ5ODg=,"Can't even stay together, how to rule 1 Malaysia. Payong sudah bocor..",,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,negative,2026-02-21 05:19:45+00:00,0,0,0,0,0.04691106677055357,0,,Harry Singh,0.0,negative,0.843629777431488,english,Mixed/Urban,fear,0.03107738308608532,0.8502398729324341,0.01850600726902485,0.026724493131041527,0.023065796121954918,0.03768708184361458
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3XzkyMDMyMTU2NzE1MjQ0OQ==,"What a broken family, brothers fighting among themselves 🤪😎",,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,negative,2026-02-21 04:49:29+00:00,0,0,0,0,0.042062026262283336,0,,WK Kong,0.0,negative,0.8597932457923889,english,Mixed/Urban,sadness,0.0327005460858345,0.0346703864634037,0.01046183705329895,0.8737825751304626,0.019801750779151917,0.014621991664171219
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3XzE5MTAxMjAxODI5NjMyMzA=,Dah isap 'balak' ke belum?,,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,neutral,2026-02-21 05:37:50+00:00,0,0,0,0,0.5,0,,Nick LW,0.0,neutral,0.8943255543708801,english,Mixed/Urban,surprise,0.007763401139527559,0.038392603397369385,0.014619692228734493,0.023822464048862457,0.022483790293335915,0.843336820602417
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3Xzk0MTQ0MTEzMTkyMDk5MQ==,Dare you to sue if messages is fake 👎,,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,negative,2026-02-21 05:46:17+00:00,0,0,0,0,0.039682137966155995,0,,Raymond Loong,0.0,negative,0.86772620677948,english,Mixed/Urban,anger,0.4105933606624603,0.023229412734508514,0.046743277460336685,0.0689840018749237,0.2058388590812683,0.023319680243730545
facebook,comment,Y29tbWVudDoxMzM0NTA2Mzk1Mzc0OTQ3Xzc2MjI3NzEyOTkwNjM2Mg==,Yb peja,,https://www.facebook.com/freemalaysiatoday/posts/pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,pfbid02JHtNrzCjN35XatV4hRHnNwsskDLLzwmoxyu4S7AXRPjdr7CKBKm5jYyzSYhzizP8l,neutral,2026-02-21 05:34:10+00:00,0,0,0,0,0.5,0,,Michael J Gindau,0.0,neutral,0.44720327854156494,multilingual,Unknown,love,0.19056278467178345,0.09684618562459946,0.13211672008037567,0.06985212117433548,0.30365195870399475,0.061476632952690125
