Entity_from_Post,Matched_Borrower,Account,Loan_Amount,Match_Score,Platform,Emotion,Risk_Level,Action,Source_URL
Syarikat & Jenama,Syarikat Logistik Azmi Express,SME-015-2023,"RM 320,000",70%,FACEBOOK,no_clear_emotion,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/kimmie.abdullah/posts/pfbid0Vskg15Yi3CCvr1kg7xAgBbE9JBZb6aXaBLyBFXyLBeW1zUwqrx9zDDX4DUUJzPaEl
Now It'S All About Enterprise,Catering Zainab Enterprise KL,SME-006-2023,"RM 38,000",62%,INSTAGRAM,no_clear_emotion,🟠 MEDIUM,Review dalam 72 jam,https://www.instagram.com/p/DYZcUeBAuW3/
Enterprise Ai,Catering Zainab Enterprise KL,SME-006-2023,"RM 38,000",87%,INSTAGRAM,no_clear_emotion,🔴 HIGH,Hubungi dalam 24 jam,https://www.instagram.com/p/DYZcUeBAuW3/
Kedai Nya,Kedai Runcit Hassan Maju,SME-012-2024,"RM 45,000",71%,X,love,🟠 MEDIUM,Review dalam 72 jam,https://x.com/KapudS640/status/2063589926827167956
Restoran Pula Sebab Ramai Yang,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",65%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/
Restoran Pula Sebab Ramai Yang Lalui Restoran Tap,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/
Restoran Kami Nak Belanja Sesiapa Yang Dine In Ke,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/
Restoran Kami,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",76%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/
Restoran Kami Nak Belanja Sesiapa,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",68%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/
Kedai Ni,Kedai Runcit Hassan Maju,SME-012-2024,"RM 45,000",77%,FACEBOOK,no_clear_emotion,🟠 MEDIUM,Review dalam 72 jam,
Restoran Maria,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",73%,FACEBOOK,surprise,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/groups/537561969718275/posts/3376135725860871/
Kedai Makan,Kedai Runcit Hassan Maju,SME-012-2024,"RM 45,000",62%,FACEBOOK,sadness,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/sist.rien.5/posts/pfbid0xiKrYwRZvkCib7grQHRDAATR6ZjmHKfJ8p5Z19g4asQkzjHT8neEyyoL9R23cgY7l
Restoran Ini,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",80%,FACEBOOK,sadness,🔴 HIGH,Hubungi dalam 24 jam,https://www.facebook.com/sist.rien.5/posts/pfbid0xiKrYwRZvkCib7grQHRDAATR6ZjmHKfJ8p5Z19g4asQkzjHT8neEyyoL9R23cgY7l
Restoran Ni Kerja,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,FACEBOOK,love,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/RumpunSeleraHQ/posts/pfbid0xcsAr3KwMGVuRwdKyN3LjQSHfKvRay54XHRBwKSQEco9SiXjBSZhYo6omZ8re2gJl
Restoran Lain,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",76%,FACEBOOK,love,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/norman.radzuan/posts/pfbid02HoHC6R4HixodUFN4i5KipGdZvYZVtTDtJ7rHCMSMnQRA6G89hGvUdh5Fr6DemDuZl
Restoran Tersebut,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,FACEBOOK,love,🟠 MEDIUM,Review dalam 72 jam,https://www.facebook.com/norman.radzuan/posts/pfbid02HoHC6R4HixodUFN4i5KipGdZvYZVtTDtJ7rHCMSMnQRA6G89hGvUdh5Fr6DemDuZl
Restoran Halal Ni,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,X,surprise,🟠 MEDIUM,Review dalam 72 jam,https://x.com/asrulmm/status/2063510071779205562
Restoran Turki Tepi Jalan Yang,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",62%,X,surprise,🟠 MEDIUM,Review dalam 72 jam,https://x.com/asrulmm/status/2063510071779205562
Restoran Ni Dah La Pasang,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",67%,X,anger,🟠 MEDIUM,Review dalam 72 jam,https://x.com/cheajibsayang/status/1812810879735599335
Restoran Ni Tutup,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,X,sadness,🟠 MEDIUM,Review dalam 72 jam,https://x.com/mynewshub/status/1835249278979358855
Restoran Depa Ni,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",67%,X,sadness,🟠 MEDIUM,Review dalam 72 jam,https://x.com/mynewshub/status/1835249278979358855
Restoran Kena Pajak,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",63%,X,no_clear_emotion,🟠 MEDIUM,Review dalam 72 jam,https://x.com/ardisatriawan/status/1792133083204132947
Restoran Time Mco,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",64%,X,surprise,🟠 MEDIUM,Review dalam 72 jam,https://x.com/khairi_ksn/status/1350412034525941762
Restoran Pakcik Tu Kena Viral,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",62%,X,sadness,🟠 MEDIUM,Review dalam 72 jam,https://x.com/HilalAsyraf/status/1690290877330321408
Kedai Itu,Kedai Runcit Hassan Maju,SME-012-2024,"RM 45,000",71%,X,sadness,🟠 MEDIUM,Review dalam 72 jam,https://x.com/HilalAsyraf/status/1690290877330321408
Restoran Kfc,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",80%,X,anger,🔴 HIGH,Hubungi dalam 24 jam,https://x.com/syafush/status/1508621015340896258
Restoran Tak Ada,Restoran Nasi Lemak Pak Wan Setapak,SME-001-2024,"RM 85,000",67%,X,anger,🟠 MEDIUM,Review dalam 72 jam,https://x.com/mohd_famy/status/1401496912436490245
