Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
Instagram,IGTV,INSTAGRAM001,Just tried kb sentral - amazing quality and value!,positive,2026-04-21,156,46,24,1570,0.9950533628463745,226,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Instagram,Reel,INSTAGRAM002,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-03,113,20,10,1288,0.9912310719490051,143,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,Story,INSTAGRAM003,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-04-25,165,44,25,1437,0.9966606855392455,234,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
Instagram,IGTV,INSTAGRAM004,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-17,294,78,23,2728,0.9912310719490051,395,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,IGTV,INSTAGRAM005,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-03-30,249,33,19,1261,0.9966606855392455,301,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
Instagram,Reel,INSTAGRAM006,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-24,137,13,10,781,0.9912310719490051,160,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,IGTV,INSTAGRAM007,Just tried kb sentral - amazing quality and value!,positive,2026-03-27,349,45,26,2597,0.9950533628463745,420,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Instagram,IGTV,INSTAGRAM008,Just tried kb sentral - amazing quality and value!,positive,2026-04-18,160,30,10,1529,0.9950533628463745,200,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Instagram,Video,INSTAGRAM009,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-08,302,72,22,3829,0.9912310719490051,396,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,Story,INSTAGRAM010,Just tried kb sentral - amazing quality and value!,positive,2026-04-07,169,18,16,868,0.9950533628463745,203,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Instagram,Story,INSTAGRAM011,kb sentral in Malaysia is really good. Worth trying!,positive,2026-04-11,214,22,31,2538,0.9912310719490051,267,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,IGTV,INSTAGRAM012,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-04-13,228,61,14,2419,0.9966606855392455,303,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
Instagram,Story,INSTAGRAM013,kb sentral in Malaysia is really good. Worth trying!,positive,2026-03-27,180,34,33,1195,0.9912310719490051,247,positive,0.9707702398300171,english,Mixed/Urban,love,0.04307118058204651,0.037561751902103424,0.33294859528541565,0.015829207375645638,0.49866682291030884,0.025572992861270905
Instagram,IGTV,INSTAGRAM014,Just tried kb sentral - amazing quality and value!,positive,2026-03-30,327,37,21,4795,0.9950533628463745,385,positive,0.983511209487915,english,Mixed/Urban,surprise,0.01109373290091753,0.06599963456392288,0.08643662929534912,0.019290896132588387,0.027323933318257332,0.7400354743003845
Instagram,IGTV,INSTAGRAM015,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-04-20,377,50,69,3634,0.9966606855392455,496,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
Instagram,IGTV,INSTAGRAM016,Great experience with kb sentral! Highly recommended in Malaysia.,positive,2026-04-01,176,49,26,1407,0.9966606855392455,251,positive,0.9888689517974854,english,Mixed/Urban,happy,0.026923473924398422,0.020470082759857178,0.4887601435184479,0.010533240623772144,0.3882926106452942,0.024509040638804436
