Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
threads,post,3672619307927917954,,https://www.threads.com/@asyraffzack/post/DL3w81cSNWC,neutral,2026-05-28 18:40:30.391723,914,0,0,0,0.5,914,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3685104322171748479,,https://www.threads.com/@ridzzychanduri/post/DMkHttDTcB_,neutral,2026-05-28 18:40:30.392040,1205,0,0,0,0.5,1205,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3838042000436931829,,https://www.threads.com/@aizuddin.kamel/post/DVDdt1VEqz1,neutral,2026-05-28 18:40:30.392248,743,0,0,0,0.5,743,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3835221271572038085,,https://www.threads.com/@rajaiemy/post/DU5cW03EsHF,neutral,2026-05-28 18:40:30.392437,424,0,0,0,0.5,424,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3892820937041763087,,https://www.threads.com/@abang_fad80/post/DYGFARmk9sP,neutral,2026-05-28 18:40:30.392613,71,0,0,0,0.5,71,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3767082753847399206,,https://www.threads.com/@kasmah_suwardy/post/DRHXc5GkxMm,neutral,2026-05-28 18:40:30.392776,1661,0,0,0,0.5,1661,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3711027902097197044,,https://www.threads.com/@harakatdaily/post/DOAODcQEQf0,neutral,2026-05-28 18:40:30.392934,3292,0,0,0,0.5,3292,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3723606128615051327,,https://www.threads.com/@mymakandalam/post/DOs6AujkVA_,neutral,2026-05-28 18:40:30.393056,432,0,0,0,0.5,432,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3751926162093227886,,https://www.threads.com/@zairyabdullah24/post/DQRhPdDD79u,neutral,2026-05-28 18:40:30.393155,828,0,0,0,0.5,828,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3884314431191139172,,https://www.threads.com/@emma_hairi/post/DXn22UrEkNk,neutral,2026-05-28 18:40:30.393253,357,0,0,0,0.5,357,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3845986705321467220,,https://www.threads.com/@umirifaie/post/DVfsIgVj51U,neutral,2026-05-28 18:40:30.393347,954,0,0,0,0.5,954,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3802565390619623388,,https://www.threads.com/@khairul_ent/post/DTFbRNvE7_c,neutral,2026-05-28 18:40:30.393438,72,0,0,0,0.5,72,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3895424516898456691,,https://www.threads.com/@ahmadsyukorun/post/DYPU_WTFIRz,neutral,2026-05-28 18:40:30.393531,265,0,0,0,0.5,265,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3897990216334021152,,https://www.threads.com/@ridzuwan_suliman/post/DYYcXMGiZIg,neutral,2026-05-28 18:40:30.393622,1250,0,0,0,0.5,1250,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3879425432194349857,,https://www.threads.com/@dariseoranglelaki/post/DXWfOBij3sh,neutral,2026-05-28 18:40:30.393712,1559,0,0,0,0.5,1559,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
threads,post,3798593947288432269,,https://www.threads.com/@bro.lemaan/post/DS3URG6E26N,neutral,2026-05-28 18:40:30.393924,2655,0,0,0,0.5,2655,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
