Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
threads,post,3.892983963489734e+18,"'JANGAN MUNCUL MASA PILIHAN RAYA SAHAJA"" - KDPM TENGKU MAHKOTA PAHANG",https://www.threads.com/@kesultanan.pahang/post/DYGqEn0GQ4H,,,negative,2026-06-06 08:37:35.917684,14476,0,0,0,0.15523936003446578,14476,14476.0,negative,0.4825354665517807,multilingual,Unknown,no_clear_emotion,0.07682017982006073,0.08733338117599487,0.094406358897686,0.040457796305418015,0.2540547847747803,0.04300505295395851
threads,post,3.909839679638364e+18,"Bismillahirrahmanirrahim.
Assalamualaikum warahmatullahi wabarakatuh dan Salam Maju Johor.

Saya ingin memaklumkan bahawa saya telah menghadap Duli Yang Amat Mulia Tunku Mahkota Ismail, Pemangku Sultan Johor, pada hari ini, 1 Jun 2026.

Sehubungan itu, atas titah perkenan Duli Yang Amat Mulia Pemangku Sultan Johor, watikah pembubaran Dewan Negeri Johor Darul Ta’zim Kelima Belas telah diperkenankan berkuat kuasa pada 1 Jun 2026.",https://www.threads.com/@onnhafiz/post/DZCinkxkmBV,,,neutral,2026-06-06 08:37:35.917355,7283,0,0,0,0.5,7283,7283.0,neutral,0.9773921370506287,malay,Malay/Bumiputera,no_clear_emotion,0.060542911291122437,0.03510776162147522,0.09862437844276428,0.028708377853035927,0.2095523476600647,0.06679622828960419
threads,post,3.9098057071767946e+18,DUN Johor dibubarkan mulai hari ini. Musim pilihan raya sudah bermula.,https://www.threads.com/@najib.bakar/post/DZCa5NdEVrd,,,neutral,2026-06-06 08:37:35.917559,2103,0,0,0,0.5,2103,2103.0,neutral,0.9977104663848877,malay,Malay/Bumiputera,no_clear_emotion,0.01400707382708788,0.013841819949448109,0.049018919467926025,0.010076950304210186,0.07442906498908997,0.028918031603097916
threads,post,3.878689913181568e+18,"KUCHING, 19 Apr - Timbalan Premier Sarawak, Datuk Amar Dr Sim Kui Hian menyeru rakyat negeri itu agar menolak DAP dalam Pilihan Raya Negeri (PRN) akan datang dengan mencontohi keputusan pengundi di Sabah sebelum ini. 

Berucap pada Konvensyen Gabungan Parti Sarawak (GPS) 2026, beliau berkata keputusan di Sabah yang menyaksikan DAP gagal memenangi sebarang kerusi wajar dijadikan rujukan oleh pengundi Sarawak.",https://www.threads.com/@beritaks/post/DXT3-0FE_zL,,,negative,2026-06-06 08:37:35.918483,2102,0,0,0,0.12316285371780394,2102,2102.0,negative,0.5894571542739868,malay,Malay/Bumiputera,anger,0.46981915831565857,0.04577058553695679,0.049090269953012466,0.04627155140042305,0.12743446230888367,0.03133852779865265
threads,post,3.9129256937349125e+18,"Two reasons why Bitcoin is crashing rn:

1) Macro - Bitcoin is not, and never has been, an inflation edge. Anyone who says that is either ignorant of its history and/or lying to you. In fact, crypto is only speculation (and crime), and therefore when credit is easy to obtain, more people gamble on it. But when things get rough (oil ~$100 a barrel, Fed not cutting rates anytime soon), crypto crashes like a rock. It did so in 2022 when the Fed began raising rates, it is doing so now…",https://www.threads.com/@mrbenmckenzie/post/DZNgS_XkYEQ,,,negative,2026-06-06 08:37:35.918390,669,0,0,0,0.10299677252769471,669,669.0,negative,0.6566774249076843,english,Mixed/Urban,anger,0.3679106831550598,0.22148780524730682,0.08613362908363342,0.07251252979040146,0.15238316357135773,0.024617493152618408
threads,post,3.8849814147482967e+18,Anak Johor here. Original JB. korang dari mana tu?,https://www.threads.com/@rusydiibrahim/post/DXqOgNhERZe,,,neutral,2026-06-06 08:37:35.917783,661,0,0,0,0.5,661,661.0,neutral,0.941040575504303,english,Mixed/Urban,love,0.03754664584994316,0.011745133437216282,0.025405047461390495,0.03068811073899269,0.7653491497039795,0.02526375651359558
threads,post,3.8895184988131246e+18,"Syukur Alhamdulillah, berdasarkan data terkini sejak pendaftaran atas talian diperkenalkan, Johor mencatatkan jumlah pendaftaran ahli UMNO paling tinggi dan hampir 70 peratus daripadanya terdiri daripada anak muda.

Ini membuktikan bahawa generasi muda hari ini bukan sahaja peka, malah semakin bersedia untuk melangkah ke hadapan dan memainkan peranan dalam menentukan masa depan negeri dan negara.",https://www.threads.com/@onnhafiz/post/DX6WHeVER-b,,,positive,2026-06-06 08:37:35.918950,389,0,0,0,0.9993970394134521,389,389.0,positive,0.9979901313781738,malay,Malay/Bumiputera,happy,0.019560717046260834,0.0822993665933609,0.8211520910263062,0.009535246528685093,0.023982370272278786,0.018697040155529976
threads,post,3.912545312062483e+18,"Hebahan pendaftaran petugas PRN Johor

PILIHAN RAYA UMUM DEWAN NEGERI JOHOR KE-16 (N.11)
https://forms.gle/MhhmZzDF3NWqS1wV8",https://www.threads.com/@nadirahjohar/post/DZMJztVGqlF,,,neutral,2026-06-06 08:37:35.919037,258,0,0,0,0.5,258,258.0,neutral,0.8596473932266235,english,Mixed/Urban,no_clear_emotion,0.022016139701008797,0.02526533603668213,0.056453194469213486,0.02600896544754505,0.11256342381238937,0.04393114894628525
threads,post,3.9040716332756915e+18,"SEREMBAN, 24 Mei - Setiausaha Agung DAP, Anthony Loke berpandangan pembubaran Dewan Undangan Negeri (DUN) Negeri Sembilan merupakan langkah terbaik bagi menyelesaikan kemelut politik yang sedang berlaku di negeri itu. 

Beliau berkata cadangan tersebut telah disampaikan kepada Menteri Besar merangkap Pengerusi Pakatan Harapan (PH) Negeri Sembilan, Dato' Seri Aminuddin Harun sebagai usaha mengembalikan mandat kepada rakyat.",https://www.threads.com/@beritaks/post/DYuDHc_E6Kc,,,positive,2026-06-06 08:37:35.918191,163,0,0,0,0.999134862422943,163,163.0,positive,0.997116208076477,malay,Malay/Bumiputera,happy,0.054650478065013885,0.05623380467295647,0.4973197877407074,0.018168479204177856,0.13079465925693512,0.029658988118171692
threads,post,3.9108577501215114e+18,"Mesyuarat Pemuda Barisan Nasional Negeri Johor bersama pimpinan sayap Pemuda parti-parti komponen BN.

#𝐁𝐚𝐫𝐢𝐬𝐚𝐧𝐍𝐚𝐬𝐢𝐨𝐧𝐚𝐥 #PemudaBN #MajuJohor #PRNJohor",https://www.threads.com/@faridfiruz/post/DZGKGczE3q8,,,neutral,2026-06-06 08:37:35.918761,120,0,0,0,0.5,120,120.0,neutral,0.8944364190101624,english,Mixed/Urban,no_clear_emotion,0.03897364065051079,0.0133343655616045,0.050759367644786835,0.024033471941947937,0.1079438254237175,0.02321983315050602
