Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7641215688471842068,"senyum tetap on, suara tetap tenang, padahal otak lagi buru-buru nginget isi que card, ada yang pernah di posisi begini juga? 😆 (just for content)

ib: @Aliefy Maharani 

#MC #MasterOfCeremony #EventMC #BehindTheStage",https://www.tiktok.com/@dgobryl/video/7641215688471842068,,,neutral,2026-05-29 19:23:03.130282,1400000,159600,10900,17300000,0.5,1743500,1769200.0,neutral,0.7050984501838684,english,Mixed/Urban,happy,0.03535987809300423,0.09851234406232834,0.5403262972831726,0.018977150321006775,0.09773387014865875,0.08516547083854675
tiktok,post,7628183508950764821,Jangan Paksa Rindu (Beda) - Ifan Seventeen,https://www.tiktok.com/@sn.djateng1/video/7628183508950764821,,,neutral,2026-05-29 19:22:25.092358,614400,39300,3301,9500000,0.5,752001,712403.0,neutral,0.9348466396331787,english,Mixed/Urban,love,0.11118016391992569,0.08265507966279984,0.03961162641644478,0.20338822901248932,0.4527348279953003,0.055533427745103836
tiktok,post,7617930591383686407,how that one boy played with my feelings || #neymar #feelings #viral #fyp #oneboy,https://www.tiktok.com/@.aep52/video/7617930591383686407,,,negative,2026-05-29 19:22:33.639915,237800,31400,600,1400000,0.1069977343082428,283800,303800.0,negative,0.6433408856391907,english,Mixed/Urban,happy,0.014465415850281715,0.034764036536216736,0.8251273036003113,0.008197154849767685,0.051322970539331436,0.025533359497785568
tiktok,post,7013593650017946907,🤡 | #ggzerosix #fyp #trending #trendingsong #viral #teksberjalan #digitalscreen #KrisbeePillowNoMellow,https://www.tiktok.com/@ggzerosix/video/7013593650017946907,,,neutral,2026-05-29 19:22:37.163911,225100,30200,1228,3100000,0.5,287528,292284.0,neutral,0.7405523657798767,english,Mixed/Urban,love,0.10146494209766388,0.03287487104535103,0.09900597482919693,0.03919800743460655,0.5041466951370239,0.03074137307703495
tiktok,post,7384595066674826504,Assalamualaikum..#muhasabahdiri #adikberadik #quotes #foryou #foryoupage #soundviral #CapCut,https://www.tiktok.com/@anak.desa332/video/7384595066674826504,,,neutral,2026-05-29 19:22:26.134455,97600,67500,3129,2600000,0.5,194229,244587.0,neutral,0.7628260254859924,english,Mixed/Urban,love,0.048980869352817535,0.023926742374897003,0.06327022612094879,0.0456104502081871,0.4333478510379791,0.05174587666988373
tiktok,post,7643754740353912082,"Semua punca kamu ler ni hmmm 

#Tarung #perak",https://www.tiktok.com/@im.im_ran/video/7643754740353912082,,,neutral,2026-05-29 19:22:25.493198,152600,36900,1018,1200000,0.5,202518,230654.0,neutral,0.872393786907196,english,Mixed/Urban,love,0.046410009264945984,0.016434546560049057,0.0246024988591671,0.030026407912373543,0.640885055065155,0.03577471897006035
tiktok,post,7632410609874832661,"pelakon yg ada lagu sendiri!! dont let this flop!

#trending #lagugalau #viral #fypシ゚ #malaysong",https://www.tiktok.com/@zsxeo_/video/7632410609874832661,,,negative,2026-05-29 19:22:37.818997,181400,5613,892,1800000,0.0706375390291214,205905,197102.0,negative,0.7645415365695953,multilingual,Unknown,love,0.04787300154566765,0.014789897948503494,0.05011137202382088,0.018203305080533028,0.6170644760131836,0.029295997694134712
tiktok,post,7273659182321061126,"sing nyakiti di talqin ae loh..
ga bahaya tah??😁🤭
#CapCut 
#gusiqdam
#stnyell",https://www.tiktok.com/@muayharsanto/video/7273659182321061126,,,neutral,2026-05-29 19:22:36.509399,143000,18600,2085,3900000,0.5,202685,190355.0,neutral,0.7743794322013855,english,Mixed/Urban,anger,0.3742847144603729,0.03520343825221062,0.11368795484304428,0.020399076864123344,0.26983389258384705,0.029750699177384377
tiktok,post,7348809731688975621,"Sambutan Prabowo pada acara buka puasa bersama dengan pimpinan dan pengurus PAN beberapa saat lalu.

Ada sisi serius dan bercandanya. Prabowo kembali mengulang penilaian rivalnya terhadap dirinya, yang diberi nilai 11 dari 100, yang menjadi salah satu penyebab ia menang besar dalam kontestasi Pilpres, kemarin.",https://www.tiktok.com/@erizal776/video/7348809731688975621,,,neutral,2026-05-29 19:22:24.766189,155600,3573,5875,3300000,0.5,198048,183671.0,neutral,0.8268265724182129,malay,Malay/Bumiputera,no_clear_emotion,0.01280832290649414,0.014557416550815105,0.05684859678149223,0.011014734394848347,0.06078024581074715,0.037407662719488144
tiktok,post,7574272301693209873,I wish I could be looking at her right now. IB |AND CC|@vg_editt  #isabelamerced #isabelamercededit #thelastofus #thelastofus2 #dinawoodward #dinawoodwardedit #turtlesallthewaydown IG.SCP|@vgscene.pack,https://www.tiktok.com/@hypelunar/video/7574272301693209873,,,neutral,2026-05-29 19:23:05.374973,166200,3791,319,1500000,0.5,185310,176239.0,neutral,0.4631875455379486,english,Mixed/Urban,love,0.05017992481589317,0.05933578684926033,0.1996801346540451,0.04041820019483566,0.44425415992736816,0.04995698109269142
tiktok,post,7593712870194564359,"semoga bermanfaat😇🍃
#dakwah_story#khazanahtrans7
#harikiamat#dakwahviral
#bismillahfyp",https://www.tiktok.com/@suarakebaikan269/video/7593712870194564359,,,neutral,2026-05-29 19:22:51.021001,127200,17500,820,625200,0.5,151772,165285.2,neutral,0.5325397253036499,english,Mixed/Urban,love,0.054236944764852524,0.03770863264799118,0.2183549553155899,0.02693118155002594,0.5066764950752258,0.03099067509174347
tiktok,post,7640479781019995413,"besok giliran kita ujian , kakel rebahan, kita ujian😵‍💫😮‍💨#fyporyoupage #kontenkelas #kelas7 #xbcafypシ #katakatastorywa",https://www.tiktok.com/@_classvii2/video/7640479781019995413,,,neutral,2026-05-29 19:22:22.779542,117700,13300,3362,1400000,0.5,148362,155786.0,neutral,0.8481520414352417,english,Mixed/Urban,no_clear_emotion,0.08047149330377579,0.032835010439157486,0.08287610113620758,0.023166395723819733,0.19585783779621124,0.02110973559319973
tiktok,post,7575501062015159553,"manut pusat #gusiqdamstory 
.
.
.
.
#gusiqdammuhammad #dawuhegusiqdam #katakatagusiqdam #tamplatecapcut",https://www.tiktok.com/@gusiqdam_story/video/7575501062015159553,,,neutral,2026-05-29 19:22:32.021452,78500,15300,714,2100000,0.5,115514,113342.0,neutral,0.8518005609512329,english,Mixed/Urban,love,0.11721303313970566,0.07446391880512238,0.10045856237411499,0.06507888436317444,0.3634491562843323,0.06523996591567993
tiktok,post,7594847788081433877,"Antara baik & bodoh beda tipis
#katabijak #peoplepleaser #abumarlo #fypdong #fypppppppppppppp",https://www.tiktok.com/@motivery/video/7594847788081433877,,,neutral,2026-05-29 19:23:01.820836,72200,16900,908,2200000,0.5,112008,110924.0,neutral,0.3788567781448364,multilingual,Unknown,no_clear_emotion,0.1305519938468933,0.02146434597671032,0.07747189700603485,0.07544893026351929,0.30934882164001465,0.037604909390211105
tiktok,post,7563241609848982805,Orang Baru Lebe Gacor - Ecko Show #me_misa #justforfun #fyp #liriklagu #orangbarulebegacor,https://www.tiktok.com/@me_misa2/video/7563241609848982805,,,neutral,2026-05-29 19:23:03.570527,70200,6514,1810,5000000,0.5,128524,93658.0,neutral,0.736411988735199,english,Mixed/Urban,no_clear_emotion,0.16761745512485504,0.06535440683364868,0.08277636021375656,0.03931186720728874,0.2930980622768402,0.034638214856386185
