Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,,,https://www.tiktok.com/@eechinli_n10,,,neutral,2026-06-21 04:39:40.774774+00:00,0,0,0,0,0.5,0,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
tiktok,post,7652999899671219477,"📍 Semalam di Majlis Pengumuman Calon Pakatan Harapan DUN Mengkibol

Terima kasih kepada semua warga Kluang dan Mengkibol yang hadir memberikan sokongan. Dalam majlis ini, Saudari Chu Poh Yee telah diperkenalkan secara rasmi sebagai calon Pakatan Harapan bagi DUN Mengkibol.

Sokongan dan semangat yang ditunjukkan malam tadi amat dihargai. Bersama-sama kita terus melangkah ke hadapan demi masa depan Mengkibol yang lebih baik. 💙

#Mengkibol #ChuPohYee #PakatanHarapan #PRNJohor2026 #fypシ",https://www.tiktok.com/@chewchongsin/video/7652999899671219477,,,positive,2026-06-21 04:39:40.777472+00:00,105,14,27,3419,0.9993948578834533,180,positive,0.9979828596115112,malay,Malay/Bumiputera,love,0.026602864265441895,0.016271548345685005,0.11995523422956467,0.02370532974600792,0.6814911961555481,0.03753439337015152
tiktok,post,7652557057320668437,"Malam ini hari yang dinantikan!

Risalah jemputan telah diedarkan di sekitar Mengkibol untuk memaklumkan orang ramai tentang Majlis Pengumuman Calon DAP Mengkibol.

📅 18 Jun 2026 (Khamis)
🕖 7.00 malam
📍 Lorong Ungku Hassan, Jalan Ismail, Kluang

Jom hadir beramai-ramai dan bersama-sama mengikuti pengumuman calon DAP bagi DUN Mengkibol.

Jumpa anda malam ini! 👋 
#Kluang #foryoupage #fypシ",https://www.tiktok.com/@chewchongsin/video/7652557057320668437,,,positive,2026-06-21 04:39:42.155623+00:00,11,6,0,482,0.9325505211949348,21,positive,0.7751684039831161,multilingual,Unknown,no_clear_emotion,0.01623583398759365,0.03028872050344944,0.03928958624601364,0.014569138176739216,0.05447904020547867,0.08385239541530609
tiktok,post,7652180161122635029,"🌿 Pagi penuh semangat di kaki Gunung Lambak

Semalam, saya berpeluang meluangkan masa bersama kumpulan senaman regangan di kaki Gunung Lambak yang terdiri daripada pelbagai lapisan umur. Melihat anak muda hinggalah warga emas bersenam bersama membuktikan bahawa menjaga kesihatan adalah tanggungjawab dan amalan yang boleh dikongsi oleh semua.

Terima kasih kepada jurulatih yang sentiasa komited menganjurkan sesi senaman di kawasan yang nyaman dengan udara segar ini. Usaha dan pengorbanan beliau dalam menggalakkan masyarakat mengamalkan gaya hidup aktif merupakan satu sumbangan yang amat bermakna ke arah membina komuniti dan bandar yang lebih sihat.

Aktiviti seperti ini bukan sahaja membantu meningkatkan kecergasan fizikal, malah mengeratkan hubungan sesama masyarakat dalam suasana yang santai, ceria dan penuh semangat.

Semoga lebih ramai warga Kluang terus meluangkan masa untuk beriadah dan mengamalkan gaya hidup sihat demi kesejahteraan diri, keluarga dan komuniti. 💚

📍 Siapa yang selalu bersenam, berjoging atau mendaki di Gunung Lambak? 👀

#GunungLambak
#Kluang
#GayaHidupSihat
#KomunitiSihat
#fypシ",https://www.tiktok.com/@chewchongsin/video/7652180161122635029,,,positive,2026-06-21 04:39:43.092730+00:00,14,13,2,600,0.9994103610515594,35,positive,0.9980345368385315,malay,Malay/Bumiputera,happy,0.04503609240055084,0.03391442820429802,0.7194331884384155,0.015663009136915207,0.12053967267274857,0.016439657658338547
tiktok,post,7651845636496674068,"Ahad yang penuh dengan senyuman, gelak tawa dan semangat komuniti. ❤️

Seronok dapat bersama-sama penduduk Taman Kluang Indah untuk bersenam, beriadah dan mengeratkan hubungan sesama jiran.

Bila komuniti bersatu, suasana jadi lebih meriah dan bermakna. Terima kasih kepada semua yang hadir memeriahkan program ini! 🏡✨

#TamanKluangIndah #Kluang #Komuniti #fypシ #WeekendVibes",https://www.tiktok.com/@chewchongsin/video/7651845636496674068,,,positive,2026-06-21 04:39:43.942008+00:00,19,14,4,416,0.9993748486042022,41,positive,0.9979161620140076,malay,Malay/Bumiputera,happy,0.021060235798358917,0.03009033203125,0.797876238822937,0.01317453384399414,0.09281741082668304,0.018936438485980034
tiktok,post,7651440566621703444,"❤️ Komuniti Sihat, Keluarga Sejahtera

Semalam, XPARK Bandar Seri Impian menjadi lokasi pertemuan masyarakat pelbagai lapisan umur yang hadir memeriahkan Karnival Hari Kesihatan Keluarga Mengkibol 2026.

Pelbagai aktiviti telah dijalankan sepanjang program, termasuk pemeriksaan kesihatan, pameran dan kaunseling kesihatan, aktiviti keluarga serta senaman yang bertujuan meningkatkan kesedaran tentang kepentingan penjagaan kesihatan dan amalan gaya hidup sihat.

Program seperti ini bukan sahaja memberi manfaat dari segi kesihatan, malah mengeratkan hubungan dalam komuniti melalui penglibatan keluarga dan masyarakat setempat.

Semoga usaha memupuk budaya hidup sihat dapat diteruskan dan menjadi sebahagian daripada amalan harian kita demi kesejahteraan diri, keluarga dan masyarakat.

📸 Ada yang hadir semalam? Kongsikan pengalaman anda di ruangan komen 👇

#KarnivalKesihatanKeluarga
#foryoupage 
#Mengkibol
#Kluang
#XPARK",https://www.tiktok.com/@chewchongsin/video/7651440566621703444,,,positive,2026-06-21 04:39:44.528828+00:00,14,6,2,444,0.9994059801101685,26,positive,0.9980199337005615,malay,Malay/Bumiputera,happy,0.04353126510977745,0.046096500009298325,0.6229122877120972,0.02354394644498825,0.11027754843235016,0.03215314820408821
tiktok,post,7651133947958562069,"Terima kasih kepada semua pengunjung, peserta, sukarelawan, agensi serta rakan-rakan strategik yang hadir memeriahkan program ini di XPARK Bandar Seri Impian.

Sepanjang karnival berlangsung, pelbagai aktiviti kesihatan, pemeriksaan, pameran, kaunseling dan aktiviti keluarga telah dijalankan bagi meningkatkan kesedaran tentang pentingnya menjaga kesihatan dan mengamalkan gaya hidup sihat.

Semoga program seperti ini dapat terus memberi manfaat kepada masyarakat dan menggalakkan lebih ramai mengutamakan kesihatan diri serta keluarga.

📸 Kalau anda hadir hari ini, kongsikan pengalaman atau gambar anda di ruangan komen! 👇

#KarnivalKesihatanKeluarga #Mengkibol #Kluang #XPARK #foryoupage",https://www.tiktok.com/@chewchongsin/video/7651133947958562069,,,positive,2026-06-21 04:39:45.334212+00:00,18,1,2,272,0.9994026005268096,23,positive,0.998008668422699,malay,Malay/Bumiputera,happy,0.05132945254445076,0.044645749032497406,0.4720593988895416,0.02581421658396721,0.11020945757627487,0.05140567570924759
tiktok,post,7653013272211311879,"Assalamualaikum WBT dan salam sejahtera.
Warga Mahkota yang dikasihi,
Jom bersama-sama memeriahkan Malam Mahkota Berselawat 2026 dalam suasana penuh keberkatan dan kecintaan kepada Rasulullah SAW.
Mari kita luangkan masa bersama keluarga dan sahabat untuk berselawat, mendengar qasidah, nasyid serta pengisian forum yang bermanfaat.

📅 Jumaat, 19 Jun 2026
⏰ 8.30 malam
📍 Jalan Persiaran Dato' Haji Ismail Hassan
Ayuh hadir beramai-ramai. Semoga majlis ini menjadi medan untuk mengeratkan ukhuwah dan meraih rahmat Allah SWT.

Mahkota Kita, Maju Johor

#JOJMahkota #MahkotaKita #MajuJohor #MalamMahkotaBerselawat2026 #BangsaJohor",https://www.tiktok.com/@imhussien/video/7653013272211311879,,,positive,2026-06-21 04:39:45.924710+00:00,40,2,1,891,0.9993513882160185,51,positive,0.9978379607200623,malay,Malay/Bumiputera,love,0.05750053748488426,0.03318096324801445,0.056023456156253815,0.052932124584913254,0.7413947582244873,0.02506304904818535
tiktok,post,7652919360562023687,"Warga Mahkota dijemput hadir beramai-ramai esok ke Pertunjukan dan Pameran Angkatan Tentera Malaysia sempena Jelajah Orang Johor DUN Mahkota 2026.🟦🟥 

📅 Sabtu, 20 Jun 2026
⏰ 2.30 Petang
📍 Jalan Persiaran Dato’ Haji Ismail Hassan, Kluang

Saksikan pameran aset ketenteraan, demonstrasi pertahanan dan pelbagai aktiviti menarik untuk seisi keluarga.

Jumpa anda di sana!

#JOJMahkota #MajuJohor #MahkotaKita #JOJ2026 #DUNMahkota",https://www.tiktok.com/@imhussien/video/7652919360562023687,,,neutral,2026-06-21 04:39:46.577404+00:00,549,241,7,15400,0.5,951,neutral,0.9875543713569641,malay,Malay/Bumiputera,no_clear_emotion,0.03867689520120621,0.019783122465014458,0.06915824115276337,0.02459530532360077,0.1863640546798706,0.04051421582698822
tiktok,post,7652686077240642823,"Orang-Orang Mahkota 🟦🟥
Semua dah ready ke??

#JOJDunMahkota #MahkotaKita #MajuJohor #PemudaProRakyat #bangsajohor",https://www.tiktok.com/@imhussien/video/7652686077240642823,,,neutral,2026-06-21 04:39:47.174768+00:00,201,40,7,3130,0.5,279,neutral,0.8774222135543823,english,Mixed/Urban,happy,0.039808206260204315,0.21787810325622559,0.5172918438911438,0.02461215667426586,0.10806108266115189,0.03394274786114693
tiktok,post,7652640375974186247,"Pagi ini,saya bersama Sdr. Warren Yap Ahli Majlis Zon Yap Tau Sah dan Puan Mona Ahli Majlis Zon Bandar ke Pusat Aktiviti Warga Emas (PAWE) Parlimen Kluang untuk menyantuni mereka semua yang berada di situ sambil memberikan kuih chang kepada semua warga PAWE yang hadir.

Selepas itu,saya terus ke Rumah Orang Tua Jalan Haji Manan untuk menyantuni serta memberi kuih chang kepada ‘Uncle-uncle’ di sana.Semoga terus ceria dan kekal sihat.

#n29mahkota #majujohor #MahkotaKita #BangsaJohor #BarisanNasional",https://www.tiktok.com/@imhussien/video/7652640375974186247,,,positive,2026-06-21 04:39:47.763050+00:00,363,63,18,7322,0.9993952512741089,517,positive,0.9979841709136963,malay,Malay/Bumiputera,happy,0.054069068282842636,0.03834560140967369,0.5004427433013916,0.02888127602636814,0.2087629735469818,0.024613598361611366
tiktok,post,7652529456828927250,"Pada belah malam,saya ke Surau Kampung Haji Manan untuk solat isyak berjemaah.Alhamdulillah,dapat borak dengan para jemaah.

#DaulatTuanku #n29mahkota #majujohor #pemudaprorakyat #mahkotakita",https://www.tiktok.com/@imhussien/video/7652529456828927250,,,positive,2026-06-21 04:39:48.101710+00:00,97,34,4,1528,0.9990534663200378,150,positive,0.9968448877334595,malay,Malay/Bumiputera,no_clear_emotion,0.04209001734852791,0.032240208238363266,0.12552501261234283,0.03427674248814583,0.3239145576953888,0.046402204781770706
tiktok,post,7652328810737667346,"Selesai di Padang Tembak,saya terus ke Jalan Ismail untuk menghadiri Sambutan Hari Wesak.Sambutan yang biasa diadakan setiap tahun di Kluang ini.
Kita boleh belajar serta mengetahui budaya serta adat-adat agama lain di dalam Malaysia ini.

 
#n29mahkota #majujohor #MahkotaKita #BangsaJohor #BarisanNasional",https://www.tiktok.com/@imhussien/video/7652328810737667346,,,positive,2026-06-21 04:39:48.433483+00:00,20,27,0,375,0.850261104106903,50,positive,0.5008703470230103,malay,Malay/Bumiputera,love,0.041867755353450775,0.019272729754447937,0.04867146909236908,0.03875412046909332,0.5910512804985046,0.03289634361863136
