Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7650362321440804116,"12 JUN 26: SURUHANJAYA Pilihan Raya (SPR) menetapkan tarikh pengundian bagi Pilihan Raya Negeri (PRN) Johor Ke-16 adalah pada hari Sabtu, 11 Julai depan.

Pada masa sama, PRN Negeri Sembilan Ke-16 pula akan dilaksanakan pada hari Sabtu, 1 Ogos depan.

Klik kotak hijau untuk berita lanjut.📰

#trendingnewsmalaysia #beritaditiktok #prnjohor #prnnegerisembilan #suruhanjayapilihanraya",,,neutral,2026-06-22 15:00:23.844365+00:00,4141,2192,178,196200,0.5,8473,https://www.tiktok.com/@utusantvofficial/video/7650362321440804116,9255.2,,,neutral,0.997713565826416,malay,Malay/Bumiputera,no_clear_emotion,0.05121263116598129,0.025864873081445694,0.05625417083501816,0.020384086295962334,0.10484368354082108,0.025556018576025963
tiktok,comment,7650368182217310996,knp x sekalikan semua dgn PRU? x bazirkn kos ke? just nk thu,https://www.tiktok.com/@utusantvofficial/video/7650362321440804116,7650362321440804116,neutral,2026-06-12 04:56:01+00:00,72,0,20,0,0.5,112,https://www.tiktok.com/@utusantvofficial/video/7650362321440804116,,kamalarif193,0.0,neutral,0.8930174112319946,english,Mixed/Urban,surprise,0.07065415382385254,0.23419485986232758,0.015047986060380936,0.23178496956825256,0.05037744715809822,0.3222658634185791
tiktok,comment,7650379393378075413,"Alhamdulillah, semoga PN PAS menang besar di PRN Johor dan N9 Aamiin",https://www.tiktok.com/@utusantvofficial/video/7650362321440804116,7650362321440804116,neutral,2026-06-12 05:39:34+00:00,154,0,11,0,0.5,176,https://www.tiktok.com/@utusantvofficial/video/7650362321440804116,,yatidrahim,0.0,neutral,0.531998872756958,english,Mixed/Urban,happy,0.024146821349859238,0.03950042277574539,0.5854936242103577,0.01557837426662445,0.24412965774536133,0.021222714334726334
tiktok,post,7490627978712452360,"Pesantren terbuka untuk siapapun yang berniat baik , muslim atau non muslim , artis , pejabat, siapapun yg berniat baik maka gerbang pesantren terbuka lebar. Dan malam ini, untuk yang kesekian kalinya, Musisi legendaris Ahmad Dhani pentolan band DEWA19 & istrinya mulan jamila silaturrahim ke almukarramah bu nyai sus pesantren zainul hasan genggong di lanjut ngopi di kediaman bupati probolinggo. #genggongnusantara #umrohnundiegoningsyifa #pzhgenggong #genggong #dewa19 #dewa #ahmaddhani #mulanjameela #baitussholihingenggong",,,negative,2026-06-22 15:00:37.877269+00:00,7519,480,64,187400,0.0023382961750030296,9937,https://www.tiktok.com/@catatann_story/video/7490627978712452360,8858.4,,,negative,0.9922056794166565,malay,Malay/Bumiputera,love,0.05485625937581062,0.02906273864209652,0.0864589586853981,0.03331366181373596,0.42142996191978455,0.043004315346479416
tiktok,post,7635007911315442951,"Bila kita bercakap tentang AGAMA dan BANGSA itu tidak bermakna kita RASIS tetapi mempertahankan HAK yang telah termaktub di dalam PERLEMBAGAAN, Setiap BANGSA dan AGAMA ada hak masing-masing yang wajib kita hormati. 

Namun apabila ada pihak menperjuangkan hak mereka dengan menafikan hak orang lain, itu sudah tentu rasisme yang sebenar, Jika dibiarkan kelak ia akan merosakkan PERPADUAN, menimbulkan kebencian dan mengugatkan kestabilan negara. 

Kita mahu negara ini dibina dengan KEADILAN bukan permusuhan kaum.

TUN M: ""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"" ᴀᴋᴀɴ ᴍᴇɴɢʜᴀᴅᴀᴘɪ ᴋᴇᴍᴜɴɢᴋɪɴᴀɴ ʜɪʟᴀɴɢ ᴋᴜᴀꜱᴀ ᴅɪ ɴᴇɢᴀʀᴀ ꜱᴇɴᴅɪʀɪ. ᴋᴇʀᴀᴊᴀᴀɴ ʏᴀɴɢ ᴀᴅᴀ ꜱᴇᴋᴀʀᴀɴɢ ɪᴀʟᴀʜ ᴋᴇʀᴀᴊᴀᴀɴ ᴘᴇʟʙᴀɢᴀɪ ᴋᴀᴜᴍ ᴡᴀʟᴀᴜᴘᴜɴ ᴅɪᴘɪᴍᴘɪɴ ᴏʟᴇʜ ""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"". ᴋᴇᴘɪᴍᴘɪɴᴀɴ ᴅᴀɴ ᴀɴɢɢᴏᴛᴀ ""ᴍᴇʟᴀʏᴜ"" ɪɴɪ ᴛɪᴅᴀᴋ ᴍᴇᴍʙᴇʀɪ ᴛᴜᴍᴘᴜᴀɴ ᴋᴇᴘᴀᴅᴀ ᴍᴀꜱᴀʟᴀʜ
""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"" ᴋᴇʀᴀɴᴀ ɪᴛᴜ ᴀᴋᴀɴ ᴅɪᴛᴀᴋʀɪꜰ ꜱᴇʙᴀɢᴀɪ ᴘᴇʀᴋᴀᴜᴍᴀɴ. ᴋᴇᴘɪᴍᴘɪɴᴀɴ ᴏʟᴇʜ ""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"" ʏᴀɴɢ ʙᴇʀꜱɪᴋᴀᴘ ʙᴇʀʙɪʟᴀɴɢ ᴋᴀᴜᴍ ᴛɪᴅᴀᴋ ᴀᴋᴀɴ ᴛᴜᴍᴘᴜ ᴋᴇᴘᴀᴅᴀ ᴘᴇɴʏᴇʟᴇꜱᴀɪᴀɴ ᴍᴀꜱᴀʟᴀʜ 
""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"". ᴛɪʙᴀ ᴍᴀꜱᴀɴʏᴀ ""ᴏʀᴀɴɢ ᴍᴇʟᴀʏᴜ"" 
ʙᴇʀꜱᴀᴍᴀ ꜱᴀᴍᴀ ᴍᴇɴᴄᴀᴘ��ɪ ꜱᴀᴛᴜ ᴋᴇᴛᴇᴛᴀᴘᴀɴ ᴜᴍᴛᴜᴋ ᴘᴇʀᴛᴀʜᴀɴᴋᴀɴ ᴋᴇʟᴀɴɢꜱᴜɴɢᴀɴ ʙᴀɴɢꜱᴀ ᴅᴀɴ ᴛᴀɴᴀʜᴀɪʀ ᴋɪᴛᴀ. 

@chedetofficial 
@Ir. Dr. Ahmad Samsuri Mokhtar @Muhammad Sanusi Md Nor  @datopanglimaperang @Abdul Hadi Awang 

#malaysia #sanusimdnor #tunmahathir #sanusi #malaysiatiktok @",,,negative,2026-06-22 15:00:25.437464+00:00,6089,545,153,53500,0.00048081278800965466,7322,https://www.tiktok.com/@kedahnetizen/video/7635007911315442951,7691.5,,,negative,0.9983972907066345,malay,Malay/Bumiputera,anger,0.37780776619911194,0.05644361674785614,0.09484075754880905,0.055265240371227264,0.21138064563274384,0.03125549480319023
tiktok,post,7619720239541996821,"Edukasi Kebangsaan 
Intropeksi diri untuk bangsa.
#EdukasiKebangsaan #imanke22 #imanke22🇮🇩 #gibran #PulseID",,,positive,2026-06-22 15:00:29.431178+00:00,1324,30,141,21200,0.904142901301384,1707,https://www.tiktok.com/@imanke22/video/7619720239541996821,1828.2,,,positive,0.6804763376712799,multilingual,Unknown,love,0.06875444203615189,0.03053107112646103,0.1184474378824234,0.039699848741292953,0.39475980401039124,0.03319516405463219
tiktok,post,7628407582935256328,5 hujah kenapa pemandu mabuk perlu dihukum mati #SuaraUmmah,,,neutral,2026-06-22 15:00:25.978446+00:00,895,251,59,16300,0.5,1368,https://www.tiktok.com/@ustazos2/video/7628407582935256328,1590.3,,,neutral,0.8454989194869995,english,Mixed/Urban,no_clear_emotion,0.13319285213947296,0.02475488744676113,0.0493396632373333,0.13487358391284943,0.21922044456005096,0.057220615446567535
tiktok,post,7497257909584219408,"Bersama rakan-rakan Angkatan Muda Keadilan (AMK) dan Pemuda UMNO menyantuni penduduk di beberapa kawasan sekitar Dewan Undangan Negeri (DUN) Ayer Kuning yang bakal menjadi penentu dalam Pilihan Raya Kecil (PRK) kali ini.

Ia juga secara tidak langsung menjadi medan ulung buat Kerajaan Perpaduan yang didokong Pakatan Harapan (PH) dan Barisan Nasional (BN) di Perak membuktikan keabsahan gabungan ini mengekalkan kemenangan sepertimana dibuktikan pada PRK Mahkota (Johor) dan Nenggiri (Kelantan).

Diakui DUN Ayer Kuning adalah ‘kubu kuat’ BN apabila dilihat daripada keputusan sebelum ini namun kita tidak boleh mendabik dada atau menjadikan indikator tersebut sebagai kesimpulan dalam memateri keputusan.

Selaku individu yang diberikan sedikit amanah dan tanggungjawab bagi mendokong kemenangan gabungan ini, mahu atau tidak setiap pandangan, cadangan, keluhan, aduan masyarakat dari pelbagai latar seharusnya diambil maklum dan diselesaikan dengan kaedah terbaik.

Kita juga perlu membuktikan kepada masyarakat bahawa politik bersifat perkauman dan agama dimainkan oleh pembangkang seharusnya ditolak agar ia tidak menjadi barah yang mampu merosakkan kepelbagaian serta perbezaan yang kita sedang raikan pada ketika ini.

Saya cukup berkeyakinan para pengundi di DUN Ayer Kuning sudah cukup matang serta bijak untuk membuat pilihan sepertimana sebelum ini bagi memastikan limpahan manfaat daripada pelbagai inisiatif serta bantuan yang diwujudkan Kerajaan Perpaduan akan terus dinikmati dengan adil dan saksama.

Undi Calon No.1, Dr Mohamad Yusri Bakir mewakili Barisan Nasional bagi PRK DUN Ayer Kuning.

#MalaysiaMADANI
#KerajaanPerpaduan
#AngkatanMudaKEADILAN",,,negative,2026-06-22 15:00:26.630862+00:00,1227,32,54,19300,0.0004819214344024547,1506,https://www.tiktok.com/@kamilmunim/video/7497257909584219408,1472.3,,,negative,0.9983935952186584,malay,Malay/Bumiputera,no_clear_emotion,0.09747717529535294,0.04016326740384102,0.06740118563175201,0.049285855144262314,0.2945611774921417,0.039310067892074585
tiktok,post,7610814188440603925,"​""No escape for lawbreakers,"" warns Anthony Loke #AnthonyLoke #PressMeet #Warns #Lawbreakers #Action #Govt #Minister #News",,,negative,2026-06-22 15:00:24.793226+00:00,507,240,20,22100,0.1367978274822235,988,https://www.tiktok.com/@makkalosaidigital/video/7610814188440603925,1069.1,,,negative,0.5440072417259216,english,Mixed/Urban,no_clear_emotion,0.14427101612091064,0.029047850519418716,0.09706732630729675,0.02591681480407715,0.2600747048854828,0.02331705391407013
tiktok,post,7605166905678122261,𝑷𝑷𝑫𝑩 𝒀𝒂𝒚𝒂𝒔𝒂𝒏 𝑷𝒆𝒓𝒈𝒖𝒓𝒖𝒂𝒏 𝑲𝒊 𝑯𝒂𝒋𝒂𝒓 𝑫𝒆𝒘𝒂𝒏𝒕𝒂𝒓𝒂 𝑲𝒐𝒕𝒂𝒑𝒊𝒏𝒂𝒏𝒈 𝑻𝒆𝒍𝒂𝒉 𝒅𝒊𝒃𝒖𝒌𝒂𝒂𝒂.... 𝑩𝒆𝒓𝒊𝒌𝒖𝒕 𝒆𝒌𝒔𝒕𝒓𝒂𝒌𝒖𝒍𝒊𝒌𝒖𝒍𝒆𝒓 𝒚𝒂𝒏𝒈 𝒂𝒅𝒂 𝒅𝒊 𝒀𝒂𝒚𝒂𝒔𝒂𝒏 𝑷𝒆𝒓𝒈𝒖𝒓𝒖𝒂𝒏 𝑲𝒊 𝑯𝒂𝒋𝒂𝒓 𝑫𝒆𝒘𝒂𝒏𝒕𝒂𝒓𝒂 𝑲𝒐𝒕𝒂𝒑𝒊𝒏𝒂𝒏𝒈... 𝑩𝒖𝒂𝒕 𝒂𝒅𝒊𝒌 - 𝒂𝒅𝒊𝒌 𝒔𝒆𝒎𝒖𝒂 𝒏𝒚𝒂 𝒃𝒖𝒓𝒖𝒂𝒏 𝒅𝒂𝒇𝒕𝒂𝒓 𝒚𝒂𝒂 𝒌𝒖𝒐𝒕𝒂 𝒖𝒏𝒕𝒖𝒌 𝒔𝒆𝒎𝒖𝒂 𝒋𝒖𝒓𝒖𝒔𝒂𝒏 𝒎𝒂𝒔𝒊𝒉 𝒕𝒆𝒓𝒔𝒆𝒅𝒊𝒂 🙏🙏𝑫𝒊𝒕𝒖𝒏𝒈𝒈𝒖 𝒌𝒆𝒉𝒂𝒅𝒊𝒓𝒂𝒏𝒏𝒚𝒂 𝒅𝒊 𝒀𝒂𝒚𝒂𝒔𝒂𝒏 𝑷𝒆𝒓𝒈𝒖𝒓𝒖𝒂𝒏 𝑲𝒊 𝑯𝒂𝒋𝒂𝒓 𝑫𝒆𝒘𝒂𝒏𝒕𝒂𝒓𝒂 𝑲𝒐𝒕𝒂𝒑𝒊𝒏𝒂𝒏𝒈 ❤❤ #YPKHD #PPDB #SMKBISA #SMPSEHATJAYALUARBIASA,,,neutral,2026-06-22 15:00:31.942992+00:00,544,156,17,26200,0.5,979,https://www.tiktok.com/@hafsahnasution328/video/7605166905678122261,933.2,,,neutral,0.8566454648971558,english,Mixed/Urban,love,0.030104713514447212,0.0682506263256073,0.045466601848602295,0.04080205410718918,0.4575570225715637,0.13857145607471466
