Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,engagement_score,author,author_followers,derived_error,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,post,7621905543061327124,"ADZAN KURDI X ASJAL RUWHI VERSI FULL🙌🏻
banyak yang request minta fullnya disini🙏🏻
#asjalruwhi #adzanviral #adzanmerdu #muslim #fyp",,,neutral,2026-07-08 18:55:34.370245+00:00,236500,8477,2562,4200000,0.5,289539,https://www.tiktok.com/@ahmd_dhafa_az/video/7621905543061327124,https://www.tiktok.com/@ahmd_dhafa_az/video/7621905543061327124,video,265340.0,,,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ahmd_dhafa_az/video/7621905543061327124...: Failed to load video from https://www.tiktok.com/@ahmd_dhafa_az/video/7621905543061327124: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",neutral,0.949350893497467,malay,Malay/Bumiputera,Unknown,0.0,love,0.11386749148368835,0.10963035374879837,0.049349345266819,0.09948907047510147,0.5415685176849365,0.03851747512817383
tiktok,post,7422661292579638536,"এই কথাটা যতবারই শুনি 
 ততবারি চোখে পানি চলে আসে।
🎙️ Mijanur rohman ajhari 
#মিজানুর_রহমান_আজহারী #tiktokbangladesh🇧🇩 #foruyou #fyp #islamic_video @TikTok @For You",,,neutral,2026-07-08 18:55:41.838654+00:00,178000,13500,3531,1300000,0.5,208031,https://www.tiktok.com/@ababeel_tv_24/video/7422661292579638536,https://www.tiktok.com/@ababeel_tv_24/video/7422661292579638536,video,216893.0,,,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@ababeel_tv_24/video/7422661292579638536...: Failed to load video from https://www.tiktok.com/@ababeel_tv_24/video/7422661292579638536: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",neutral,0.7895972728729248,english,Mixed/Urban,Unknown,0.0,love,0.0497087687253952,0.029051415622234344,0.03996461629867554,0.053057387471199036,0.6728374361991882,0.04480036720633507
tiktok,post,7567419281919511864,#burçlar #fall #zenginlik #bollukbereket #tarot,,,neutral,2026-07-08 18:55:54.006258+00:00,78800,15400,18200,753000,0.5,119930,https://www.tiktok.com/@zaru.bilge/video/7567419281919511864,https://www.tiktok.com/@zaru.bilge/video/7567419281919511864,video,164953.0,,,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@zaru.bilge/video/7567419281919511864...: Failed to load video from https://www.tiktok.com/@zaru.bilge/video/7567419281919511864: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",neutral,0.8647816777229309,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.09792231023311615,0.033284444361925125,0.08636780828237534,0.036401018500328064,0.29129600524902344,0.03648696094751358
tiktok,post,7623774021167041813,"Petronas berkata walaupun Malaysia merupakan negara pengeluar minyak, negara ini masih terkesan kerana hampir 40 peratus keperluan minyak mentah negara melalui Selat Hormuz.

#beritaviral #beritasemasa #trendingnewsmalaysia #viralnews #malaysiatribune #petronas",,,negative,2026-07-08 18:55:49.808822+00:00,56600,22700,1567,1700000,0.003962445259094227,97867,https://www.tiktok.com/@malaysiatribune/video/7623774021167041813,https://www.tiktok.com/@malaysiatribune/video/7623774021167041813,video,108401.0,,,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@malaysiatribune/video/7623774021167041813...: Failed to load video from https://www.tiktok.com/@malaysiatribune/video/7623774021167041813: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",negative,0.9867918491363525,malay,Malay/Bumiputera,Unknown,0.0,love,0.02230517379939556,0.033197470009326935,0.059822287410497665,0.02848602831363678,0.3452494442462921,0.2470977008342743
tiktok,post,7658428168046480648,Ağzı açık ayran delisi gibi bakmak bu olsa gerek ulen dayko sen bizi güldürdün ya ALLAH ta seni güldürsün🤣🤣🤣🤣🤣,,,negative,2026-07-08 18:56:02.263863+00:00,27700,32400,1328,1700000,0.10278787314891816,78428,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,video,98184.0,,,"HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Read timed out. (read timeout=300)",negative,0.6573737561702728,multilingual,Unknown,Unknown,0.0,love,0.04731879383325577,0.02917577140033245,0.05178900063037872,0.03231428191065788,0.734921395778656,0.02436443418264389
tiktok,comment,7658611622814434055,Amcam sizce hangi partiye oy vermiştir 😅,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,7658428168046480648,negative,2026-07-04 10:04:45+00:00,625,0,83,0,0.10527501851320267,791,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,,,,akin_dilaver,0.0,,negative,0.6490832716226578,multilingual,Unknown,Unknown,0.25,love,0.03875012695789337,0.02492997981607914,0.04052817448973656,0.04251561313867569,0.5282483100891113,0.06579954922199249
tiktok,comment,7658600830497932033,adam gariban dalga geçmeyin..,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,7658428168046480648,negative,2026-07-04 09:23:39+00:00,334,0,9,0,0.14521986097097397,352,https://www.tiktok.com/@ayaz.rzgar37/video/7658428168046480648,,,,emr2323,0.0,,negative,0.5159337967634201,multilingual,Unknown,Unknown,0.25,anger,0.2236785590648651,0.14614392817020416,0.04317176342010498,0.05565910413861275,0.21376752853393555,0.10694727301597595
tiktok,post,7651195483825769735,"13.06.2026...
LEPAS RNR BANJARAN TITIWANGSA MENGHALA KE TASIK BANDING...",,,neutral,2026-07-08 18:55:38.537413+00:00,66700,1252,3577,1400000,0.5,85529,https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,video,81335.0,,,"omni request failed: HTTP 500 model=nvidia/nemotron-3-nano-omni-30b-a3b-reasoning url=https://integrate.api.nvidia.com/v1/chat/completions body={""error"":{""message"":""Exception: Failed to load video from https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735...: Failed to load video from https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735: Could not open video stream\n"",""type"":""Internal Server Error"",""code"":500}}",neutral,0.9027015566825867,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.08445590734481812,0.029631342738866806,0.045549675822257996,0.017635585740208626,0.09079748392105103,0.03730879724025726
tiktok,comment,7651549662436819733,"terima kasih tuan..kerana bantu, ni adik saya..masa kejadian berlaku saya pun buntu dan risau kerana berada jauh di kampung ..sedang bersiap nk gerak ke tmpt tu, Allah hantarkan abg dan family utk bantu..syukran..moga Allah balas jasa baik abg sekeluarga..insha Allah..",https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,7651195483825769735,positive,2026-06-15 09:20:49+00:00,4788,0,33,0,0.999401170015335,4854,https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,,,,mh_shoppe,0.0,,positive,0.9980039000511169,malay,Malay/Bumiputera,Unknown,0.25,fear,0.1366605907678604,0.5936575531959534,0.025391381233930588,0.03756003454327583,0.08260707557201385,0.0395549051463604
tiktok,comment,7651570946592080647,dia dok mana..kalau tak silap dia bagi tau dia nak pi kerja di Kelantan.,https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,7651195483825769735,negative,2026-06-15 10:43:19+00:00,596,0,0,0,0.000495779514312733,596,https://www.tiktok.com/@rescue0l95440532/video/7651195483825769735,,,,rescue0l95440532,0.0,,negative,0.9983474016189575,malay,Malay/Bumiputera,Unknown,0.25,no_clear_emotion,0.05104202404618263,0.041509635746479034,0.021944915875792503,0.08173166960477829,0.2636040449142456,0.215142160654068
