Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
x,post,2.0210857931887086e+18,"เชื่อว่าหลายคนคงได้เข้าร่วมโครงการคนละครึ่งพลัส หนึ่งในนโยบายเรือธงของพรรคภูมิใจไทย ซึ่งก็มีการยืนยันว่าคนละครึ่งพลัสเฟส 2 เดินหน้าต่อแต่นอน แต่อยู่ระหว่างออกแบบโครงการ

#คนละครึ่งพลัส #พรรคภูมิใจไทย #ผลเลือกตั้ง69 #ผลการเลือกตั้ง #คะแนนเลือกตั้ง #เลือกตั้ง #เลือกตั้ง2569 #เลือกตั้ง69 #ประชามติ69 #Election69 #เสียงของทุกคนฝ่าวิกฤตประเทศไทย #ไทยพีบีเอสเลือกตั้ง69 #ข่าวไทยพีบีเอส #ข่าวที่คุณวางใจ #ThaiPBSnews #ThaiPBS",https://x.com/ThaiPBSNews/status/2021085793188708540,neutral,2026-02-10 04:56:17+00:00,0,0,1,198,0.5,2,3.198,,,neutral,0.5,unknown,Unknown,happy,0.005490320269018412,0.0022672771010547876,0.9447767734527588,0.04646323248744011,0.0008332136203534901,0.00016914190200623125
x,post,1.797485862793675e+18,"""Kita tak boleh buat pilihan raya PBT nanti habis Melayu hilang kuasa tak dapat jadi Datuk Bandar dah"" https://t.co/USHUJ63whT",https://x.com/muhammadnajib79/status/1797485862793674941,negative,2024-06-03 04:30:00+00:00,1073,720,30,106092,0.0010675370693206676,2883,2709.092,,,negative,0.9964415431022644,malay,Malay/Bumiputera,sadness,0.21757282316684723,0.08379996567964554,0.03838019818067551,0.6582131385803223,0.0012046968331560493,0.0008291348349303007
x,comment,,,,neutral,2026-02-10 13:19:24.147475,0,0,5,0,0.5,15,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147479,0,0,1,0,0.5,3,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147483,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147486,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147489,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147492,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147496,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147499,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147503,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147506,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147510,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147514,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147518,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147521,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147524,0,0,2,0,0.5,6,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147528,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147531,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147534,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147537,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147540,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147543,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147546,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147549,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147552,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147555,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,post,2.0207376779776988e+18,"Sekelip mata kau berubah ya Sinar Harian. Agak² la PMX mana ada kuasa suruh PBT pi meroboh bagai.

Yang PMX nyatakan itu ialah kerajaan persekutuan beri endorsement kepada PBT untuk kuatkuasakan undang² sedia ada yang membenarkan perobohan mana² binaan haram termasuklah kuil yang didirikan atas tanah kerajaan / kawasan yang PBT ada kuasa untuk laksanakan tindakan.",https://x.com/lady_bugg11/status/2020737677977698712,negative,2026-02-09 05:53:00+00:00,89,24,11,5723,0.0016491651535034402,181,175.723,,,negative,0.9945027828216553,malay,Malay/Bumiputera,anger,0.7220193147659302,0.15842843055725098,0.03522076830267906,0.0603318028151989,0.004203523974865675,0.01979607716202736
x,comment,,,,neutral,2026-02-10 13:19:24.147399,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147436,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147441,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147445,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147449,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147454,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147457,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147461,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147465,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147468,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
x,comment,,,,neutral,2026-02-10 13:19:24.147471,0,0,0,0,0.5,0,,,0.0,neutral,0.5,unknown,Unknown,neutral,0.2,0.2,0.0,0.2,0.0,0.0
