Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
x,post,1910499392408429054,"𝐏𝐞𝐫𝐤𝐡𝐢𝐝𝐦𝐚𝐭𝐚𝐧 𝐁𝐚𝐬 𝐏𝐞𝐫𝐜𝐮𝐦𝐚 𝐤𝐞 𝐌𝐚𝐣𝐥𝐢𝐬 𝐑𝐮𝐦𝐚𝐡 𝐓𝐞𝐫𝐛𝐮𝐤𝐚 𝐋𝐞𝐛𝐚𝐫𝐚𝐧 𝐊𝐚𝐬𝐢𝐡 𝐀𝐢𝐝𝐢𝐥𝐟𝐢𝐭𝐫𝐢

Bagi memudahkan kehadiran anda ke Majlis Rumah Terbuka Lebaran Kasih Aidilfitri, perkhidmatan bas perantara dan bas Maraliner percuma disediakan!

Insya-Allah anda tidak perlu risau tentang parkir. Anda boleh tinggalkan kenderaan anda di lokasi yang ditetapkan dan nikmati perjalanan selesa ke Sri Satria seperti berikut:

📌 Bas Shuttle Percuma dari Tempat Letak Kenderaan Awam
📍 Lokasi Parkir & Hentian Bas: https://t.co/8lgAE1zuYK (Hentian Bas P3 H3)

📌 Bas Shuttle Percuma dari Putrajaya Sentral  
🚌 Laluan: Putrajaya Sentral ➝ Masjid Putra ➝ Sri Satria ➝ Masjid Putra ➝ Putrajaya Sentral  

Jumpa anda dan keluarga di Sri Satria pada tetapan berikut:
📅 Tarikh: Ahad, 13 April 2025 (14 Syawal 1446H)  
⏰ Masa: 8.00 malam – 11.00 malam  
📍 Lokasi: Kediaman Rasmi Timbalan Perdana Menteri, Sri Satria, Presint 16, Putrajaya  

Saya mendoakan semoga perjalanan anda semua dipermudahkan dan sampai dengan selamat. 
Jumpa di Sri Satria, insya-Allah!

#RumahTerbukaHariRaya
#LebaranKasihAidilfitri
#Aidilfitri2025",https://x.com/DrZahidHamidi/status/1910499392408429054,positive,2025-04-11 01:05:25+00:00,0,0,0,716,0.9993936598300933,7,0.716,,,positive,0.9979788661003113,malay,Malay/Bumiputera,sadness,0.03560030087828636,0.03792949393391609,0.013246438466012478,0.8348666429519653,0.04283306375145912,0.01891869679093361
x,post,1808831982916546909,"Selepas merasmikan Majlis Anugerah Pendidik MARA 2024, saya mengambil peluang untuk melawat dan melihat sendiri operasi MARA Liner disini.

Saya amat berbangga dengan peranan yang dimainkan oleh MARA Liner sebagai penghubung utama antara institusi TVET dan industri.

MARA Liner bukan sahaja menyediakan perkhidmatan pengangkutan yang efisien, tetapi juga memastikan pelajar-pelajar TVET dapat menjalani latihan industri dengan lancar dan efektif.

Ini adalah satu langkah penting dalam usaha kita untuk melahirkan tenaga kerja yang kompeten dan bersedia menghadapi cabaran dunia pekerjaan. 

#MARALiner
#TVET",https://x.com/DrZahidHamidi/status/1808831982916546909,positive,2024-07-04 11:55:25+00:00,0,0,0,904,0.9993992745876312,9,0.904,,,positive,0.9979975819587708,malay,Malay/Bumiputera,happy,0.025789523497223854,0.0566413588821888,0.7737433314323425,0.014222241006791592,0.05553584545850754,0.021626675501465797
x,post,1703691308559479035,"Jalan Raja Laut, Chow Kit. 
A Setara Jaya Bus stopped as passengers rush to cross the street and board. Setara Jaya served Kuala Lumpur, Selayang, Rawang and Tanjung Malim. The company stopped operating in 2022. most of its former routes taken over by either RapidBus or Maraliner https://t.co/i5U0ST4qiz",https://x.com/NabilErsyad/status/1703691308559479035,neutral,2023-09-18 08:43:55+00:00,0,0,0,5760,0.5,57,5.76,,,neutral,0.5545535087585449,english,Mixed/Urban,no_clear_emotion,0.30318981409072876,0.0365460067987442,0.06978492438793182,0.03832823783159256,0.09145738184452057,0.03891422599554062
x,post,1705348750883831813,"#ICYMI Menurut Mara Liner, siasatan dalaman dibuat sejurus aduan diterima dan tindakan susulan ke atas pemandu terlibat juga telah diambil.

https://t.co/8E3sqflAEL",https://x.com/SinarOnline/status/1705348750883831813,negative,2023-09-22 22:30:00+00:00,0,0,0,2390,0.09048462510108948,23,2.39,,,negative,0.6983845829963684,multilingual,Unknown,no_clear_emotion,0.0927482545375824,0.022412557154893875,0.035025570541620255,0.02454763650894165,0.05483707785606384,0.08989335596561432
x,post,1764866688124887430,"Satu seat tiket bas Maraliner dari Kulim-Putrajaya Sentral untuk letgo.

Tarikh: 12/3/2024 (Selasa)
Masa: 5 petang

Harga RM25 ja. DM saya laju laju okay!",https://x.com/Mbasiir_/status/1764866688124887430,neutral,2024-03-05 04:13:02+00:00,0,0,0,964,0.5,9,0.964,,,neutral,0.9977082014083862,malay,Malay/Bumiputera,no_clear_emotion,0.028965258970856667,0.009652878157794476,0.029499277472496033,0.009585586376488209,0.11080366373062134,0.016353720799088478
x,post,1626125716076089344,"#NSTnation Mara Liner Sdn Bhd (MLSB) has teamed up with Hino Motors Sales (Malaysia) Sdn Bhd to establish its first Hino Approved Service Outlet (Haso) in Muadzam Shah here as part of its efforts to strengthen the TVET sector.

#TVET

https://t.co/1ZM4ZbFyno",https://x.com/NST_Online/status/1626125716076089344,neutral,2023-02-16 07:45:57+00:00,0,0,0,1526,0.5,15,1.526,,,neutral,0.7954490780830383,english,Mixed/Urban,happy,0.03231241554021835,0.04742899909615517,0.7043573260307312,0.02098124660551548,0.10058198124170303,0.029794344678521156
x,post,1794993794599014793,"Saya meneruskan hari di Shanghai ini dengan menyaksikan majlis menandatangani Memorandum Persefahaman antara SKS CoachBuilders Sdn Bhd dan CRRC Electric Vehicle Co. Ltd serta Memorandum Persetujuan antara MARA Liner Sdn Bhd dan SKS CoachBuilder Sdn Bhd.

Perjanjian usahasama hari ini adalah langkah proaktif untuk pembiayaan projek dan pemindahan teknologi baru dari Zhejiang CRRC ke negara Malaysia.

Pada masa yang sama, kolaborasi antara MARA Liner-SKS Coach Builders ini akan menawarkan lebih banyak kursus TVET, mencipta peluang pekerjaan untuk graduan MARA dan memperkembangkan rangkaian vendor tempatan.

Ini merupakan usaha bersama kita untuk merubah landskap pengangkutan awam, mengurangkan pencemaran karbon dan meningkatkan kualiti hidup rakyat dengan teknologi EV.

Besar harapan saya agar kerjasama antarabangsa ini dapat melestarikan pengangkutan awam dengan lebih berkesan melalui teknologi EV.

#EVTechnology
#MARA 
#50TahunMalaysiaChina",https://x.com/DrZahidHamidi/status/1794993794599014793,positive,2024-05-27 07:27:24+00:00,0,0,0,2247,0.9994077682495117,22,2.247,,,positive,0.9980258941650391,malay,Malay/Bumiputera,love,0.05769065394997597,0.032717280089855194,0.29478171467781067,0.035209476947784424,0.4139569103717804,0.033738523721694946
x,post,1795673926246236239,"MARA Corporation, through MARALiner intends to be a leader in the supply of EV buses, including direct sales and leasing for public and government transport, and is estimated to involve around 800 buses valued at around RM960 million. 

https://t.co/9gQOHKjXhD",https://x.com/paultan/status/1795673926246236239,neutral,2024-05-29 04:30:00+00:00,0,0,0,661,0.5,6,0.661,,,neutral,0.5049084424972534,english,Mixed/Urban,happy,0.04576146602630615,0.048120539635419846,0.3621877431869507,0.03339603170752525,0.22118838131427765,0.05559759587049484
x,post,1883501853113254071,"Kandungan tiktok mengajar aku di UK keretapi dia macam bas. Ada pelbagai penyedia perkhidmatan/syarikat. Bergerak di atas trek yang sama. Bayangkan Transnasional, Maraliner etc tapi versi keretapi. Bagai dihembus minda rasanya. Tertinggal teruk arena keretapi kita 🤯",https://x.com/SidqiJR/status/1883501853113254071,positive,2025-01-26 13:06:50+00:00,0,0,0,369,0.998660111427307,3,0.369,,,positive,0.9955337047576904,malay,Malay/Bumiputera,sadness,0.028501616790890694,0.0294461902230978,0.007079941686242819,0.8920380473136902,0.01517163123935461,0.01590135507285595
x,post,1795027689679847430,"Kolaborasi Mara Liner, SKS Coach Builders mampu ubah landskap pengangkutan awam https://t.co/K7PWNsSB0B #BERITA #NASIONAL #TERKINI #MaraLinerSdnBhdMaraLiner",https://x.com/UMonline/status/1795027689679847430,neutral,2024-05-27 09:42:05+00:00,0,0,0,313,0.5,3,0.313,,,neutral,0.9018153548240662,english,Mixed/Urban,no_clear_emotion,0.05574161559343338,0.0361507274210453,0.11373808979988098,0.0410308800637722,0.23642824590206146,0.08777927607297897
