Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
youtube,post,Jk_7B1omiUM,Adam PAS Solo,https://www.youtube.com/watch?v=Jk_7B1omiUM,,,neutral,2025-06-29 19:33:21+00:00,4,0,0,186,0.5,5,4.186,,,neutral,0.9972323775291443,malay,Malay/Bumiputera,no_clear_emotion,0.11282080411911011,0.04434117302298546,0.08689052611589432,0.027158131822943687,0.2823109030723572,0.0412648543715477
youtube,post,F1pNOZnlPzM,"🙋🏾‍♂️ Salut les gars, c’est Le Telra !

Aujourd’hui, on se retrouve pour 2 nouveaux clips : 
JolaGreen23
GRADUR feat SDM




💬 Dis-moi en commentaire ce que t’as pensé de ces clips
🔥 Quel est ton morceau préféré ?
👍 Like si tu veux d’autres découvertes de ce style
🔔 Abonne-toi pour ne rien rater des prochaines écoutes !

Ma playlist Deezer Le Telra 2026 : https://link.deezer.com/s/327BH6SKWVw...

🔴 RETROUVE-MOI PARTOUT

🎮 Chaîne Gaming :    / @letelragaming  
🎵 TikTok :   / le.telra  
📸 Snapchat :   / afzgh7ga  

🔥 Bienvenue sur ma chaîne Le Telra — Bousillé de RAP 🎶🔥",https://www.youtube.com/watch?v=F1pNOZnlPzM,,,positive,2026-02-03 16:30:09+00:00,15,0,8,393,0.8552983999252319,26,39.393,,,positive,0.5176613330841064,english,Mixed/Urban,love,0.02496856451034546,0.0284548532217741,0.033954914659261703,0.033666159957647324,0.48595401644706726,0.17548461258411407
youtube,comment,Ugznk3TZBDrlIv194t14AaABAg,Incroyable gradur sdm j'écoute tout le temps ce son,,https://www.youtube.com/watch?v=F1pNOZnlPzM,F1pNOZnlPzM,neutral,,1,0,1,0,0.5,111,,"{'id': 'UCg3zadvz5i9xPgKxeyzS0zw', 'name': '@Vazco31_.', 'thumbnails': 'https://yt3.ggpht.com/2dhaT70nNbuV1-4KZVzhLH19gZdBnk-rtrWjIU_Bj0axwJ_NsGqyuBkTM6FI56wB8Qvi17B4Ww=s88-c-k-c0x00ffffff-no-rj'}",0.0,neutral,0.5730355381965637,english,Mixed/Urban,no_clear_emotion,0.24789486825466156,0.11821062117815018,0.02980106696486473,0.12411550432443619,0.06464492529630661,0.13677451014518738
youtube,comment,Ugzz4gCroBAkXFDkfeN4AaABAg,🔥🔥 Réagis à l’EP d osirus jack force mon   Reuf,,https://www.youtube.com/watch?v=F1pNOZnlPzM,F1pNOZnlPzM,neutral,,1,0,1,0,0.5,111,,"{'id': 'UCFjGl39Wjx9Pxr502xP29qA', 'name': '@tavareslns5998', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_nHKE7LzNm8cE-UxmqxGJGftKRghfo2bS9Zdvy-v1qWDwk=s88-c-k-c0x00ffffff-no-rj'}",0.0,neutral,0.6792341470718384,english,Mixed/Urban,no_clear_emotion,0.04143090173602104,0.020836826413869858,0.09369321167469025,0.014955305494368076,0.13652896881103516,0.027794774621725082
youtube,comment,UgwpNoB_1wKqGJz-ORt4AaABAg,En vrai tu peux écouter Gobi de Jolagreen,,https://www.youtube.com/watch?v=F1pNOZnlPzM,F1pNOZnlPzM,neutral,,1,0,1,0,0.5,111,,"{'id': 'UCnvf_wj7iERozTUXoiuFRVg', 'name': '@roarlalo24', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_kMYxzuoALeklp701_RTTqcGyDmQBNx8RUq7hexDYiJAbjeefA32v6O8iwKUH_tJvomYg=s88-c-k-c0x00ffffff-no-rj'}",0.0,neutral,0.8720207214355469,english,Mixed/Urban,no_clear_emotion,0.02286117896437645,0.028500255197286606,0.04764760285615921,0.01709895022213459,0.19062046706676483,0.172483891248703
youtube,comment,UgztOhQJHZKS58vE3st4AaABAg,Tu parle trop vite 🤦🏾‍♂️,,https://www.youtube.com/watch?v=F1pNOZnlPzM,F1pNOZnlPzM,negative,,1,0,1,0,0.11369413733482361,111,,"{'id': 'UCLP9HiSJkgRtGzO6M8stzxg', 'name': '@Djeska_002', 'thumbnails': 'https://yt3.ggpht.com/6UUxg5Up5rSYa4vuFQ5cDr4dn4h6s8mH4YxzIIW4_C97vZjMIwbAH1QiYd-lfu7nFvKtgW3KIQ=s88-c-k-c0x00ffffff-no-rj'}",0.0,negative,0.6210195422172546,english,Mixed/Urban,love,0.05526488274335861,0.027341756969690323,0.028176764026284218,0.035809893161058426,0.7124245762825012,0.026914160698652267
youtube,post,4OB8VrESYKk,"♫ Gradur - Pas solo (Lyrics) 

🎧 Écoutez/Téléchargez ici: https://open.spotify.com/track/5N3lIBZ88nT... 

📝 Lyrics: 

Mm, mm, mm-mm
Mm-mm-mm (han, han-han-han, han-han)
Mm-mm-mm-mm
Mm-mm-mm, mm-mm-mm-mm
Chill
Toleka (mm-mm-mm-mm)
C'est nous les méchants, c'est vous les porcs
J'fais du biff, les gars m'en voulaient pas (chill)
Et de base, le buzz, j'en voulais même pas
On m'a dit ""fais du sale, ça fera des lovés, bro""
J'me rappelle tous ces chiens, ils m'donnaient pas la force
Aujourd'hui, eux reviennent pé-pro, on va sucer leur barre
C'est plus comme avant, j'suis dans l'bolide allemand
Avec Saddam, Akla Mar, ces bâtards à jamais (ooh)
J'ai plus l'temps pour les trois-huit, j'ai des nouveaux plavons
J'suis une reusta comme Travis, bah, ouais, j'suis grave fort
On vient du bitumes, bah, ouais, qu'on a erré
J'veux pas d'ton amitié, t'es rempli d'intérêts
Petit joueur d'vant la juge, gros sourire à la barre (à la barre)
Ils savent pas les plans qu'j'élabore (j'élabore)
C'était pas nous à la base
On l'a coupée ici, on la revendait là-bas
On regarde plus derrière, faut qu'j'aille de l'avant (toleka)
Perdu des amis d'enfance (bah)
C'est pas grave, tant que j'fais d'l'oseille
J'continue à rendre fermement (chill)
J'dis fermement, mental en béton (mental en béton)
Revendeur d'bédo, j'allais solo en démo (chill)
Seul dans ma gova, tout seul, j'suis gaufré
Seul alors que j'ai mis personne de côté
J'remplis mes concerts, à personne, j'veux causer
Ils disent que j'fais des money, yeah, hein, hein, hein (hein, hein)
Chemin parsemé, j'prie mon Dieu plus d'une fois par semaine
Si j'veux atteindre le sommet, j'ai besoin d'vous, j'y arriverai pas solo (on y va)
Solo, solo, j'me console avec de l'Absolut (vite, vite, vite)
J'y arriverai pas solo-
Y a qu'en équipe que j'peux aller droit au but (ô, Dieu)
J'm'entoure d'assassins
C'est les seuls gars qui avec moi sont grave sincères par ici (vite, vite, vite)
J'regarde ma SACEM
Mais j'suis fier d'avoir accompli des trucs grandioses jusqu'ici (vite, vite, vite)
Tu guettes bizarrement
Quand tu vois que des M, j'en fais rentrer dix par an, cinq (boum)
J'suis ton fils, maman
Mais ces ignares, avec le temps, ils disparaissent vite (vite, vite, vite)
J'suis un vrai, c'est des faux
Même si je sais qu'j'en ai plusieurs de défauts graves (graves)
Plusieurs fois, t'as fait faute, obligé d'en juger
Tu veux mon mal en fait, grave (deh)
Chemin parsemé d'embûches
Au final, j'crois qu'j'préfère ma vie d'avant (rien)
Toi, tu montes ta belle vie d'lux
Ils veulent savoir combien t'as pris d'avance (non, c'est serré)
Jeux noir comme Avisa, j'veux être riche et avoir ma vie d'avant (rey)
C'est moi qu'ai choisi ça (ooh)
Le gang à la mort, à la vie, bro
Seul dans ma gova, tout seul, j'suis gaufré
Seul alors que j'ai mis personne de côté
J'remplis mes concerts, à personne, j'veux causer
Ils disent que j'fais des money, yeah, hein, hein, hein (hein, hein)
Chemin parsemé, j'prie mon Dieu plus d'une fois par semaine
Si j'veux atteindre le sommet, j'ai besoin d'vous, j'y arriverai pas solo
Choyé
Chemin parsemé, j'prie mon Dieu plus d'une fois par semaine (ooh)
Si j'veux atteindre le sommet, j'ai besoin d'vous, j'y arriverai pas solo
Pas solo, pas solo
Pas solo, pas solo
 
👉 Abonnez-vous et cliquez sur la cloche (🔔) pour ne jamais manquer une nouvelle mise en ligne! 
👍 N'oubliez pas d'aimer la vidéo si vous l'avez appréciée : cela aide vraiment la chaîne à se développer! 

⚠️ Disclaimer ⚠️
Cette vidéo a pour seul but de partager les paroles complètes de la chanson avec les mélomanes. 
Si vous possédez les droits et souhaitez qu'ils soient supprimés, veuillez ne pas supprimer la chaîne; contactez-nous par e-mail afin que nous puissions procéder à la suppression. 
Merci pour votre coopération! 

#Gradur #Passolo #OnLyrics #lyrics #lyricsvideo",https://www.youtube.com/watch?v=4OB8VrESYKk&list=RD4OB8VrESYKk&start_radio=1,,,neutral,2026-02-03 23:04:56+00:00,13,0,0,765,0.5,20,13.765,,,neutral,0.8722400069236755,english,Mixed/Urban,love,0.06076716259121895,0.06251895427703857,0.019330104812979698,0.10395947098731995,0.6170112490653992,0.056655120104551315
youtube,post,Coz42eHFi_E,ce son n'est a moi il est a GRADUR lien de le musique:    • GRADUR FEAT. SDM - PAS SOLO (CLIP OFFICIEL),https://www.youtube.com/watch?v=Coz42eHFi_E&list=RDCoz42eHFi_E&start_radio=1,,,neutral,2026-02-01 11:00:20+00:00,6,0,2,176,0.5,9,12.176,,,neutral,0.8463571667671204,english,Mixed/Urban,no_clear_emotion,0.017420439049601555,0.016009192913770676,0.02292846515774727,0.01017631683498621,0.03458845242857933,0.031792737543582916
youtube,post,O2QEEqQGl68,AKACORLEONE´s solo show at Kolly Gallery Geneva in April 2022.,https://www.youtube.com/watch?v=O2QEEqQGl68,,,neutral,2025-02-17 21:24:49+00:00,0,0,0,9,0.5,0,0.009,,,neutral,0.8793141841888428,english,Mixed/Urban,no_clear_emotion,0.03226262331008911,0.05061592906713486,0.34239110350608826,0.014523771591484547,0.08794569224119186,0.040402431041002274
youtube,post,thSjxHTgsyQ,Gradur - Pas solo (feat. SDM),https://www.youtube.com/watch?v=thSjxHTgsyQ&list=RDthSjxHTgsyQ&start_radio=1,,,negative,2026-01-29 23:02:04+00:00,376,0,13,39317,0.15112041682004929,782,454.317,,,negative,0.4962652772665024,multilingual,Unknown,no_clear_emotion,0.011109248735010624,0.008473466150462627,0.024921147152781487,0.008381558582186699,0.03298799693584442,0.026750579476356506
