Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,text_length,word_count,has_url,has_mention,has_hashtag,mention_count,hashtag_count
facebook,post,978772920942173,"Happy Holiday Gaisss !!!!!🎄💖 Cuti ni jangan lupa luangkan masa dengan family or self healing tau 😘 Yang penting, nak jalan-jalan naik dengan kami okay!! Sebab,,, kami kan teman destinasi anda.. gituuuuu😎 #maraliner #11untukmslb #maracorp #mara",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid037jefuj9Cmt6Dq8PkNvzsGNry3ib89G3Q96xbD1bvfZKipHyYPZhwERb6cPm7zcWxl,positive,,0,0,0,0,0.999378478527069,0,0.0,,,positive,0.997928261756897,malay,Malay/Bumiputera,happy,0.0130405910313129,0.0230698306113481,0.8986692428588867,0.0075891991145908,0.0314288511872291,0.0115682231262326,245,36,False,False,True,0,4
facebook,post,1179724280847035,"Korang jalan2 cuti panjang, naik apa tuuuu?? 🚍 Saje nak info, KL- KT or KT-KL just RM43 jeeee tau skrg 😏 pluss semua laluan pun ada 10% OFF🔥 Soooo, 15-16/9 ni balik dgn kitorg & pakai kod MALAYSIA10 Jgn nak hold lagi time ni la kena grab!!! #hargabaru #KL #KT #tranung #harimalaysia2025 #maraliner",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid0kg2Ym9DVJUPbWg3nDrUQ3pLBfY5sw7hNHb8hKADShuKzcwxNr2rar5KA56mHTwcdl,positive,,0,0,0,0,0.9968393564224244,0,0.0,,,positive,0.989464521408081,malay,Malay/Bumiputera,no_clear_emotion,0.0557831861078739,0.0184566862881183,0.0390826910734176,0.0289979726076126,0.3112780451774597,0.0423389934003353,301,53,False,False,True,0,6
facebook,post,1057619633057501,"Macam mana guys, okay tak balik raya dengan MARALINER? Maaf ya kalau ada jem atau delay… biasalah, musim ramai balik perayaan kan 🙈🙈 Tapi apa2 pun, kalau korg ada sebarang aduan, cadangan atau nak tanya apa2…min open ruang ni untuk korang sekarang 🤗 tekan je link tu or scan okiessss? 🥰 #balikraya #naikbasmaraliner #maraliner #basekspresmalaysia",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid024aBKhhj6PDgfpsekCfpzUX17qGP2yHgy6uV9Yb8Sv3DBwCSewQxyt4EqZBA4S6Abl,positive,,0,0,0,0,0.9983673572540284,0,0.0,,,positive,0.9945578575134276,malay,Malay/Bumiputera,love,0.0620259866118431,0.0171473994851112,0.0251063592731952,0.0325053595006465,0.6251676082611084,0.0399719439446926,349,55,False,False,True,0,4
facebook,post,1100520875434043,Jangan takut untuk bersuara or terus je mintak bantuan daripada pemandu tau !!! if korang dalam bas & ada yang mengganggu or buat pelik2 dlm bas tu…🚨‼️ We are always watching 👀👀 #kaminampak #janganmacammacam #maraliner #basekspresmalaysia,https://www.facebook.com/MARALinerSdnBhd/posts/pfbid02FCn91xxdxWt5jqwmuSox3Ki7kdVuanJo2rKBoFSdjBCo15xTttLagynfEn5q4NX6l,negative,,0,0,0,0,0.1384803056716919,0,0.0,,,negative,0.5383989810943604,multilingual,Unknown,anger,0.6854047775268555,0.0821829587221145,0.0855327919125557,0.0258208587765693,0.0496015027165412,0.024273794144392,239,36,False,False,True,0,4
facebook,comment,Y29tbWVudDoxMTAwNTIwODc1NDM0MDQzXzEzNjk0OTUyMjA5ODM1NTU=,"Kepada: Bahagian Aduan, Syarikat Bas Maraliner Tarikh: 7 Jun 2025 Per: Aduan Terhadap Perkhidmatan Bas Maraliner (No. Pendaftaran: RR6703) – Tiket 7 Jun 2025, Jam 10:00 Pagi, Dari TBS ke Kuala Terengganu Saya ingin membuat aduan rasmi berhubung dengan pengalaman tidak menyenangkan yang dialami oleh ibu bapa saya pada hari ini, 7 Jun 2025, berkaitan dengan perkhidmatan syarikat Maraliner. Butiran aduan adalah seperti berikut: Tarikh Tiket Dibeli: 9 Mei 2025 Tarikh Perjalanan: 7 Jun 2025 Masa: 10:00 pagi Destinasi: Dari Terminal Bersepadu Selatan (TBS), Kuala Lumpur ke Kuala Terengganu Nombor Pendaftaran Bas: RR6703 Ibu bapa saya, yang merupakan pasangan warga emas, telah tiba lebih awal di stesen bas seperti yang disarankan. Namun, setelah menunggu, mereka dimaklumkan hanya pada jam 10:20 pagi oleh pihak bertugas bahawa bas tersebut tidak akan bergerak kerana hanya terdapat dua penumpang yang membeli tiket untuk perjalanan tersebut. Mereka diminta untuk pergi ke tingkat atas untuk membeli tiket lain serta menguruskan pemulangan bayaran secara dalam talian. Tindakan sebegini amat mengecewakan, apatah lagi terhadap warga emas yang telah membuat perancangan awal dan membeli tiket lebih sebulan lebih awal. Keputusan membatalkan perjalanan pada saat akhir tanpa sebarang notis awal amat tidak profesional dan menyusahkan penumpang. Saya memohon agar pihak Maraliner: Memberi penjelasan rasmi tentang kejadian ini. Menjelaskan dasar pembatalan perjalanan serta hak pengguna dalam situasi seperti ini. Memproses pemulangan bayaran (refund) dengan segera. Memastikan kejadian seperti ini tidak berulang, terutama terhadap warga emas yang memerlukan perhatian dan layanan sewajarnya. Saya amat berharap pihak tuan dapat mengambil tindakan sewajarnya terhadap perkara ini. Sekian, terima kasih.",,negative,2025-06-07 12:57:27+00:00,0,0,1,0,0.0005182027816772,2,,Grace Cheen,0.0,negative,0.9982726573944092,malay,Malay/Bumiputera,sadness,0.0266296938061714,0.0283763613551855,0.0083817271515727,0.8934683203697205,0.015795012935996,0.0145325129851698,1821,255,False,False,False,0,0
facebook,comment,Y29tbWVudDoxMTAwNTIwODc1NDM0MDQzXzI0NjEyNDQ0Mjc1OTEzMzA=,Salam bas mara liner kemaman-tbs dah delay 3 jam. Bas 8/6/2025 12.45pm. Kenapa ni?? Bas rosak ke apa2? Kenapa takde call bagitau customer pun? Call mara liner tak angkat2 🤦🏻‍♀️🤦🏻‍♀️,,negative,2025-06-08 08:10:48+00:00,0,0,1,0,0.1027142643928527,2,,Aznatul Aishah,0.0,negative,0.6576191186904907,english,Mixed/Urban,anger,0.7786052227020264,0.0232051163911819,0.0255621038377285,0.0412689931690692,0.0490564219653606,0.0116046518087387,181,30,False,False,False,0,0
facebook,comment,Y29tbWVudDoxMTE0ODA0MzI0MDA1Njk4XzcxNjIxNjM5ODAzNjYwOQ==,Tak minta Maraliner..,,neutral,2025-06-25 09:35:51+00:00,1,0,1,0,0.5,3,,Kedah Darulaman,0.0,neutral,0.8624364733695984,english,Mixed/Urban,no_clear_emotion,0.1130930930376052,0.0530908107757568,0.0798717439174652,0.0437189675867557,0.1746730506420135,0.0511596798896789,21,3,False,False,False,0,0
facebook,comment,Y29tbWVudDoxMTE0ODA0MzI0MDA1Njk4XzI0NzAxNTY2OTM0NDEwMDI=,Bila maraliner nak guna bas body gemilang?,,negative,2025-06-27 05:11:33+00:00,0,0,0,0,0.1200823456048965,0,,Din Ganu,0.0,negative,0.5997255146503448,multilingual,Unknown,happy,0.0475851409137249,0.1618531942367553,0.3494461476802826,0.0246069226413965,0.3365781903266907,0.0432619489729404,42,7,False,False,False,0,0
facebook,post,949935343825931,Tak tahu nak rasa awkward ke nak gelak 😂 Abang bas ni friendly sangat ke or kita yg overthinking? Korg pernah kena tak? 😅 #abangbas #mesra #maraliner #11untukmlsb #strongertogether #basekspresmalaysia,https://www.facebook.com/reel/482335450864911/,neutral,,0,0,0,0,0.5,0,0.0,,,neutral,0.7463912963867188,english,Mixed/Urban,sadness,0.0344393402338027,0.2541007995605469,0.0441782772541046,0.5817595720291138,0.0264599751681089,0.0428920611739158,200,30,False,False,True,0,6
facebook,post,762661685886632,"Assalammualaikum & Good Day Open for intership! 1) Information Technology If interested, kindly send your resume or call us now. All applications will be treated with the highest level of confidentiality. Only shortlisted will be notified. #hiring #talent #MARA #MARACorp #MARALiner #talentacquisition #recruitment #hiring #vacancy #jawatankosong #internship2024",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid035MibRkurEy1QjpG5pR4odDCAfmYic9NMvtsCxSuPyZD3E3SBaHwXBJCGjgw4H48tl,positive,,0,0,0,0,0.8757816076278686,0,0.0,,,positive,0.5859386920928955,english,Mixed/Urban,love,0.0214034989476203,0.0401859171688556,0.1090435087680816,0.0261042080819606,0.56493079662323,0.1187391802668571,373,47,False,False,True,0,11
