Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
instagram,post,3903833383537675063,"Alhamdulillah kaldu rasa sapinya sudah ada, tinggal nunggu dagingnya nanti di hari raya. Xixi 😁

Kalau kata orang Ciwaru mah, yg begitu teh disebutnya toma. Toma tuh kek perasaan berharap dengan keyakinan penuh bakal dapet. Padahal mah kan ngga boleh ya berharap duluan. 
Apalagi kalau kita berharap pada makluk mah lebih seringnya berujung kecewa. Akhirnya bukan sapi atau domba yg dikorbankan, tapi perasaan. Wkwk  #pengalaman 🤭

Btw, kaldu ini gratis dari beli minyak sunco. Lumayan lah walau cuma sebiji. 
Ya kalaupun nanti ngga ada daging sapi, minimal ada daging ayam yg diberi bumbu rasa sapi 😂

#cerita #ahad #kaldusapi #gratis",https://www.instagram.com/p/DYtM8doEws3/,negative,2026-05-24 03:27:06+00:00,0,0,0,0,0.007525545358657848,0,0.0,,,negative,0.9749148488044739,malay,Malay/Bumiputera,sadness,0.018108991906046867,0.026467816904187202,0.0066514890640974045,0.9082682132720947,0.017153676599264145,0.014372383244335651
instagram,post,3903765596043794656,"Pengalaman adalah,

Pelajaran terbesar datang dari pengalaman yang pahit ,yang tidak mudah terlupakan.
#pengalaman #pahit
#pelajaranbesartakmudahdilupakan",https://www.instagram.com/p/DYs9iBmlNjg/,positive,2026-05-24 01:12:25+00:00,0,0,0,0,0.9879719376564025,0,0.0,,,positive,0.9599064588546753,malay,Malay/Bumiputera,sadness,0.038683898746967316,0.05871374532580376,0.011077648028731346,0.782153844833374,0.07202930003404617,0.02141086757183075
instagram,post,3903475921302668502,"Enggak kalian tengok wee 
Kami mati lampu be 3 
Dengan , banyaknya drama 2 bocil ini,
Di bilangnya pulak kipas mak
Ya ku bilang la cok la mati lampu 
Pikir nya kipas bisa puter sendiri, 
Al hasil tangan emak nya yg kriting, kipas in dua anak ini

Pengalaman di 2026 
24 jam mati lampu 
#pengalaman #cerpen",https://www.instagram.com/p/DYr7qs-iUTW/,negative,2026-05-23 15:36:53+00:00,0,0,0,0,0.009297680854797374,0,0.0,,,negative,0.9690077304840088,malay,Malay/Bumiputera,surprise,0.01845317706465721,0.06494298577308655,0.015196594409644604,0.035711947828531265,0.0558004304766655,0.7083719372749329
instagram,post,3903379280327862032,"Masih semangat ya kawan..dikit demi sedikit yg penting ad kenaikan.

Semua butuh proses dan tahap karna tdk ad yg instan didunia ini.

Kalo kalian yg masih pemula kyak saya seneng g bestie...❓❓
Bagaimana perasaan BESTie...❓❓kita bagi pengalaman y best yg sma² pemula...

#pengalaman #kontenkreator #fotofbpro",https://www.instagram.com/p/DYrlsZDj-cQ/,negative,2026-05-23 12:24:53+00:00,0,0,0,0,0.1500690847635269,0,0.0,,,negative,0.4997697174549103,multilingual,Unknown,surprise,0.015279928222298622,0.24000497162342072,0.09579264372587204,0.03709280118346214,0.10822990536689758,0.4438677728176117
instagram,comment,18164575780381979,i miss duet,,neutral,2026-05-23 05:39:18+00:00,0,0,0,0,0.5,0,,,0.0,neutral,0.7772783041000366,english,Mixed/Urban,love,0.13499130308628082,0.11505024135112762,0.12636613845825195,0.07644690573215485,0.25219297409057617,0.0998038575053215
instagram,post,3903321733059626878,Siapa yang pernah ngalamin......#kepercayaan #motivasi #pengalaman #fotocantik,https://www.instagram.com/p/DYrYm9_FMd-/,positive,2026-05-23 10:30:33+00:00,0,0,0,0,0.8829035699367522,0,0.0,,,positive,0.6096785664558411,multilingual,Unknown,no_clear_emotion,0.03267987072467804,0.09178700298070908,0.11197986453771591,0.02216036058962345,0.06615734845399857,0.30055028200149536
instagram,post,3903142546730832892,"Mimpi Terlambat Sekolah

Sekarang usia jalan kepala 5 tetapi sering kali mimpi terlambat ke sekolah, terlambat pas ujian. 
Rasanya lelah sekali lari - lari sampai di sekolah pintu gerbang terkunci. Bangun - bangun ternyata mimpi

#Mimpi
#pengalaman
#sekolah",https://www.instagram.com/p/DYqv3dtmtP8/,positive,2026-05-23 04:34:32+00:00,0,0,0,0,0.9988467037677764,0,0.0,,,positive,0.9961556792259216,malay,Malay/Bumiputera,sadness,0.04248473793268204,0.3457396924495697,0.01389828510582447,0.5445007681846619,0.011002197861671448,0.028754383325576782
instagram,post,3903091813310776074,"Assalamualaikum selamat pagi semua nya ..
Semalaman rasanya galau gegara mati lampu🥹 batre handphone lowbath,  gelap gulita banget bes🙂‍↕️
Ada yang bilang mati lampunya lama sampai 31 jam rasanya sedih banget🥹 Bangun subuh tau tau nya udah hidup aja, langsung chas hp, hidupkan air, semua yang berhubungan dengan listrik langsung kerjakan takut mati lampu lagi ...Alhamdulillah sekarang udah semangat lagi ☺️
Selamat beraktivitas kembali besti happy weekend 🥰 🥰....

#matilampu #pengalaman #sedih #faceboookpro #semangatlagi",https://www.instagram.com/p/DYqkVMiH8MK/,negative,2026-05-23 02:53:44+00:00,0,0,0,0,0.012671238183975198,0,0.0,,,negative,0.9577625393867493,multilingual,Unknown,sadness,0.20107662677764893,0.12538862228393555,0.02346152998507023,0.600960373878479,0.018515948206186295,0.015710340812802315
instagram,post,3903072430987046897,"Setiap orang punya cerita hebat, mari tulis di CV-mu dengan cara yang tepat. 📖✨

Terkadang kita bingung bagaimana merangkai pengalaman, skill, dan pencapaian ke dalam selembar kertas. Jangan khawatir, itu tugas kami di @jasacv_loloskerja.

Kami bantu mengubah cerita perjalanan kariermu menjadi CV yang elegan dan berkelas. Geser untuk melihat koleksi karya kami!

Ada desain yang membuatmu jatuh hati? Langsung screenshot dan kirim ke DM kami ya. Mari kita buat CV yang bikin kamu bangga!

#jasacv #ceritakarir #jasacv_loloskerja #pengalaman #cvkreatif tipsresume",https://www.instagram.com/p/DYqf7JVmm_x/,positive,2026-05-23 02:15:13+00:00,0,0,0,0,0.9994052290916442,0,0.0,,,positive,0.998017430305481,malay,Malay/Bumiputera,happy,0.03114057518541813,0.05430753901600838,0.47137704491615295,0.02727012149989605,0.33192139863967896,0.04506803676486015
instagram,post,3903052221168960095,#pengalaman 🫸🏿👈🏿,https://www.instagram.com/p/DYqbVDek0Jf/,positive,2026-05-23 01:35:04+00:00,20,0,2,0,0.8401946440339088,22,26.0,,,positive,0.4673154801130295,multilingual,Unknown,no_clear_emotion,0.02150271087884903,0.018857067450881004,0.03997626528143883,0.021173138171434402,0.28316983580589294,0.03619110584259033
instagram,post,3903020177072348294,"Pengalaman sudah ada 

Pengalaman sudah banyak memberikan pelajaran, makasih dari itu cukup di jadi kan bekal untuk meluangkan lebih maju dan jangan pernah menyerah tanpa cerita hidup hidup kurang makna
#pengalaman #guruterbaik
#jadikanlahhuruygternaaik",https://www.instagram.com/p/DYqUCwFlFyG/,positive,2026-05-23 00:31:24+00:00,4,0,0,0,0.9993780851364136,4,4.0,,,positive,0.9979269504547119,malay,Malay/Bumiputera,love,0.20484861731529236,0.050313450396060944,0.07293162494897842,0.1205725446343422,0.464137464761734,0.01594613865017891
instagram,post,3902972636364814012,"Saudaraku, orang yang sengaja pergi darimu
Bukanlah orang yang berarti di hidupmu
Dia yang memilih untuk meninggalkan
Tidak layak untuk menempati hatimu

Dia yang pergi, tidak akan pernah kembali
Dan jika dia kembali, bukanlah karena dia mencintaimu, 
Tapi karena dia membutuhkanmu
Dan itu bukanlah cinta yang sejati

Janganlah kamu menangis, karena kepergiannya. Janganlah kamu merasa sedih, karena dia meninggalkan.
Karena kamu lebih baik daripada itu
Kamu lebih berharga daripada orang seperti itu 

Orang yang berarti di hidupmu
Adalah orang yang memilih untuk tinggal
Orang yang memilih untuk mencintaimu
Dan orang yang memilih untuk mendampingimu

Jadi, janganlah kamu sedih
Janganlah kamu menangis
Karena kamu akan menemukan orang yang lebih baik
Orang yang akan mencintaimu dengan sejati

Kita belajar dari pengalaman tentang cinta yang pernah terluka untuk tidak mengulangi kesalahan yang sama 💔

Lihat dirimu..
Tidak ada nasib buruk dalam hidup ,kita belajar dari kumpulan  keputusan yang kita ambil dan yang terbaik adalah memilih untuk masa depamu. (LYT)

#motivasihidup
#pelajaranhidup
#pengalaman
#wisdom
#jangkauanluas",https://www.instagram.com/p/DYqJO8WmDa8/,positive,2026-05-22 22:56:57+00:00,0,0,0,0,0.9803052723407745,0,0.0,,,positive,0.9343509078025818,malay,Malay/Bumiputera,sadness,0.02802201360464096,0.03500714525580406,0.010367718525230885,0.8472249507904053,0.04488058015704155,0.02136131562292576
