Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
news,post,,"Boy, 12, drowns in Seremban water treatment plant reservoir",https://thesun.my/news/malaysia-news/people-issues/boy-12-drowns-in-seremban-water-treatment-plant-reservoir?utm_source=Newswav&utm_medium=Website,,,neutral,"07/27/2026, 09:55 PM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Fresh contempt bid filed against 6 in Negeri Sembilan dispute,https://www.freemalaysiatoday.com/category/nation/2026/07/28/fresh-contempt-bid-filed-against-6-in-negeri-sembilan-dispute,,,neutral,"07/28/2026, 03:52 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Terminal 1 Seremban Receives Grade A Status,https://www.businesstoday.com.my/2026/07/23/terminal-1-seremban-receives-grade-a-status/,,,neutral,"07/23/2026, 07:19 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Seremban, Negeri Sembilan","https://www.msn.com/en-my/weather/forecast/in-Seremban,Negri-Sembilan",,,neutral,"07/25/2026, 11:49 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Seremban 2: Sustainability strengthens the long-term appeal of IJM Land homes,https://www.nst.com.my/news/nation/2026/07/1496341/seremban-2-sustainability-strengthens-long-term-appeal-ijm-land-homes?source=widget,,,neutral,"07/24/2026, 10:14 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,70-year-old man arrested over alleged political flag removal in Seremban,https://www.thevibes.com/articles/news/125390/70-year-old-man-arrested-over-alleged-political-flag-removal-in-seremban,,,neutral,"07/24/2026, 05:10 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Pencapaian Terminal 1 Seremban bukti manifesto PH bukan sekadar janji politik,https://themalaysiapress.com/2026/07/23/pencapaian-terminal-1-seremban-bukti-manifesto-ph-bukan-sekadar-janji-politik/,,,neutral,"07/23/2026, 06:29 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,QuickCheck: Did an elderly man vandalise campaign flags in Seremban?,https://www.thestar.com.my/news/true-or-not/2026/07/24/quickcheck-did-an-elderly-man-vandalise-campaign-flags-in-seremban,,,neutral,"07/24/2026, 06:56 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Seremban Sentral New Rail Hub Reaches 35% Progress, Set For March 2027 Completion",https://www.businesstoday.com.my/2026/07/21/seremban-sentral-new-rail-hub-reaches-35-progress-set-for-march-2027-completion/,,,neutral,"07/24/2026, 08:14 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Claims of inaction on Seremban land encroachment untrue,https://thesun.my/news/malaysia-news/politics/claims-of-inaction-on-seremban-land-encroachment-untrue/,,,neutral,"07/23/2026, 02:39 PM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Terminal 1 Seremban receives Grade A rating from Apad,https://www.nst.com.my/news/nation/2026/07/1495344/terminal-1-seremban-receives-grade-rating-apad,,,neutral,"07/23/2026, 03:43 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Several major roads in Seremban to close for post-state polls simulation,https://www.thestar.com.my/news/nation/2026/07/08/several-major-roads-in-seremban-to-close-for-post-state-polls-simulation,,,neutral,"07/08/2026, 07:00 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Terminal 1 Seremban earns top APAD Grade A rating,https://thesun.my/news/malaysia-news/people-issues/terminal-1-seremban-earns-top-apad-grade-a-rating/,,,neutral,"07/23/2026, 06:46 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Baby girl dies in pail of soapy water in Seremban,https://thesun.my/news/malaysia-news/crime/baby-girl-dies-in-pail-of-soapy-water-in-seremban?utm_source=Newswav&utm_medium=Website,,,neutral,"07/27/2026, 02:28 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,QuickCheck: Did a construction site mishap knock out KTM services between Batang Benar and Labu?,https://www.thestar.com.my/news/true-or-not/2026/07/23/quickcheck-did-a-construction-site-mishap-knock-out-ktm-services-between-batang-benar-and-labu,,,neutral,"07/23/2026, 06:37 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Loke unveils vision for 'Seremban Triangle' to revitalise city centre through integrated transport hub,https://thesun.my/news/malaysia-news/people-issues/loke-unveils-vision-for-seremban-triangle/,,,neutral,"07/23/2026, 03:33 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Seremban’s Terminal 1 earns Grade A rating, meets highest public transport standards, says Anthony Loke",https://www.malaymail.com/news/malaysia/2026/07/23/serembansterminal-1-earns-grade-a-rating-meets-highest-public-transport-standards-says-anthony-loke/228672,,,neutral,"07/23/2026, 06:01 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Seremban Sentral railway station on track to meet completion date,https://www.thestar.com.my/news/nation/2026/07/22/seremban-sentral-railway-station-on-track-to-meet-completion-date,,,neutral,"07/22/2026, 12:54 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Cash-strapped Careplus to sell Seremban land for RM42 mil to fund new energy vehicle venture,https://theedgemalaysia.com/node/809580,,,neutral,"07/06/2026, 07:00 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Man killed in suspected hit-and-run in Seremban while putting up party flags in N. Sembilan,https://www.malaymail.com/news/malaysia/2026/07/20/man-killed-in-seremban-hit-and-run-while-putting-up-party-flags-in-n-sembilan/228348,,,neutral,"07/20/2026, 07:46 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Extra KTM ETS trains for Negeri Sembilan state elections this weekend - JB Sentral-Seremban, KL Sentral to JB",https://paultan.org/2026/07/27/extra-ktm-ets-trains-for-negeri-sembilan-state-elections-this-weekend-jb-sentral-seremban-kl-sentral-to-jb/,,,neutral,"07/27/2026, 09:31 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,IJM Land hands over keys for NOVA Phase 1 in Seremban 2 Heights,https://theedgemalaysia.com/node/811094,,,neutral,"07/17/2026, 07:00 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Disabled woman braves drizzle on three-wheeler for chance to meet Anwar in Seremban,https://www.malaymail.com/news/malaysia/2026/07/22/disabled-woman-braves-drizzle-on-three-wheeler-for-chance-to-meet-anwar-in-seremban/228608,,,neutral,"07/22/2026, 12:26 PM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Seremban Sentral railway station 35% completed, ready in March 2027, says Loke",https://theedgemalaysia.com/node/811457,,,neutral,"07/21/2026, 05:34 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Seremban Sentral railway station 35% built, says Loke",https://www.thestar.com.my/news/nation/2026/07/21/seremban-sentral-railway-station-35-built-says-loke,,,neutral,"07/21/2026, 04:35 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"PH targets 23 seats to form stable Negeri Sembilan govt, says Loke",https://theedgemalaysia.com/node/811266,,,neutral,"07/20/2026, 12:58 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Activist remanded for two days in Seremban after returning from Thailand,https://www.malaymail.com/news/malaysia/2026/07/19/activist-remanded-for-two-days-in-seremban-after-returning-from-thailand/228181,,,neutral,"07/19/2026, 07:00 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,Hit-and-run: Election worker killed after being struck by lorry in Seremban,https://www.thestar.com.my/news/nation/2026/07/20/hit-and-run-election-worker-killed-after-being-struck-by-lorry-in-seremban,,,neutral,"07/20/2026, 07:30 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Terrace House for Sale in Seremban, Negeri Sembilan by KIMBERLY ONG",https://www.edgeprop.my/listing/sale/4084003/negeri_sembilan/seremban/landed/terracehouse/corner-house-alaris-nusari-bayu-bandar-sri-sendayan,,,neutral,"07/25/2026, 12:52 PM, +0000 UTC",0,0,0,0,0.0,0,0.0
news,post,,"Fallen construction structure disrupts KTM, ETS services in Negeri Sembilan",https://www.freemalaysiatoday.com/category/nation/2026/07/23/fallen-construction-structure-disrupts-ktm-ets-services-in-negeri-sembilan,,,neutral,"07/23/2026, 08:25 AM, +0000 UTC",0,0,0,0,0.0,0,0.0
