Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
threads,post,3.7883862445195136e+18,"Fadhlina Sidek Menteri Pendidikan PALING GAGAL!!!!!!!! 
Kalau Ustaz beri ceramah agama di sekolah tapi pasang lambang parti PAS depan rostrum boleh ke?",https://www.threads.com/@hs_merah/post/DSTDTe4j80v,negative,2025-12-15 20:34:18+00:00,3463,0,700,0,0.0005091905593871959,4163,5563.0,negative,0.998302698135376,malay,Malay/Bumiputera,no_clear_emotion,0.21293500065803528,0.035282641649246216,0.056801002472639084,0.03269976004958153,0.1589057594537735,0.0314171276986599
threads,post,3.795978805513885e+18,"Bekas Perdana Menteri, Dato’ Seri Najib Razak didapati bersalah guna kedudukan untuk peroleh suapan RM2.3 billion dana 1MDB.

Alhamdulillah. Kemenangan besar untuk rakyat & khususnya negara tercinta Malaysia 🤲🏻",https://www.threads.com/@khairilanuar_/post/DSuBpyVkRZp,positive,2025-12-26 07:59:18+00:00,3747,0,103,0,0.9993938386440276,3850,4056.0,positive,0.997979462146759,malay,Malay/Bumiputera,love,0.09065862745046616,0.06123023480176926,0.035280488431453705,0.24977579712867737,0.4559275507926941,0.05434538796544075
threads,post,3.887867916096334e+18,"""Malaysia Bukan Negara Islam."" Jom Kita Bahas.

Ada komen yang naik:

""Malaysia bukan negara Islam. Ini negara berbilang agama. Pesta ni untuk non-Muslim. Kalau haram dalam agama kau, jangan pergi. Tak ada siapa paksa kau.""

Nampak macam logical. Tapi cuba kita pecahkan satu-satu sebab ada banyak silap fakta dan silap logik di sini.",https://www.threads.com/@ustazabuhaajar/post/DX0e0VYj2d5,negative,2026-05-02 02:46:33+00:00,1395,0,36,0,0.0004994451999664196,1431,1503.0,negative,0.9983351826667786,malay,Malay/Bumiputera,no_clear_emotion,0.12111449241638184,0.03867059201002121,0.04813230410218239,0.03096551075577736,0.30757951736450195,0.05584145709872246
threads,post,3.6388687061823954e+18,"Najib anak Tun Razak = Nepotisme ❌
Hishamuddin anak Tun Hussein = Nepotisme❌
KJ menantu Tun AB = Nepotisme❌
Mukhriz anak Tun Mahathir = Nepotisme❌
Nurul Izzah anak Anwar = Panglima Reformasi✅💪🏻
Reformasi",https://www.threads.com/@m.y_why/post/DJ_288ISXZW,neutral,2025-05-23 13:29:34+00:00,656,0,275,0,0.5,931,1481.0,neutral,0.7564488053321838,english,Mixed/Urban,love,0.27672532200813293,0.021583981812000275,0.07091700285673141,0.053647588938474655,0.2937355041503906,0.027020519599318504
threads,post,,"SEKOLAH KEBANGSAAN :

TAKBIR DI SEKOLAH - ❌
DOA QUNUT DI BACA - ❌
HANTAR SUMBANGAN BANTU SEKOLAH - ❌
BERI CERAMAH MOTIVASI KHAS UNTUK ANAK² YANG  MENDUDUKI PERPERIKSAAN SDEA -❌

SEKOLAH : DAP
BUAT MAJLIS PARTI ARAK - ✅
CERAMAH POLITIK - ✅
HAPPY BIRTHDAY PMX - ✅
CERAMAH LETAK LOGO PARTI DAP - ✅

Ok lah yealah.. kami faham..

Bak kata si langat.

""INI KERAJAAN KAMI SUKAHATI KAMI LAH""

Aaaa.. yea lah tu.. Mudahan lekas lah melingkup!",,negative,2025-12-15 23:43:51+00:00,1001,0,35,0,0.0005010902881622536,1036,1106.0,negative,0.9983296990394592,malay,Malay/Bumiputera,happy,0.0160530935972929,0.03711191937327385,0.8766164183616638,0.010230052284896374,0.02614479884505272,0.016015876084566116
threads,post,,Imagine if PAS doing this,,neutral,2025-12-16 00:31:40+00:00,416,0,3,0,0.5,419,425.0,neutral,0.8327292203903198,english,Mixed/Urban,happy,0.056339435279369354,0.04512418806552887,0.4919865131378174,0.017544753849506378,0.19822651147842407,0.02316572330892086
threads,post,,"Tun Razak presiden umno timbalan presiden dia Tun Dr Ismail

Tun Hussein On Presiden umno timbaln presiden umno Tun Dr Mahathir

Tun Abdullah Badawi presiden umno timbalan presiden dia Dato Seri Najib

Tun Mahathir presiden umno timbalan presiden dia Tun Abdullah Badawi

Dato Seri Anwar presiden PKR dan Timbalan Presiden Nurul Izzah ( anak perempuan presiden )

nmpk x beza situasi ni dgn manta presiden2 umno yg brader nyatakn tu.",,negative,2025-05-23 16:40:45+00:00,303,0,19,0,0.0005012333393096813,322,360.0,negative,0.998329222202301,malay,Malay/Bumiputera,no_clear_emotion,0.040335871279239655,0.012302271090447903,0.026210496202111244,0.022622058168053627,0.22776678204536438,0.029749751091003418
threads,post,3.8808161785999406e+18,"Wakil Rakyat Wong Siew Ki 

Peringatan tegas bahawa kita Malaysia mempunyai Perkara 181 Perlembagaan dan Persekutuan yang menyatakan Kedaulatan dan Bidang Kuasa Raja-Raja.

Kenyataan yang kurang bijak tular pada hari ini secara langsung membelakangkan perlembagaan Negara, membangkang dan mempersoalkan prerogatif Raja.

Sekatan dibawah Akta Hasutan 1948 perlu diambil.",https://www.threads.com/@ruangananakbertuah/post/DXbbcDECdJ5,positive,2026-04-22 09:41:59+00:00,192,0,51,0,0.8943773090839385,243,345.0,positive,0.6479243636131287,malay,Malay/Bumiputera,anger,0.347566694021225,0.02371942438185215,0.07581335306167603,0.05478409677743912,0.29092228412628174,0.02417028695344925
threads,post,,"Fallacy Pertama ""Kalau haram dalam agama kau, jangan pergi""

Bantahan umat Islam bukan sebab ""kami terpaksa hadir"". Bantahan kami sebab:

1. pesta ni dianjurkan oleh Kementerian Pelancongan (kerajaan), bukan event swasta tertutup.
2. ia berlangsung di ruang awam Bukit Bintang, bukan dalam private venue.
3. duit cukai rakyat (termasuk Muslim) digunakan untuk anjur dan promote.

Kami bukan tak nak hadir. Kami tak nak kerajaan kami sendiri fund dan promote ia.",,negative,2026-05-02 02:46:42+00:00,327,0,4,0,0.0004969954490661732,331,339.0,negative,0.9983433485031128,malay,Malay/Bumiputera,no_clear_emotion,0.3220677375793457,0.022344307973980904,0.035417091101408005,0.023591510951519012,0.18224841356277466,0.030198395252227783
threads,post,,Parti racist ne sepatutnya dari dulu diharamkan,,negative,2025-12-15 23:32:10+00:00,305,0,5,0,0.12896990776062012,310,320.0,negative,0.5701003074645996,english,Mixed/Urban,love,0.28050434589385986,0.026810280978679657,0.06232285499572754,0.05006132274866104,0.36021775007247925,0.03537236154079437
