Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
youtube,post,2yG4yQoQ2As,"These photos were not created by me, it was created by MBTE. I made using Windows Movie Maker.",https://www.youtube.com/watch?v=2yG4yQoQ2As,neutral,2016-12-11 11:16:18+00:00,14,0,0,2395,0.5,37,16.395,,,neutral,0.8174183368682861,english,Mixed/Urban,no_clear_emotion,0.046337492763996124,0.026468392461538315,0.03156857192516327,0.022035721689462662,0.03266287222504616,0.0957045927643776
youtube,post,oBiy6Zx9Qf0,Bas Mara Liner Scania K410,https://www.youtube.com/watch?v=oBiy6Zx9Qf0,neutral,2024-11-26 20:30:06+00:00,2,0,0,105,0.5,3,2.105,,,neutral,0.8782690763473511,english,Mixed/Urban,love,0.09141615778207779,0.026504598557949066,0.05845673382282257,0.0364714153110981,0.5072999000549316,0.02651381306350231
youtube,post,CCQ4gKRGabY,"jangan lupa like, subscribe dan turn notification..",https://www.youtube.com/watch?v=CCQ4gKRGabY,neutral,2024-03-20 09:47:22+00:00,3,0,0,19,0.5,3,3.019,,,neutral,0.8771883249282837,english,Mixed/Urban,love,0.05020884424448013,0.016276119276881218,0.033894430845975876,0.019025830551981926,0.6704243421554565,0.034818317741155624
youtube,post,TkZJNjcIQ0Y,Video Korporat MARA Liner,https://www.youtube.com/watch?v=TkZJNjcIQ0Y,neutral,2022-09-15 07:42:13+00:00,17,0,0,950,0.5,26,17.95,,,neutral,0.805259108543396,english,Mixed/Urban,no_clear_emotion,0.05654763802886009,0.02294202148914337,0.04433498531579971,0.014906318858265877,0.10249927639961243,0.027352428063750267
youtube,post,sFzy3TC-Vqw,"jngn lupe like , subscribe, share and think noflication
😘",https://www.youtube.com/watch?v=sFzy3TC-Vqw,neutral,2022-03-30 03:11:40+00:00,12,0,0,259,0.5,14,12.259,,,neutral,0.6040856242179871,english,Mixed/Urban,love,0.07394695281982422,0.04288532957434654,0.02390247769653797,0.03868318349123001,0.7456896305084229,0.025998180732131004
youtube,post,TvtxAqNBzOE,Konvoi MaraLiner di Alor Setar,https://www.youtube.com/watch?v=TvtxAqNBzOE,neutral,2022-07-23 13:51:10+00:00,2,0,0,341,0.5,5,2.341,,,neutral,0.8919045925140381,english,Mixed/Urban,love,0.08127371966838837,0.016580447554588318,0.07759800553321838,0.022472208365797997,0.58758944272995,0.01775224506855011
youtube,post,eB_Osw0W-1k,BAS MARA LINER TANJONG MALIM,https://www.youtube.com/watch?v=eB_Osw0W-1k,neutral,2023-01-11 04:47:09+00:00,17,0,0,1876,0.5,35,18.876,,,neutral,0.7065718770027161,english,Mixed/Urban,love,0.10275951772928238,0.020345371216535568,0.05521775782108307,0.023111019283533096,0.56498783826828,0.018307436257600784
youtube,post,Cp3ci7dOZSY,Maraliner.. 😂 😂,https://www.youtube.com/watch?v=Cp3ci7dOZSY&list=RDCp3ci7dOZSY&start_radio=1,neutral,2021-06-16 15:24:07+00:00,3,0,0,42,0.5,3,3.042,,,neutral,0.7219680547714233,english,Mixed/Urban,love,0.06105495244264603,0.028363758698105812,0.04863068088889122,0.02234851010143757,0.6435668468475342,0.025848034769296646
youtube,post,oHNqoEMOhb0,"Pada 16 Mac 2022, saya telah membeli tiket bas ekspres dari syarikat MARALINER di Melaka Sentral untuk menuju ke Terminal Bersepadu Selatan, Kuala Lumpur.

Ini adalah pertama kali saya menaiki bas dua tingkat dari MARALINER. Harga tiketnya ialah RM13.50 ( termasuk insuran penumpang ).

Kerusi dan kusyennya lebih selesa bagi perjalanan jauh atau yang tersekat di dalam kesesakan lebuhraya. Pada masa diskripsi ini ditaip, lebuhraya telah mula sesak di kawasan Pedas - Linggi (1.20 petang).

#maraliner #basekspres #lebuhrayautaraselatan",https://www.youtube.com/watch?v=oHNqoEMOhb0,neutral,2022-03-16 05:51:37+00:00,11,0,0,2390,0.5,34,13.39,,,neutral,0.9970473647117615,malay,Malay/Bumiputera,anger,0.747200071811676,0.04409252852201462,0.07370121031999588,0.017948908731341362,0.04420894756913185,0.013529251329600811
youtube,post,9_LBdliFhic,MaraLiner Kuala Nerang@Bonus Express Cosmic BQA 9999,https://www.youtube.com/watch?v=9_LBdliFhic,neutral,2023-01-31 12:51:03+00:00,8,0,0,1757,0.5,25,9.757,,,neutral,0.838426411151886,english,Mixed/Urban,love,0.09027016907930374,0.027212098240852356,0.0740838497877121,0.03534955531358719,0.5840803980827332,0.02392636053264141
