Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery,CrawlMethod,SourceName,PostID,SourceID,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,geo_johor,geo_melaka,geo_ns,narrative_solo,narrative_split
news,post,e745c8e25864ec21,"PGA8 rampas 200 peranti vape di tepi Sungai Golok. PASIR MAS: Batalion 8 Pasukan Gerakan Am (PGA8) merampas 200 unit peranti vape dianggarkan bernilai RM20,000 yang ditinggalkan di tepi Sungai Golok di Pangkalan Haram Pok Dik, di sini. Komander Briged Tenggara PGA, Senior Asisten Komisioner Ahmad Radzi Hussain, berkata terdahulu pasukannya membuat r",https://www.bharian.com.my/berita/nasional/2026/06/1571189/pga8-rampas-200-peranti-vape-di-tepi-sungai-golok,negative,2026-06-13T12:40:07.000000000,0,0,0,0,0.0034741759300231934,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9884194135665894,malay,Malay/Bumiputera,sadness,0.2850934863090515,0.09394121915102005,0.03590719774365425,0.3129720389842987,0.10327786207199097,0.031192943453788757,False,False,False,False,False
news,post,ed26e7684489712a,"PRN Johor, Negeri Sembilan berasingan beri kelebihan kepada BN?, Ini penjelasan Khaled Nordin. KOTA TINGGI: Peluang menang mana-mana parti, termasuk Barisan Nasional (BN) pada Pilihan Raya Negeri (PRN) Johor atau Negeri Sembilan ditentukan oleh kesediaan dan keupayaan sendiri, bukannya kerana diadakan serentak atau berasingan. Naib Presiden UMNO, Datuk Seri Mohamed Khaled Nordin, berkata BN t",https://www.bharian.com.my/berita/nasional/2026/06/1571176/prn-johor-negeri-sembilan-berasingan-beri-kelebihan-kepada-bn-ini,negative,2026-06-13T12:22:38.000000000,0,0,0,0,0.07953055500984191,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.7348981499671936,malay,Malay/Bumiputera,no_clear_emotion,0.043564170598983765,0.024297762662172318,0.06720263510942459,0.016674553975462914,0.11709770560264587,0.025310784578323364,True,False,True,False,False
news,post,71549ffb9120990c,"Tulang ikan terubuk kini boleh dilembutkan, tingkat potensi komersial. KOTA BHARU: Penyelidik Universiti Malaysia Kelantan (UMK) berjaya membangunkan teknologi inovatif pelembutan tulang terubuk, yang membolehkan ikan itu dimakan bersama tulangnya dengan selamat tanpa menjejaskan rasa, tekstur dan nilai pemakanan. Ketua projek Prof Dr Raja Suzana Raja Kasim, berkata te",https://www.bharian.com.my/berita/nasional/2026/06/1571168/tulang-ikan-terubuk-kini-boleh-dilembutkan-tingkat-potensi-komersial,positive,2026-06-13T12:01:36.000000000,0,0,0,0,0.9978704154491425,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,positive,0.9929013848304749,malay,Malay/Bumiputera,happy,0.13757959008216858,0.06601022183895111,0.4161706268787384,0.026715707033872604,0.12127415835857391,0.03712833300232887,False,False,False,False,False
news,post,d8efdaffeebb4f2f,"PRN Johor: Majoriti tipis, 10 DUN kerusi panas. JOHOR BAHRU: Sekurang-kurangnya 10 kawasan Dewan Undangan Negeri (DUN) dikenal pasti sebagai kerusi panas dalam Pilihan Raya Negeri Johor (PRN) pada 11 Julai ini, berikutan kemenangan majoriti nipis oleh penyandangnya, selain perebutan parti komponen gabungan yang mahu meletakkan calon. Tujuh kerusi",https://www.bharian.com.my/berita/nasional/2026/06/1571152/prn-johor-majoriti-tipis-10-dun-kerusi-panas,negative,2026-06-13T11:45:44.000000000,0,0,0,0,0.08291724622249602,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.7236091792583466,multilingual,Unknown,no_clear_emotion,0.04075649380683899,0.03445199131965637,0.041407160460948944,0.013570515438914299,0.04627004638314247,0.031240230426192284,True,False,False,False,False
news,post,a7900a5e48bb1f00,"PRN Negeri Sembilan: 4 penyandang goyah, berisiko. SEREMBAN: Lebih 10 kerusi Dewan Undangan Negeri (DUN) bakal menjadi tumpuan pada Pilihan Raya Negeri (PRN) Negeri Sembilan ke-16, yang dijadualkan berlangsung pada 1 Ogos depan. Situasi itu berlaku berikutan beberapa faktor, termasuk majoriti kemenangan di bawah 1,000 undi pada PRN yang lalu, status",https://www.bharian.com.my/berita/nasional/2026/06/1571137/prn-negeri-sembilan-4-penyandang-goyah-berisiko,neutral,2026-06-13T11:27:01.000000000,0,0,0,0,0.5,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,neutral,0.9771109819412231,malay,Malay/Bumiputera,no_clear_emotion,0.2982211112976074,0.06310450285673141,0.07270928472280502,0.10896804183721542,0.11310584843158722,0.024252165108919144,False,False,True,False,False
news,post,e564d08f382caed5,"Kemelut Negeri Sembilan bukan hanya politik, tapi..... Seremban: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.hmetro.com.my/mutakhir/2026/06/1369320/kemelut-negeri-sembilan-bukan-hanya-politik-tapi,negative,2026-06-13T11:10:16.000000000,0,0,0,0,0.00048088431358339623,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,negative,0.9983970522880554,malay,Malay/Bumiputera,anger,0.6548941731452942,0.1055736318230629,0.04669082909822464,0.02833545207977295,0.04470716789364815,0.02347370609641075,False,False,True,False,False
news,post,32dca8ea8908f20b,"Kemelut di Negeri Sembilan uji kredibiliti media. SEREMBAN: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.bharian.com.my/berita/nasional/2026/06/1571096/kemelut-di-negeri-sembilan-uji-kredibiliti-media,negative,2026-06-13T10:21:29.000000000,0,0,0,0,0.0005698263645171897,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9981005787849426,malay,Malay/Bumiputera,anger,0.6947635412216187,0.08790012449026108,0.04786485806107521,0.025425570085644722,0.04132732376456261,0.020189715549349785,False,False,True,False,False
news,post,b75fb9d44bb0ed60,"Bekas Speaker DUN Perlis dakwa kedudukan kerajaan negeri goyah, syor adakan PRN segera. KANGAR: Pentadbiran kerajaan negeri ketika ini didakwa goyah susulan pergolakan politik dalaman Perikatan Nasional (PN) membabitkan hubungan antara PAS dan BERSATU. Bekas Speaker Dewan Undangan Negeri (DUN) Perlis, Datuk Hamdan Bahari, berkata situasi itu meletakkan keabsahan kerajaan negeri dalam k",https://www.bharian.com.my/berita/nasional/2026/06/1571082/bekas-speaker-dun-perlis-dakwa-kedudukan-kerajaan-negeri-goyah-syor,negative,2026-06-13T09:59:28.000000000,0,0,0,0,0.0006198406219482533,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.9979338645935059,malay,Malay/Bumiputera,sadness,0.34007370471954346,0.07332076877355576,0.031151115894317627,0.35151877999305725,0.07856524735689163,0.025840166956186295,False,False,False,False,False
news,post,87f6a667fd110df9,"PRN Negeri Sembilan: Pembahagian parti gabungan PH selesai, paling pantas - Aminuddin. am@hmetro.com.my Seremban: Pakatan Harapan (PH) Negeri Sembilan kekal untuk bergerak solo apabila akan bertanding semua 36 kerusi Dewan Undangan Negeri (DUN) pada Pilihan Raya Negeri (PRN) Ke-16, pada 1 Ogos depan. Menteri Besar merangkap Pengerusi PH negeri, Datuk Seri Aminuddin Harun, berkata pemb",https://www.hmetro.com.my/mutakhir/2026/06/1369299/prn-negeri-sembilan-pembahagian-parti-gabungan-ph-selesai-paling-pantas,neutral,2026-06-13T09:51:57.000000000,0,0,0,0,0.5,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,neutral,0.9712613224983215,malay,Malay/Bumiputera,no_clear_emotion,0.19194094836711884,0.059618741273880005,0.137038916349411,0.029272552579641342,0.08673760294914246,0.03391401097178459,False,False,True,True,False
news,post,2f42f70fb8ac1710,"Sanusi yakin menang 36-0, 15-0 di Kedah. hifzuddin@bh.com.my Alor Setar: Datuk Seri Muhammad Sanusi Md Nor yakin PAS bersama rakan gabungannya mampu memenangi kesemua 36 kerusi Dewan Undangan Negeri (DUN) Kedah pada Pilihan Raya Negeri (PRN) akan datang. Menteri Besar Kedah itu berkata, beliau turut yakin parti itu mampu menyapu bersih 15",https://www.hmetro.com.my/mutakhir/2026/06/1369269/sanusi-yakin-menang-36-0-15-0-di-kedah,positive,2026-06-13T08:24:29.000000000,0,0,0,0,0.9909109771251678,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,positive,0.9697032570838928,malay,Malay/Bumiputera,happy,0.0464942529797554,0.07683713734149933,0.6841453909873962,0.009523561224341393,0.0673266127705574,0.020040877163410187,False,False,False,False,False
