code,name,tier,hold,registered,turnoutPct,PH_2023,PN_2023,BN_2023,muafakat_PN_BN,muafakat_vs_PH,margin_now,verdict,melayu_PH,melayu_PN,melayu_BN,cina_PH,cina_PN,india_PH,india_PN
N25,Paroi,wajib,PN,60704,71.6,0,23840,18301,42141,42141,5539,"PERTAHAN (PAS/PN menang +5,539)",0,14658,11945,,,0,8019
N31,Bagan Pinang,wajib,PN,27790,75.7,0,10921,7495,18416,18416,3426,"PERTAHAN (PAS/PN menang +3,426)",0,6221,4793,,,0,669
N05,Serting,wajib,PN,30287,65.9,0,10312,9469,19781,19781,843,PERTAHAN (PAS/PN menang +843),0,8285,5918,0,514,0,1169
N20,Labu,wajib,PN,30478,71.8,10021,11661,0,11661,1640,1640,"PERTAHAN (PAS/PN menang +1,640)",5857,7443,0,1867,1697,2211,2443
N34,Gemas,wajib,PN,29648,69.0,0,11653,8533,20186,20186,3120,"PERTAHAN (PAS/PN menang +3,120)",0,7091,5660,,,0,1023
N14,Ampangan,wajib,PH,20992,71.3,6054,5725,3079,8804,2750,329,"FLIP KUAT (muafakat +2,750)",5189,5485,2903,,,,
N13,Sikamat,wajib,PH,32343,72.5,12730,10068,0,10068,-2662,2662,"SANGAT SUKAR (muafakat -2,662)",9239,7873,0,1591,387,,
N18,Pilah,wajib,PH,17692,65.0,6222,5143,0,5143,-1079,1079,"SUKAR (muafakat -1,079)",4746,3603,0,1221,1141,,
N04,Klawang,wajib,PH,13163,68.9,4598,4021,364,4385,-213,577,SUKAR (muafakat -213),2366,2795,280,,,2082,1051
N33,Sri Tanjung,berhasrat,PH,19431,64.8,8239,4243,0,4243,-3996,3996,"SANGAT SUKAR (muafakat -3,996)",4988,3057,0,,,3112,886
N10,Nilai,berhasrat,PH,42168,69.0,19133,8244,1430,9674,-9459,10889,"SANGAT SUKAR (muafakat -9,459)",8936,3906,595,9945,4060,,
N01,Chennah,berhasrat,PH,14554,66.7,5888,3688,0,3688,-2200,2200,"SANGAT SUKAR (muafakat -2,200)",1936,1599,0,3816,1723,,
N36,Repah,berhasrat,PH,27284,63.3,11507,0,5557,5557,-5950,5950,"SANGAT SUKAR (muafakat -5,950)",8434,0,4034,824,0,2071,0
