Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
news,post,eaa7545b3df73b63,"We are the biggest party in Perikatan: PAS leader tells Bersatu. We are the biggest party in Perikatan: PAS leader tells Bersatu&nbsp;&nbsp;The StarPAS-Bersatu break-up paves way for new Malay-centric pact, with implications for Malaysia politics&nbsp;&nbsp;CNAPN meeting next week to discuss Bersatu's future, Hamzah's entry&nbsp;&nbsp;Malaysiakini",https://news.google.com/rss/articles/CBMisgFBVV95cUxNbDVJRVowWjlfZlJRTmZzRTExeTk5dlBDZUN4Wi1vYlc2VTJNWFFiSlc1MVpWNDN3QWVvRHdrNm1YeVZTTkR0X0N4VGlZT0x2S1J0U0RKLWVBSm1RYVZtVzU4a0RyVklxMnB5V1lrM1FsemEyblY1NUVWUC10X0tpSm5TSkdPUF9BX3FOYXBIb2tjSDE5M1BwX054bE9hcDVSSG8wNkF4ZC1yaUs3RGdnNWV3?oc=5,neutral,2026-06-11 09:55:00+00:00,0,0,0,0,0.5,0,0.0,neutral,0.5114758610725403,english,Mixed/Urban,love,0.05493690073490143,0.03344396501779556,0.2579982876777649,0.03630934655666351,0.3479682207107544,0.03474121540784836
news,post,c36e85fe4acb6840,"PM Anwar stresses Unity Government stability, rejects talk of betrayal as PAS ends Bersatu ties. PM Anwar stresses Unity Government stability, rejects talk of betrayal as PAS ends Bersatu ties&nbsp;&nbsp;Malay Mail",https://news.google.com/rss/articles/CBMi5wFBVV95cUxNR3BaMXBLNmV4S3AzQm9Mc1QzOXV5TE9QNTJjOVlEZ0dRcHJKNWlJck83RDZ6NEM5ZkN4bENvdjhpOF81V2M4SWktZUNYU0ZwZU9TbTBib1VlQnpfTW10MEx6OTZYd0lscVQxc1lkSUdYNExZS0ZCREhQekNSZGh1VkVtQS13QXJCVXRvVXlzS0Z6Ui1WRk1hTHh4SFI0Uk5YTVp2d3ktcmc4dXB4Y3V6cE5aYVdOb3ItUklOdU80YWQ3Ujk5amtwYjB0WVNuRkZNMmFMWUdqZ3NaWjBBY2k0NTlIdndtR2PSAewBQVVfeXFMTW1PY1N3LVZUYTZXNHBuR3RSZE5GODRWbV9zU0FWTGl4Q3Y1eFVOX1F4YU9od1RGRG44Nkt5Y2tKR0NyNTlGbkRzakNwYlh4V3dMZWpiT2tHTXhTcTE2WTdVUlM1OFhzM250QmkyLS1OYTNHSVh3N0tkSU9YVDRxeGwzQnNHc3UxMnc4Q2lSLXdJUU9OMGFKQ2NKSzJwWjUzODNiVUx5N000UWdocE1FeU12YV85V0hQY3ZIaUdfNUtqTDJMRWs2Q1dUbk5QQTd2a19IV2sxdWFPVmk0OTdUMndCRHdYWi1rWVhOSlE?oc=5,neutral,2026-06-11 06:38:25+00:00,0,0,0,0,0.5,0,0.0,neutral,0.6428707242012024,english,Mixed/Urban,happy,0.08655871450901031,0.0601329579949379,0.2914363741874695,0.041957512497901917,0.238827183842659,0.032229866832494736
news,post,1c31aed4e17add5a,Bersatu leader slams Pas 'Publika cluster' over opposition rift. Bersatu leader slams Pas 'Publika cluster' over opposition rift&nbsp;&nbsp;NST Online,https://news.google.com/rss/articles/CBMisgFBVV95cUxQcTBVcDdsRHQ0YVY1bjVpdURaSUJ1SnlZV0ZoNWpFcUpTQUJQb0pfNGw0NU1OaVE0dWlKdzFmTGlzbXRBT04yYm5WTkxmd0VObjQxbWc0MjAtLXFtUkE5c2tfQksxZ1J1eWRiT2xzeDN4bXdyUjJSZ1VLbktUMHhmajd4WThSaDg2RWlkYXNnTnMzUjB0X1RLZ1NWVWY2TVFRcWVBYTc3NkUwX2hwOXhaVVZn0gG3AUFVX3lxTFB2Sm5EN1RTTDcxeEpxZHoya0RxVWJqYkR5SlRDUFJqVmEzc3N3WVJzakVEak5Tc21GQkFaUjhSc1JZbk1KTU92eDNlUXFJZE9XZHp0VXBhbG1GU2JDS2k5LUlUV0pualVXb2xlNGxVQk52c0YzeHZRN0JRenRpdWlHQTRLNk5OQk5HbUgyUXdOLTZiZDRkNlhDc0t0a1Rib2t5Z1c0d0ZiVGwtVmxYMVk3LTZqenNLWQ?oc=5,negative,2026-06-10 15:49:29+00:00,0,0,0,0,0.11108924746513366,0,0.0,negative,0.6297025084495544,english,Mixed/Urban,anger,0.4900480806827545,0.03720680996775627,0.1093340590596199,0.019822243601083755,0.08159967511892319,0.017816806212067604
news,post,6f06a64235bb0288,"PAS and Bersatu-led states unchanged despite split, amid uncertainty over PN. PAS and Bersatu-led states unchanged despite split, amid uncertainty over PN&nbsp;&nbsp;The Edge Malaysia",https://news.google.com/rss/articles/CBMiUEFVX3lxTE1KNWxHTFVQSEIzNFRBLXQ5YmVSVl9WaWlDQlpfZkFUOGdMV0FYN2hqcVFHOW5OWno0M2E4SFpKZGFEeFFYM1lndHdUbTZLenha?oc=5,neutral,2026-06-10 13:26:15+00:00,0,0,0,0,0.5,0,0.0,neutral,0.8845171928405762,english,Mixed/Urban,anger,0.5205201506614685,0.25991538166999817,0.096369169652462,0.020477375015616417,0.033401232212781906,0.02056301198899746
news,post,d1b46183e370b3f9,"Bersatu-PH tie-up a possibility as coalition seeks Malay support, analyst says. Bersatu-PH tie-up a possibility as coalition seeks Malay support, analyst says&nbsp;&nbsp;The Vibes",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPaFFBOERsQ0wzX0MzZFR3VGh5RTFGdFJVdVBXX0J5NWtEdjZ4QkFLY3BZMHJtUjgwdkhKVEozZHpScXJlc183aTI1eHg4SVhCRERzOGxuZURtaDlwR2RsT0cteFQ3NEFLb0FwTExqcVFvQWwxZ3A5MXVxcTdkYl9Ga0ZiNEt5ZHd0ZXUwaXhoTnFoS0d2dkg4SnUxV1JSUWczYTU4V1JTQzFiNlBybEROcl93dGNEWEd6VGI3V0ktV2s?oc=5,neutral,2026-06-11 00:43:00+00:00,0,0,0,0,0.5,0,0.0,neutral,0.9130997061729431,english,Mixed/Urban,no_clear_emotion,0.03167729452252388,0.013920036144554615,0.09614594280719757,0.013438858091831207,0.21906296908855438,0.02500215545296669
news,post,22b0eae5f092bd40,Is Bersatu on course to spearhead multi-racial IPR pact after “divorce from PAS solemnised”?. Is Bersatu on course to spearhead multi-racial IPR pact after “divorce from PAS solemnised”?&nbsp;&nbsp;Focus Malaysia,https://news.google.com/rss/articles/CBMitgFBVV95cUxPQTYtOGV0cXJKOEVESTZVZndHd1c1amhKd21WaHpxOWxmY3JobzJnV1B0S1RCV2ZXQW1aQ21CeDR1SVBpUE5uVk16Q05ONXJ0dHFMQjJubGhfQ1A0dE1oWTdZcXVWSWR1SUo3cG16eFRvTUJDdEtQWkNOZkFaLVBmY1pHWWxTSkNBMHgxc1ctR3JXOEktNTBrYWg1Z1JZbTEwOUJvVDgxaVEzWWVJOUNWZmxKd1JVQQ?oc=5,neutral,2026-06-09 02:10:25+00:00,0,0,0,0,0.5,0,0.0,neutral,0.919031023979187,english,Mixed/Urban,happy,0.08562029153108597,0.09574326872825623,0.3164661228656769,0.049362197518348694,0.15217602252960205,0.04377574473619461
news,post,ad0bc885b4e8706f,SNAPSHOT | 'Bersatu was ready to consider Reset in PN'; Tun Faisal: When did PAS last sit down with Amanah?. SNAPSHOT | 'Bersatu was ready to consider Reset in PN'; Tun Faisal: When did PAS last sit down with Amanah?&nbsp;&nbsp;Malaysiakini,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5mamhWV0h2UXFrYmF0SjJIR01ZZ01LcHotWUo3U25mUGtoUDNranE1dXFsdDM2bURFYkdwZmhxd1dXYkdHd3h1WW1UT1I2SGlIY1E?oc=5,neutral,2026-06-11 01:00:27+00:00,0,0,0,0,0.5,0,0.0,neutral,0.9191449880599976,english,Mixed/Urban,happy,0.02956400252878666,0.18217012286186218,0.7055115699768066,0.010398304089903831,0.026722824200987816,0.020484769716858864
news,post,649cca397a566abd,SNAPSHOT | Anwar says no to working with Bersatu; Tun Faisal chides PAS. SNAPSHOT | Anwar says no to working with Bersatu; Tun Faisal chides PAS&nbsp;&nbsp;Malaysiakini,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1lZ1ZtUWQ2UlVCQk1hVEM1ZGhFek5wUUY4dzRBOFhqdVN6aHVPR0JjVjF5TnFsTFE2ZlJlOE93X3RaNHhwc0ZMN25MZ1gtNWFac0E?oc=5,negative,2026-06-10 13:27:27+00:00,0,0,0,0,0.1377352774143219,0,0.0,negative,0.540882408618927,english,Mixed/Urban,love,0.06977376341819763,0.015006457455456257,0.045637696981430054,0.024427615106105804,0.44861871004104614,0.026176294311881065
news,post,b89b3ac0547a283b,"SNAPSHOT | Umno man, Nik Aziz's grandson reconcile; Annuar: PAS-Bersatu split for common good. SNAPSHOT | Umno man, Nik Aziz's grandson reconcile; Annuar: PAS-Bersatu split for common good&nbsp;&nbsp;Malaysiakini",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5XTTdEblRJZjlPNnF2cFF2ZnVtbVBlSnJqdTdVOVBfNm01bWtSMVhfdHZkWFcyMGtZeHZSR2pKZU9CMjhzVlRuZkMwZDlkeER4aEE?oc=5,neutral,2026-06-10 01:28:34+00:00,0,0,0,0,0.5,0,0.0,neutral,0.8429595828056335,english,Mixed/Urban,no_clear_emotion,0.04633785039186478,0.016867022961378098,0.10142724961042404,0.028641000390052795,0.3870427906513214,0.026926124468445778
news,post,0f384aa0c5ab98ee,Perlis PAS to keep supporting Bersatu. Perlis PAS to keep supporting Bersatu&nbsp;&nbsp;The Star,https://news.google.com/rss/articles/CBMikAFBVV95cUxQUzZFU1JKV1R4M0ltVjlienFVZ1V6Z2lzX2VqZXZWY25NckJTUzgwRUJhelEzQTFZNjJBSkVpWHFkZXhqOWR0SWRPQkk3MVl2YXRCdEdyeWhvdG5TaWNIb2gwU0NrQVJEMGFpTmpsWjhTQXo3dVRMV3dLTDRwSnA3VG16c0ZpNlZRclpZcDFxcWc?oc=5,neutral,2026-06-10 23:34:39+00:00,0,0,0,0,0.5,0,0.0,neutral,0.684963583946228,english,Mixed/Urban,love,0.08400294184684753,0.06594663858413696,0.07802151888608932,0.08935168385505676,0.5958271026611328,0.04309791699051857
