Parti,Nama,Full_URL
Bebas,Dr Mahathir Mohamad,https://x.com/chedetofficial
Bebas,Khairy Jamaluddin,https://x.com/khairykj
Bersatu,Bersatu/PPBM (Rasmi),https://x.com/bersatu_OFFICIAL
Bersatu,Muhyiddin Yassin,https://x.com/MuhyiddinYassin
DAP,DAP (Rasmi),https://x.com/dapmalaysia
DAP,Gobind Singh Deo,https://x.com/GobindSinghDeo
DAP,Hannah Yeoh,https://x.com/hannahyeoh
DAP,Lim Guan Eng,https://x.com/guanenglim
DAP,Nga Kor Ming,https://x.com/ngakorming
GPS,Abang Johari Openg,https://x.com/AbangJohari
GRS,GRS (Rasmi),https://x.com/GRSSabah
MCA,MCA (Rasmi),https://x.com/mcamalaysia
MIC,MIC (Rasmi),https://x.com/micmalaysia
MUDA,MUDA (Rasmi),https://x.com/partimuda
MUDA,Syed Saddiq,https://x.com/SyedSaddiq
PAS,Ahmad Samsuri Mokhtar (Dr. Sam),https://x.com/DrAhmadSamsuri
PAS,Muhammad Sanusi Md Nor,https://x.com/SanusiMNor
PAS,PAS Pusat (Rasmi),https://x.com/PASPusat
PAS,Tuan Ibrahim Tuan Man,https://x.com/titm_official
PKR,Anwar Ibrahim,https://x.com/anwaribrahim
PKR,Rafizi Ramli,https://x.com/rafiziramli
UMNO,Ahmad Zahid Hamidi,https://x.com/DrZahidHamidi
UMNO,Najib Razak,https://x.com/najibrazak
UMNO,UMNO (Rasmi),https://x.com/umnoonline
Warisan,Warisan (Rasmi),https://x.com/warisansabah
