Koalisi,Parti,Nama,Platform,Handle_URL,Jenis,Negeri,Full_URL,Sumber
BN,UMNO,UMNO (Rasmi),Facebook,facebook.com/umno.org.my,Parti Rasmi,Nasional,https://www.facebook.com/umno.org.my,Crawler Reference
BN,UMNO,UMNO (Rasmi),X / Twitter,x.com/umnoonline,Parti Rasmi,Nasional,https://x.com/umnoonline,Crawler Reference
BN,UMNO,Ahmad Zahid Hamidi,Facebook,facebook.com/ahmadzahidofficial,Pemimpin,Nasional,https://www.facebook.com/ahmadzahidofficial,Crawler Reference
BN,UMNO,Ahmad Zahid Hamidi,TikTok,@ahmadzahidhamidi,Pemimpin,Nasional,https://www.tiktok.com/@ahmadzahidhamidi,Crawler Reference
BN,UMNO,Ahmad Zahid Hamidi,X / Twitter,x.com/DrZahidHamidi,Pemimpin,Nasional,https://x.com/DrZahidHamidi,Crawler Reference
BN,UMNO,Ahmad Zahid Hamidi,Instagram,@ahmadzahidhamidi,Pemimpin,Nasional,https://www.instagram.com/ahmadzahidhamidi/,Crawler Reference
BN,UMNO,Najib Razak,Facebook,facebook.com/NajibRazakOfficial,Pemimpin,Nasional,https://www.facebook.com/NajibRazakOfficial,Crawler Reference
BN,UMNO,Najib Razak,TikTok,@najibrazak,Pemimpin,Nasional,https://www.tiktok.com/@najibrazak,Crawler Reference
BN,UMNO,Najib Razak,X / Twitter,x.com/najibrazak,Pemimpin,Nasional,https://x.com/najibrazak,Crawler Reference
BN,UMNO,Najib Razak,Instagram,@najibrazak,Pemimpin,Nasional,https://www.instagram.com/najibrazak/,Crawler Reference
BN,UMNO,Isham Jalil,Facebook,facebook.com/ishamjalil,Pemimpin,Nasional,https://www.facebook.com/ishamjalil,Crawler Reference
BN,UMNO,Isham Jalil,TikTok,@ishamjalil,Pemimpin,Nasional,https://www.tiktok.com/@ishamjalil,Crawler Reference
BN,UMNO,Isham Jalil,Instagram,@ishamjalil,Pemimpin,Nasional,https://www.instagram.com/ishamjalil/,Crawler Reference
BN,MCA,MCA (Rasmi),Facebook,facebook.com/mcamalaysia,Parti Rasmi,Nasional,https://www.facebook.com/mcamalaysia,Crawler Reference
BN,MCA,MCA (Rasmi),X / Twitter,x.com/mcamalaysia,Parti Rasmi,Nasional,https://x.com/mcamalaysia,Crawler Reference
BN,MIC,MIC (Rasmi),Facebook,facebook.com/micmalaysia,Parti Rasmi,Nasional,https://www.facebook.com/micmalaysia,Crawler Reference
BN,MIC,MIC (Rasmi),X / Twitter,x.com/micmalaysia,Parti Rasmi,Nasional,https://x.com/micmalaysia,Crawler Reference
PH,PKR,PKR (Rasmi),Facebook,facebook.com/KeadilanRakyat,Parti Rasmi,Nasional,https://www.facebook.com/KeadilanRakyat,Crawler Reference
PH,PKR,Anwar Ibrahim,Facebook,facebook.com/anwaribrahimofficial,Pemimpin,Nasional,https://www.facebook.com/anwaribrahimofficial,Crawler Reference
PH,PKR,Anwar Ibrahim,TikTok,@anwaribrahimofficial,Pemimpin,Nasional,https://www.tiktok.com/@anwaribrahimofficial,Crawler Reference
PH,PKR,Anwar Ibrahim,X / Twitter,x.com/anwaribrahim,Pemimpin,Nasional,https://x.com/anwaribrahim,Crawler Reference
PH,PKR,Anwar Ibrahim,Instagram,@anwaribrahimofficial,Pemimpin,Nasional,https://www.instagram.com/anwaribrahimofficial/,Crawler Reference
PH,PKR,Rafizi Ramli,Facebook,facebook.com/rafiziramli.keadilan,Pemimpin,Nasional,https://www.facebook.com/rafiziramli.keadilan,Crawler Reference
PH,PKR,Rafizi Ramli,TikTok,@rafiziramli,Pemimpin,Nasional,https://www.tiktok.com/@rafiziramli,Crawler Reference
PH,PKR,Rafizi Ramli,X / Twitter,x.com/rafiziramli,Pemimpin,Nasional,https://x.com/rafiziramli,Crawler Reference
PH,PKR,Rafizi Ramli,Instagram,@rafiziramli,Pemimpin,Nasional,https://www.instagram.com/rafiziramli/,Crawler Reference
PH,DAP,DAP (Rasmi),Facebook,facebook.com/dapmalaysia,Parti Rasmi,Nasional,https://www.facebook.com/dapmalaysia,Crawler Reference
PH,DAP,DAP (Rasmi),X / Twitter,x.com/dapmalaysia,Parti Rasmi,Nasional,https://x.com/dapmalaysia,Crawler Reference
PH,DAP,DAP (Rasmi),Instagram,@dapmalaysia,Parti Rasmi,Nasional,https://www.instagram.com/dapmalaysia/,Crawler Reference
PH,DAP,Lim Guan Eng,Facebook,facebook.com/limguaneng,Pemimpin,Nasional,https://www.facebook.com/limguaneng,Crawler Reference
PH,DAP,Lim Guan Eng,TikTok,@limguaneng,Pemimpin,Nasional,https://www.tiktok.com/@limguaneng,Crawler Reference
PH,DAP,Lim Guan Eng,X / Twitter,x.com/guanenglim,Pemimpin,Nasional,https://x.com/guanenglim,Crawler Reference
PH,DAP,Gobind Singh Deo,Facebook,facebook.com/gobindsinghdeo,Pemimpin,Nasional,https://www.facebook.com/gobindsinghdeo,Crawler Reference
PH,DAP,Gobind Singh Deo,X / Twitter,x.com/GobindSinghDeo,Pemimpin,Nasional,https://x.com/GobindSinghDeo,Crawler Reference
PH,DAP,Anthony Loke,Facebook,facebook.com/anthonyloke,Pemimpin,Nasional,https://www.facebook.com/anthonyloke,Crawler Reference
PH,DAP,Anthony Loke,TikTok,@anthonyloke,Pemimpin,Nasional,https://www.tiktok.com/@anthonyloke,Crawler Reference
PH,DAP,Hannah Yeoh,Facebook,facebook.com/hannahyeoh,Pemimpin,Nasional,https://www.facebook.com/hannahyeoh,Crawler Reference
PH,DAP,Hannah Yeoh,X / Twitter,@hannahyeoh,Pemimpin,Nasional,https://x.com/hannahyeoh,Crawler Reference
PH,DAP,Hannah Yeoh,Instagram,@hannahyeoh,Pemimpin,Nasional,https://www.instagram.com/hannahyeoh/,Crawler Reference
PH,DAP,Nga Kor Ming,Facebook,facebook.com/ngakorming,Pemimpin,Nasional,https://www.facebook.com/ngakorming,Crawler Reference
PH,DAP,Nga Kor Ming,X / Twitter,@ngakorming,Pemimpin,Nasional,https://x.com/ngakorming,Crawler Reference
