Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
x,post,2.020894520322511e+18,"การเลือกตั้งระดับชาติของไทยปิดฉากลงวานนี้ (8 ก.พ. 69) ท่ามกลางการจับตามองของสื่อทั่วโลก หลัง #พรรคภูมิใจไทย คว้าคะแนนถึง 193 ที่นั่ง หลัง กกต. นับคะแนนไปแล้ว ไม่ต่ำกว่า 90% พาดหัวข่าวสื่อต่างชาติชูชัยชนะของพรรคอนุรักษ์นิยม ซึ่งถือเป็นปรากฏการณ์ครั้งแรก ในรอบหลายสิบปี

#ThaiPBS https://t.co/gcqGQGST2n",https://x.com/ThaiPBS/status/2020894520322511070,neutral,Mon Feb 09 16:16:14 +0000 2026,0,1,0,37,0.5,1,2.037,,,neutral,0.7180893421173096,happy,0.066796064376831,0.0416271090507507,0.7540113925933838,0.1342993825674057,0.0014210103545337,0.0018450442003086
x,post,2.0207376779776988e+18,"Sekelip mata kau berubah ya Sinar Harian. Agak² la PMX mana ada kuasa suruh PBT pi meroboh bagai.

Yang PMX nyatakan itu ialah kerajaan persekutuan beri endorsement kepada PBT untuk kuatkuasakan undang² sedia ada yang membenarkan perobohan mana² binaan haram termasuklah kuil yang didirikan atas tanah kerajaan / kawasan yang PBT ada kuasa untuk laksanakan tindakan.",https://x.com/lady_bugg11/status/2020737677977698712,negative,Mon Feb 09 05:53:00 +0000 2026,62,16,8,3893,0.2,124,121.893,,,negative,0.9945027828216552,anger,0.7220193147659302,0.1584284305572509,0.035220768302679,0.0603318028151989,0.0042035239748656,0.0197960771620273
x,comment,,,,neutral,2026-02-10T00:23:41.473754,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473793,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473800,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473804,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473809,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473814,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473818,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473822,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,post,2.0190660454539597e+18,"MUSLIHAT TERSEMBUNYI DAP DI SEBALIK PILIHAN RAYA PBT

“HANYA DAP yang beria-ia inginkan pilihan raya PBT, hakikatnya ada muslihat di sebalik kegelojohan itu.”

#Berita757
#RakyatKeutamaanKami https://t.co/LaflxJcuDf",https://x.com/berita757/status/2019066045453959589,positive,Wed Feb 04 15:10:32 +0000 2026,0,0,0,17,0.8,0,0.017,,,positive,0.9937542080879213,happy,0.0678124576807022,0.0814742445945739,0.7566980123519897,0.0775517597794532,0.007137413136661,0.0093260472640395
x,post,2.0199252385790979e+18,"Kajian UIAM berkenaan Pilihan Raya PBT.

Saya pun tak faham mengapa YB Takiyuddin Hassan persoal kewibawaan UIA dalam membuat kajian konon atas sebab UIA bukan sebuah universiti yang senior?

1/6 https://t.co/lhRyqXDWwR",https://x.com/faisalazizfa/status/2019925238579097763,positive,Sat Feb 07 00:04:39 +0000 2026,80,30,11,8724,0.8,208,181.724,,,positive,0.9753558039665222,anger,0.5067406296730042,0.1482737064361572,0.1505245864391327,0.1234104111790657,0.0022615741472691,0.0687890797853469
x,comment,,,,neutral,2026-02-10T00:23:41.473884,0,0,1,0,0.0,3,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473888,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473891,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473895,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473898,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473902,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
x,comment,,,,neutral,2026-02-10T00:23:41.473905,0,0,0,0,0.0,0,,,0.0,neutral,0.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0
