Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,978772920942173,"Happy Holiday Gaisss !!!!!🎄💖

Cuti ni jangan lupa luangkan masa dengan family or self healing tau 😘 Yang penting, nak jalan-jalan naik dengan kami okay!! Sebab,,, kami kan teman destinasi anda.. gituuuuu😎

#maraliner #11untukmslb #maracorp #mara",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid037jefuj9Cmt6Dq8PkNvzsGNry3ib89G3Q96xbD1bvfZKipHyYPZhwERb6cPm7zcWxl,neutral,1735042023,0,0,0,0,0.0,0,0.0,,
facebook,post,1179724280847035,"Korang jalan2 cuti panjang, naik apa tuuuu?? 🚍

Saje nak info, KL- KT or KT-KL just RM43 jeeee tau skrg 😏 pluss semua laluan pun ada 10% OFF🔥
Soooo, 15-16/9 ni balik dgn kitorg & pakai kod MALAYSIA10 

Jgn nak hold lagi time ni la kena grab!!!

#hargabaru #KL #KT #tranung #harimalaysia2025 #maraliner",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid0kg2Ym9DVJUPbWg3nDrUQ3pLBfY5sw7hNHb8hKADShuKzcwxNr2rar5KA56mHTwcdl,neutral,1757735103,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMTc5NzI0MjgwODQ3MDM1XzExODU0MjkzNzk5OTQ3Nzc=,Bila ada bas ke Telok Intan?,,neutral,2025-09-14T13:35:17.000Z,0,0,0,0,0.0,0,,Chris Ng,0.0
facebook,post,1057619633057501,"Macam mana guys, okay tak balik raya dengan MARALINER? Maaf ya kalau ada jem atau delay… biasalah, musim ramai balik perayaan kan 🙈🙈 

Tapi apa2 pun, kalau korg ada sebarang aduan, cadangan atau nak tanya apa2…min open ruang ni untuk korang sekarang 🤗 tekan je link tu or scan okiessss? 🥰

#balikraya #naikbasmaraliner #maraliner #basekspresmalaysia",https://www.facebook.com/MARALinerSdnBhd/posts/pfbid024aBKhhj6PDgfpsekCfpzUX17qGP2yHgy6uV9Yb8Sv3DBwCSewQxyt4EqZBA4S6Abl,neutral,1744166369,0,0,0,0,0.0,0,0.0,,
facebook,post,4039086503057670,"Palm trees, blue skies, ang endless horizons_ the tropics calling 🌍🌴

#goodmorning #followers #highlights #fbreelsfyp #everyone",https://www.facebook.com/mAnDerEgmAa/posts/pfbid0jHyZjMMay9Fyn4RZToNGR8XKVAJ3GQxCSUm9FKHsZGQHMtJWbw7hxtmRsnMver6Yl,neutral,1779502253,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzE2NjM5ODcwNjQ4MjIwMzA=,Hello everyone ' subscribe naman kayo saken 29 pesos lang 😄malaking bagay at suporta na rin para sa akin😊 thank you in advance 🙏 https://www.facebook.com/mAnDerEgmAa/subscribenow?surface=pinned_comments,,neutral,2026-05-23T02:11:06.000Z,0,0,0,0,0.0,0,,Rejil Surio,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzEzODQ4MDQ2NzAxMzE1MTQ=,"Palm trees, blue skies, ang endless horizons_ the tropics calling 🌍🌴

#goodmorning #followers #highlights #fbreelsfyp #everyone",,neutral,2026-05-23T09:20:48.000Z,0,0,0,0,0.0,0,,Rejil Surio,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzk5NjQ1MDQ1Mjc3NTMzNg==,Good morning,,neutral,2026-05-23T02:26:40.000Z,0,0,1,0,0.0,2,,Sam Vlog Pacheco,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzM3OTU0ODYxMjM5MjQyNTU=,Nice view,,neutral,2026-05-23T05:53:31.000Z,0,0,0,0,0.0,0,,Marilyn Mataba,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzE0MDIyOTkxNzUyNjk4NjI=,Wow may pa Gabon 😍😍,,neutral,2026-05-23T07:46:47.000Z,0,0,0,0,0.0,0,,Bikolanang Gala,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzE0MjI5NjMxMTk1ODYzNzA=,Good morning,,neutral,2026-05-23T02:50:35.000Z,0,0,1,0,0.0,2,,Estrella Gonzales,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzEyODAzOTQxMjA5MTc0MTM=,Woow nice,,neutral,2026-05-23T02:48:04.000Z,0,0,1,0,0.0,2,,JM Canete,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzE0NjU1MjE1MzQ3NDQzMjc=,Good morning idol🥰,,neutral,2026-05-23T02:59:05.000Z,0,0,1,0,0.0,2,,Ka Tropa Ni Renren,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzk2MjQ1MjAxNjUwMDM2NQ==,Wow nice par,,neutral,2026-05-23T02:29:33.000Z,0,0,1,0,0.0,2,,Lenra King Narvaez,0.0
facebook,comment,Y29tbWVudDo0MDM5MDg2NTAzMDU3NjcwXzIwNDYzODA4MDYzMDEwNDU=,Amazing shot badii.,,neutral,2026-05-23T02:18:13.000Z,0,0,1,0,0.0,2,,Cram Chard Orfanel,0.0
facebook,post,1545509950341779,"Maliit man ang kita pero never ko talaga ineexpect na ganon kabilis ang views 😍 busy kaya wala halos time makipag engage at bihira makacheck ng comsec pero nagulat nalang ako kahapon pag check ko natabunan na pala sa notif kung ilang views na. Grabe nakakatuwa pala salamat sa inyong suporta. Dahil sa inyong lahat kaya may views ang mga post ko. 😊
#highlight 
#follower 
#nonfollowers 
#viewers
#contentcreator",https://www.facebook.com/aimjj.jj/posts/pfbid0296PhpJqyQA3LD9o4o7H2r985fLFwjm6Qcm61xkt636yrg4GThDvj31vgjDXw2yrHl,neutral,1779498017,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzEyNjA5MDAwOTI0OTY0MTI=,please subscribe. your subscription will help me to grow my community. likes comment and share. thank  you.  https://www.facebook.com/aimjj.jj/subscribenow?surface=pinned_comments,,neutral,2026-05-23T01:00:22.000Z,0,0,1,0,0.0,2,,Jj Jj,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzE1NDc3MzU5MzY4NjgyODY=,dahil yan sa lucky charm mu na lalaki 😅😅,,neutral,2026-05-23T01:05:38.000Z,1,0,3,0,0.0,7,,Aling Maliit,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzEzMDUzMTA3MTc2NzE0NDg=,May kinalaman jan ang leading man mo sure ako jan🤭🤭,,neutral,2026-05-23T02:55:26.000Z,1,0,2,0,0.0,5,,Ginger Gweneviere Genevieve Sahi,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzEzNzIwNTg2NTE0ODI0MTY=,"Napapasaya mo at napapakilig mo DW c Boss M cclabz Kaya deserved mo Yan, congratulations Cclabz ♥️",,neutral,2026-05-23T02:28:03.000Z,1,0,1,0,0.0,3,,Juls Duque Ramos,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzE2MzcwMDE3ODA2OTA0OTM=,Wow congrats sissy sana all napansin na 🤣🤣,,neutral,2026-05-23T01:18:17.000Z,0,0,0,0,0.0,0,,Rubelyn Medina Maquiso,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzIxNDA0MzgyMTM0NzU2MjQ=,Congrats sis good morning 🌞,,neutral,2026-05-23T01:44:37.000Z,0,0,0,0,0.0,0,,Marilyn Macaraeg Junio,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzEzNTIwNDA0MTAxMjUxNDI=,Congratulations lods🥰,,neutral,2026-05-23T01:33:15.000Z,0,0,0,0,0.0,0,,Arnel Marino,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzEzMDk5MDQ1NDQ2NzQyNzY=,"Naol sissy..ang dming views....kahit mliit kita
.mlaki nmn views..hehe..ur always welcome.sissy..isa ako sa mga solid supporter mo..hehe.......congrats...tlga sissy.........dmi tlga viewers oh..deserve mo tlga yan.sissy..super sipag mo..nmn tlga eh..",,neutral,2026-05-23T01:07:09.000Z,1,0,1,0,0.0,3,,Manang Kiey Shun Cleae,0.0
facebook,comment,Y29tbWVudDoxNTQ1NTA5OTUwMzQxNzc5XzE3NTQwNzk5NjI2NDA1OTc=,"Ganyan tlga idol , kahit busy ka marami paring sumosuporta sayo kasi mabait ka :)",,neutral,2026-05-23T13:44:29.000Z,0,0,0,0,0.0,0,,Eron Almoete Baloloy Ìì,0.0
