Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Facebook,Photo,FACEBOOK001,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-23,184,29,11,1462,0.27,224
Facebook,Photo,FACEBOOK002,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-01,88,14,12,1222,0.4,114
Facebook,Link,FACEBOOK003,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-06,292,79,43,2451,0.1,414
Facebook,Video,FACEBOOK004,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-14,331,38,46,4687,0.22,415
Facebook,Video,FACEBOOK005,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-07,200,40,36,2497,0.23,276
Facebook,Post,FACEBOOK006,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-17,144,17,15,1912,0.1,176
Facebook,Video,FACEBOOK007,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-22,122,17,16,1022,0.17,155
Facebook,Share,FACEBOOK008,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-11,271,31,18,2539,0.36,320
Facebook,Post,FACEBOOK009,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-06,251,68,19,2972,0.1,338
Facebook,Video,FACEBOOK010,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-06,148,27,27,2196,0.12,202
Facebook,Share,FACEBOOK011,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-23,90,24,14,694,0.37,128
Facebook,Share,FACEBOOK012,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-13,175,37,33,2475,0.1,245
Facebook,Photo,FACEBOOK013,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-05,429,111,68,5409,0.35,608
Facebook,Photo,FACEBOOK014,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-02,210,33,38,1479,0.27,281
Facebook,Share,FACEBOOK015,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-28,240,68,34,1510,0.36,342
Facebook,Link,FACEBOOK016,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-17,316,57,47,2681,0.21,420
Facebook,Link,FACEBOOK017,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-24,200,30,18,2971,0.1,248
Facebook,Share,FACEBOOK018,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-14,257,64,32,1953,0.17,353
Facebook,Photo,FACEBOOK019,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-16,204,28,33,1106,0.1,265
Facebook,Video,FACEBOOK020,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-27,126,27,21,1578,0.13,174
Facebook,Video,FACEBOOK021,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-29,259,57,48,1904,0.24,364
Facebook,Post,FACEBOOK022,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-01,412,121,39,2094,0.11,572
Facebook,Photo,FACEBOOK023,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-21,180,25,24,2335,0.1,229
Facebook,Photo,FACEBOOK024,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-26,238,56,22,3286,0.1,316
Facebook,Photo,FACEBOOK025,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-11,179,34,35,1707,0.1,248
Facebook,Link,FACEBOOK026,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-21,235,28,45,1722,0.1,308
Facebook,Video,FACEBOOK027,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-20,117,17,9,1593,0.1,143
Facebook,Post,FACEBOOK028,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-12,194,42,19,2106,0.1,255
Facebook,Post,FACEBOOK029,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-11,291,35,51,2298,0.1,377
Facebook,Share,FACEBOOK030,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-21,192,24,31,1089,0.1,247
Facebook,Link,FACEBOOK031,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-22,163,26,18,1199,0.38,207
Facebook,Photo,FACEBOOK032,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-10,87,11,16,824,0.1,114
Facebook,Video,FACEBOOK033,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-09,217,50,38,2880,0.1,305
Facebook,Video,FACEBOOK034,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-07,384,58,74,3578,0.1,516
Facebook,Link,FACEBOOK035,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-13,318,78,28,2831,0.1,424
Facebook,Post,FACEBOOK036,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-26,116,34,22,1699,0.22,172
Facebook,Share,FACEBOOK037,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-18,325,86,17,3774,0.31,428
Facebook,Link,FACEBOOK038,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-30,165,42,10,980,0.14,217
Facebook,Share,FACEBOOK039,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-11,235,50,12,3131,0.23,297
Facebook,Post,FACEBOOK040,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-27,406,120,42,6089,0.23,568
Facebook,Photo,FACEBOOK041,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-30,203,51,12,2160,0.1,266
Facebook,Video,FACEBOOK042,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-15,106,16,8,1000,0.1,130
Facebook,Link,FACEBOOK043,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-28,142,40,14,1426,0.1,196
Facebook,Photo,FACEBOOK044,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-09,129,15,11,717,0.1,155
Facebook,Share,FACEBOOK045,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-26,206,27,39,1214,0.23,272
Facebook,Photo,FACEBOOK046,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-21,357,60,32,2152,0.3,449
Facebook,Post,FACEBOOK047,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-09,271,36,42,1752,0.12,349
Facebook,Video,FACEBOOK048,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-24,230,57,27,3341,0.1,314
Facebook,Video,FACEBOOK049,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-09,95,15,17,955,0.1,127
Facebook,Photo,FACEBOOK050,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-30,86,15,14,646,0.29,115
