Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Facebook,Photo,FACEBOOK001,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-25,209,59,25,1985,0.1,293
Facebook,Link,FACEBOOK002,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-30,340,47,56,4331,0.32,443
Facebook,Photo,FACEBOOK003,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-31,336,39,56,2662,0.35,431
Facebook,Photo,FACEBOOK004,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-22,222,34,25,1866,0.11,281
Facebook,Post,FACEBOOK005,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-06,190,52,37,2737,0.1,279
Facebook,Photo,FACEBOOK006,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-31,193,22,15,1986,0.1,230
Facebook,Link,FACEBOOK007,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-24,262,77,35,1881,0.27,374
Facebook,Photo,FACEBOOK008,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-23,143,25,9,1336,0.1,177
Facebook,Photo,FACEBOOK009,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-31,376,111,32,3691,0.1,519
Facebook,Video,FACEBOOK010,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-16,110,13,15,1488,0.1,138
Facebook,Video,FACEBOOK011,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-31,106,30,20,540,0.1,156
Facebook,Post,FACEBOOK012,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-04-02,145,28,11,1954,0.1,184
Facebook,Photo,FACEBOOK013,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-20,321,77,36,3265,0.17,434
Facebook,Video,FACEBOOK014,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-09,236,57,41,1851,0.1,334
Facebook,Link,FACEBOOK015,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-16,305,37,40,4538,0.39,382
Facebook,Video,FACEBOOK016,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-18,104,12,7,1228,0.31,123
Facebook,Post,FACEBOOK017,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-15,109,20,9,1356,0.36,138
Facebook,Post,FACEBOOK018,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-13,387,92,22,5033,0.37,501
Facebook,Share,FACEBOOK019,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-20,86,10,7,1009,0.32,103
Facebook,Photo,FACEBOOK020,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-22,89,24,8,658,0.1,121
Facebook,Video,FACEBOOK021,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-04-02,309,92,47,4239,0.1,448
Facebook,Photo,FACEBOOK022,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-19,178,26,25,1443,0.1,229
Facebook,Link,FACEBOOK023,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-12,105,29,17,1385,0.1,151
Facebook,Post,FACEBOOK024,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-06,292,82,39,2976,0.1,413
Facebook,Share,FACEBOOK025,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-22,239,36,26,3241,0.36,301
Facebook,Link,FACEBOOK026,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-26,122,28,13,994,0.28,163
Facebook,Link,FACEBOOK027,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-24,182,30,22,1286,0.1,234
Facebook,Post,FACEBOOK028,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-28,99,18,16,1207,0.13,133
Facebook,Photo,FACEBOOK029,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-08,335,35,56,4538,0.2,426
Facebook,Share,FACEBOOK030,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-30,169,34,24,1638,0.38,227
Facebook,Share,FACEBOOK031,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-08,206,48,39,1464,0.11,293
Facebook,Photo,FACEBOOK032,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-06,237,69,32,2003,0.1,338
Facebook,Share,FACEBOOK033,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-23,343,93,55,3595,0.12,491
Facebook,Photo,FACEBOOK034,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-21,236,29,11,1998,0.18,276
Facebook,Link,FACEBOOK035,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-29,101,23,15,783,0.13,139
Facebook,Share,FACEBOOK036,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-30,171,22,29,1366,0.1,222
Facebook,Post,FACEBOOK037,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-13,132,35,14,1920,0.13,181
Facebook,Share,FACEBOOK038,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-18,232,37,19,2845,0.37,288
Facebook,Share,FACEBOOK039,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-23,302,83,56,2356,0.1,441
Facebook,Photo,FACEBOOK040,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-20,212,38,14,1483,0.1,264
Facebook,Share,FACEBOOK041,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-11,182,23,33,2620,0.1,238
Facebook,Post,FACEBOOK042,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-18,203,60,39,1444,0.18,302
Facebook,Share,FACEBOOK043,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-15,314,59,43,3729,0.13,416
Facebook,Link,FACEBOOK044,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-04-02,115,20,6,1350,0.32,141
Facebook,Share,FACEBOOK045,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-10,210,50,11,2869,0.37,271
Facebook,Link,FACEBOOK046,Just tried pemandu mabuk - amazing quality and value!,Negative,2026-03-09,244,65,22,2246,0.1,331
Facebook,Video,FACEBOOK047,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-07,130,21,6,760,0.28,157
Facebook,Share,FACEBOOK048,Great experience with pemandu mabuk! Highly recommended in Malaysia.,Negative,2026-03-15,284,60,26,3800,0.35,370
Facebook,Share,FACEBOOK049,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-29,334,63,46,3582,0.1,443
Facebook,Post,FACEBOOK050,pemandu mabuk in Malaysia is really good. Worth trying!,Negative,2026-03-24,107,29,7,901,0.35,143
