Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
instagram,post,localelectionalbania2023,,neutral,2026-02-08T13:39:25.733778,0,0,0,0,0.0,0
instagram,post,localelections2025,,neutral,2026-02-08T13:39:25.733888,0,0,0,0,0.0,0
instagram,post,localelection2023srilankapredictions,,neutral,2026-02-08T13:39:25.733942,0,0,0,0,0.0,0
instagram,post,localelectionresults,,neutral,2026-02-08T13:39:25.733987,0,0,0,0,0.0,0
instagram,post,localelections24,,neutral,2026-02-08T13:39:25.734030,0,0,0,0,0.0,0
instagram,post,localelectioncampaign,,neutral,2026-02-08T13:39:25.734071,0,0,0,0,0.0,0
instagram,post,localelection2021,,neutral,2026-02-08T13:39:25.734115,0,0,0,0,0.0,0
instagram,post,localelections2020,,neutral,2026-02-08T13:39:25.734163,0,0,0,0,0.0,0
instagram,post,localelectionsareimportant,,neutral,2026-02-08T13:39:25.734211,0,0,0,0,0.0,0
instagram,post,localelections2016,,neutral,2026-02-08T13:39:25.734254,0,0,0,0,0.0,0
instagram,post,localelectionsmattermost,,neutral,2026-02-08T13:39:25.734296,0,0,0,0,0.0,0
instagram,post,localelections2022,,neutral,2026-02-08T13:39:25.734338,0,0,0,0,0.0,0
instagram,post,localelections2023,,neutral,2026-02-08T13:39:25.734383,0,0,0,0,0.0,0
instagram,post,localelections2021,,neutral,2026-02-08T13:39:25.734436,0,0,0,0,0.0,0
instagram,post,localelectionscount,,neutral,2026-02-08T13:39:25.734478,0,0,0,0,0.0,0
instagram,post,localelections2026,,neutral,2026-02-08T13:39:25.734519,0,0,0,0,0.0,0
instagram,post,localelectionday,,neutral,2026-02-08T13:39:25.734559,0,0,0,0,0.0,0
instagram,post,localelections2017,,neutral,2026-02-08T13:39:25.734603,0,0,0,0,0.0,0
instagram,post,localelectionnepal,,neutral,2026-02-08T13:39:25.734644,0,0,0,0,0.0,0
instagram,post,localelections22,,neutral,2026-02-08T13:39:25.734684,0,0,0,0,0.0,0
instagram,post,localelections2018,,neutral,2026-02-08T13:39:25.734727,0,0,0,0,0.0,0
instagram,post,localelection2074,,neutral,2026-02-08T13:39:25.734775,0,0,0,0,0.0,0
instagram,post,localelections2019,,neutral,2026-02-08T13:39:25.734868,0,0,0,0,0.0,0
instagram,post,localelections2079,,neutral,2026-02-08T13:39:25.735088,0,0,0,0,0.0,0
instagram,post,localelectionsmatter,,neutral,2026-02-08T13:39:25.735145,0,0,0,0,0.0,0
instagram,post,localelection2018,,neutral,2026-02-08T13:39:25.735199,0,0,0,0,0.0,0
instagram,post,localelections,,neutral,2026-02-08T13:39:25.735248,0,0,0,0,0.0,0
instagram,post,localelections2024,,neutral,2026-02-08T13:39:25.735339,0,0,0,0,0.0,0
instagram,post,localelection2079,,neutral,2026-02-08T13:39:25.735384,0,0,0,0,0.0,0
instagram,post,localelection2022,,neutral,2026-02-08T13:39:25.735425,0,0,0,0,0.0,0
instagram,post,localelection2019,,neutral,2026-02-08T13:39:25.735468,0,0,0,0,0.0,0
instagram,post,localelectionnepal2022,,neutral,2026-02-08T13:39:25.735510,0,0,0,0,0.0,0
instagram,post,localelection2024,,neutral,2026-02-08T13:39:25.735552,0,0,0,0,0.0,0
instagram,post,localelection2017,,neutral,2026-02-08T13:39:25.735593,0,0,0,0,0.0,0
instagram,post,localelection2025,,neutral,2026-02-08T13:39:25.735637,0,0,0,0,0.0,0
instagram,post,localelection2023,,neutral,2026-02-08T13:39:25.735679,0,0,0,0,0.0,0
instagram,post,localelection,,neutral,2026-02-08T13:39:25.735721,0,0,0,0,0.0,0
instagram,post,localelectionsmattertoo,,neutral,2026-02-08T13:39:25.735767,0,0,0,0,0.0,0
instagram,post,localelectionsnz,,neutral,2026-02-08T13:39:25.735808,0,0,0,0,0.0,0
