Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
instagram,post,3804676608644716173,"Tahniah kepada Saudara Wan Md Hazlin Agyl Bin Wan Hassan, yang dilantik sebagai Ketua Pegawai Eksekutif (CEO) MARA Liner Sdn. Bhd. yang baharu. 

Mengenali saudara Agyl sebagai seorang profesional muda yang berbakat besar, berpengalaman dalam industri pengangkutan serta diyakini mempunyai visi yang jelas untuk memacu MARA Liner ke tahap yang lebih baik dan lebih tinggi selepas ini.

Pesanan saya tadi kepada beliau, MARA ini adalah amanah rakyat. Sebagai anak syarikat MARA, MARA Liner punya tanggungjawab untuk memastikan perkhidmatan pelanggan yang berkualiti hingga mendapat kepercayaan dan keyakinan pelanggan di samping mengoptimumkan keuntungan.

Apa yang juga mustahak, integriti dan aspek tadbir urus syarikat mesti sentiasa diutamakan agar tiada sebarang penyimpangan, penyelewengan mahupun ketirisan berlaku  hingga menyebabkan amanah rakyat dikhianati dan dicurangi.

#MerakyatkanMARA
#MARA
#MARALiner
#HidupBiarBerjasa
#HidupKuMilikUmmah",https://www.instagram.com/p/DTM7TevgZaN/,neutral,2026-01-07T08:00:17.000Z,542,0,4,0,0.0,546,554.0
instagram,post,3728399172387339874,"Sapa berani cakap MARALINER biasa2 je? 😏 ada semua tau!!!! Ada power power rangers lagi 🕺🏻😝

#sebabpilihmaraliner #maraliner #basekspresmalaysia
#fyp #trending",https://www.instagram.com/p/DO970sbAf5i/,neutral,2025-09-24T02:10:38.000Z,23,0,2,0,0.0,25,29.0
instagram,post,3732965942762760589,"Korg pun mesti rasa yg sama kan ? Ke ada nk tambah 🤪😝

#penumpang #bas #maraliner #fyp #trending",https://www.instagram.com/p/DPOKL8xAWmN/,neutral,2025-09-30T09:23:59.000Z,10,0,2,0,0.0,12,16.0
instagram,post,3899763237662793994,"Maraliner (Kenderaan Bas MARA) / 
CFC 2595 /
SKS SMC-375W52 / SKSBUS E138i
#bashentihenti #maraliner 
#kenderaanbasmara #temandestinasianda",https://www.instagram.com/p/DYevgC5BKEK/,neutral,2026-05-18T12:40:29.000Z,15,0,0,0,0.0,15,15.0
instagram,post,3888898041872231143,"Unlocking ECRL’s Full Potential 🚆⚓🚌

MARALINER bersama UniKL dan UniKL Resources Sdn Bhd telah menganjurkan forum sinergi “Unlocking ECRL’s Full Potential: Integrating Maritime, Rail and Mobility Systems” di WTCKL sempena Sambutan Karnival 60 Tahun MARA.

Ketua Pegawai Eksekutif MARALINER En. Wan Agyl Wan Hassan telah menjadi moderator bersama barisan panel jemputan iaitu En. Farizul Hazli Bin Baharom dari Berjaya Rail Sdn. Bhd, En. Mohd Fairoz Rozali, Jabatan Laut Malaysia serta Prof. Ts. Dr. Muhammad Zaly Shah Muhammad Hussein dari The Chartered Institute of Logistics and Transport.

Forum ini membincangkan peranan ECRL sebagai pemangkin utama pengangkutan multimodal Malaysia dengan fokus utama diberikan kepada integrasi sistem darat dan laut yang lebih mampan, cekap, dan saling terhubung demi masa depan mobiliti Malaysia.

#MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DX4JCoxgarn/,neutral,2026-05-03T12:53:14.000Z,13,0,0,0,0.0,13,13.0
instagram,post,3885232517527201363,"Makluman penting untuk semua pelanggan MARALINER. Talian Whatssapp Aduan Rasmi kami telah digodam ‼️‼️😭😭

#MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DXrHmPNAWZT/,neutral,2026-04-28T11:32:41.000Z,10,0,1,0,0.0,11,13.0
instagram,post,3877117430367120672,"MARALINER komited menyediakan perkhidmatan pengangkutan yang selamat, efisien dan mampan untuk semua.

HAPPY WORLD PUBLIC TRANSPORT DAY! Terima kasih kerana memilih kami 🚌🚌💕💝💖

#MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DXOScLVge0g/,neutral,2026-04-17T07:00:01.000Z,13,0,0,0,0.0,13,13.0
instagram,post,3845795122659715122,"𝐒𝐄𝐒𝐈 𝐓𝐎𝐖𝐍𝐇𝐀𝐋𝐋 𝐌𝐀𝐑𝐀𝐋𝐈𝐍𝐄𝐑 𝟐𝟎𝟐𝟔

MARA Liner Sdn. Bhd. (MLSB) telah mengadakan Sesi Townhall 2026 yang berlangsung di Ibu Pejabat dan disertai secara dalam talian oleh seluruh cawangan MLSB di seluruh Malaysia.

Sesi Townhall ini menjadi ruang amanat Ketua Pegawai Eksekutif MLSB, Encik Wan Md Hazlin Agyl Bin Wan Hassan, dan menjadi platform penting untuk berkongsi hala tuju strategik syarikat, menjelaskan inisiatif semasa serta memperkukuh komunikasi dua hala antara pihak pengurusan dan seluruh warga kerja.

Semoga setiap perkongsian yang disampaikan menjadi pencetus semangat dan inspirasi kepada seluruh warga kerja MLSB dalam usaha membentuk organisasi yang lebih berdaya saing, berwibawa dan berintegriti.

 #MARALINER #MARACORP #WeAreGenMARA #60TahunMARA #MerakyatkanMARA",https://www.instagram.com/p/DVfAknFD-gy/,neutral,2026-03-05T01:35:26.000Z,13,0,0,0,0.0,13,13.0
instagram,post,3888905245950068817,"MARALINER Meterai 6 Kerjasama Strategik 🤝✨

Sempena Sambutan Karnival 60 Tahun MARA, MARALINER hari ini memeterai 6 Memorandum Persefahaman (MoU) bersama rakan industri strategik di Synergy Summit: Maritime & Logistics – Driving National Connectivity and Growth.

Kerjasama ini melibatkan:
• Bateriku (M) Sdn . Bhd.
• Tron Bradbury Energy (Malaysia) Sdn Bhd
• KATSANA Holdings
• Grab Malaysia
• Berjaya Rail Sdn Bhd. 
• Tuxuri Sdn. Bhd.

Kolaborasi ini memberi fokus kepada pendigitalan, pengurusan fleet pintar, teknologi EV, first & last-mile connectivity serta pembangunan industri rel negara.
Langkah ini mencerminkan komitmen MARALINER ke arah ekosistem pengangkutan yang lebih moden, mampan dan berdaya saing. 🇲🇾

#MARALINER #MARACORP #INIKANBASKITA #WeGenMARA #60TahunMARA",https://www.instagram.com/p/DX4KreGAchR/,neutral,2026-05-03T13:07:33.000Z,12,0,0,0,0.0,12,12.0
instagram,post,3727093133642793712,"MARA LINER PERKUKUH MOBILITI RAKYAT DENGAN OPERASI BAS.MY KUALA TERENGGANU

KUALA TERENGGANU, 22 September 2025 - MARA Corporation berbangga dengan kejayaan MARA Liner yang kini menjadi pengendali rasmi perkhidmatan BAS.MY Kuala Terengganu. Langkah ini menandakan satu lagi pencapaian penting dalam usaha memperkukuh mobiliti rakyat melalui penyediaan pengangkutan awam yang cekap, selamat dan boleh dipercayai, selari dengan aspirasi Program Transformasi Perkhidmatan Bas Berhenti-henti (SBST) di bawah jenama baharu BAS.MY.

Dengan rekod pencapaian cemerlang sehingga 99% dalam kepatuhan trip dan ketepatan masa, MARA Liner terus membuktikan keupayaan sebagai antara pengendali paling konsisten di Malaysia. Peningkatan operasi turut disokong oleh penggunaan 100% bas mini baharu, sistem pemantauan GPS masa nyata serta aplikasi Journey Planner, yang memudahkan rakyat mengakses maklumat perjalanan dengan lebih mudah dan pantas.

Sebagai sebahagian daripada ekosistem MARA Corporation, MARA Liner akan terus mengutamakan inovasi, pendigitalan, dan kemudahan akses untuk semua lapisan masyarakat termasuk pelajar, warga emas dan OKU. Kami percaya bahawa pengangkutan awam bukan sekadar perkhidmatan, tetapi amanah dalam menghubungkan komuniti dan memperkukuh kesejahteraan rakyat.

Majlis pelancaran telah disempurnakan oleh Menteri Besar Terengganu, YAB Dato' Seri Ir. Dr. Ahmad Samsuri Mokhtar danMenteri Pengangkutan Malaysia, YB Loke Siew Fook. Turut hadir, Setiausaha Kerajaan Negeri, YBhg. Dato’ Nara Setia Zulkifli Ali; Timbalan Ketua Setiausaha MOT, YBhg. Dr. Nor Fuad Abdul Hamid; Exco Infrastruktur, Utiliti dan Pembangunan Luar Bandar, YBhg. Dato’ Haji Hanafiah Mat; Ketua Pengarah APAD, YBhg. Datuk Azlan Shah Al Bakri; Datuk Bandar, Majlis Bandaraya Kuala Terengganu, YBhg. Dato’ Jusman Ibrahim; Ketua Pegawai Eksekutif Kumpulan MARA Corporation, YBhg. En. Yahaya Sani dan Pengurusan MARA, MARA Corp dan warga kerja MARA Liner.

#MARACORP #MARACorpGroup #MARA #MajlisAmanahRakyat #KKDW #MARALiner #BasMy",https://www.instagram.com/p/DO5S3VDk4Lw/,neutral,2025-09-22T06:55:46.000Z,12,0,0,0,0.0,12,12.0
