Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
Lowyat	Lowyat Post	lowyat_post_1	"Nintendo switch 2 spec leak. TSps3 fanboyJun 29 2023, 01:48 AM, updated 5d agoShow posts by this member only|					 Post#1New MemberJunior Member17 postsJoined: Nov 2011"	Neutral	Jun 29 2023, 01:48 AM, updated 5d ago	0	0	0	0	0.9941	0
Lowyat	Lowyat Post	lowyat_post_2	"Nintendo switch 2 spec leak. CyrusWongJun 29 2023, 01:58 AMShow posts by this member only|					 Post#2RegularSenior Member1,638 postsJoined: Apr 2013"	Neutral	Jun 29 2023, 01:58 AM	0	0	0	0	0.9941	0
Lowyat	Lowyat Post	lowyat_post_3	Nintendo switch 2 spec leak. hopefully the switch will get either fsr or dlss type of upscalingotherwise..	Neutral	Jun 29 2023, 02:04 AM	0	0	0	0	0.9857	0
Lowyat	Lowyat Post	lowyat_post_4	Nintendo switch 2 spec leak. hmm never interested to buy a switch even after trying it.	Neutral	Jun 29 2023, 02:30 AM	0	0	0	0	0.9892	0
Lowyat	Lowyat Post	lowyat_post_5	Nintendo switch 2 spec leak. expected, after all steam deck are close to ps4 when it come to performance. hopefully nintendo will choose qualcomm soc this time.	Neutral	Jun 29 2023, 02:48 AM	0	0	0	0	0.9263	0
Lowyat	Lowyat Post	lowyat_post_6	Nintendo switch 2 spec leak. QUOTE(HumanExtinction @ Jun 29 2023, 02:04 AM)hopefully the switch will get either fsr or dlss type of upscalingotherwise..switch already use fsr1.0	Neutral	Jun 29 2023, 02:52 AM	0	0	0	0	0.9939	0
Lowyat	Lowyat Post	lowyat_post_7	Nintendo switch 2 spec leak. QUOTE(zerorating @ Jun 29 2023, 02:52 AM)switch already use fsr1.0Interesting	Neutral	Jun 29 2023, 02:59 AM	0	0	0	0	0.9941	0
Lowyat	Lowyat Post	lowyat_post_8	Nintendo switch 2 spec leak. Kekwa semua pakai amd z1	Neutral	Jun 29 2023, 03:53 AM	0	0	0	0	0.9929	0
Lowyat	Lowyat Post	lowyat_post_9	Nintendo switch 2 spec leak. inb4 nintendo still managed to hobble the performance somehow	Neutral	Jun 29 2023, 06:23 AM	0	0	0	0	0.9882	0
Lowyat	Lowyat Post	lowyat_post_10	Nintendo switch 2 spec leak. nintendo fans no care about graphics. Their game all graphucs macam minecraft	Neutral	Jun 29 2023, 06:41 AM	0	0	0	0	0.9289	0
