Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
Lowyat	Lowyat Post	lowyat_post_1	"Pas spiritual leader urges parties to battle. TSorangtuaSep 4 2022, 09:24 PM, updated 3y agoShow posts by this member only|IPv6|					 Post#1Getting StartedJunior Member108 postsJoined: Jul 2006"	Neutral	Sep 4 2022, 09:24 PM, updated 3y ago	0	0	0	0	0.9938	0
Lowyat	Lowyat Post	lowyat_post_2	"Pas spiritual leader urges parties to battle. myasiahobbySep 4 2022, 09:25 PMShow posts by this member only|					 Post#2On my wayJunior Member690 postsJoined: Dec 2009From: Italy"	Neutral	Sep 4 2022, 09:25 PM	0	0	0	0	0.9885	0
Lowyat	Lowyat Post	lowyat_post_3	Pas spiritual leader urges parties to battle. Duit rakyat Kelantan habis depa pas pakai Mercedes setiap ahli exco, wakil parlimen pulak pakai Toyota Vellfire. Tak rasuah panggil apa? Bodo babi!	Negative	Sep 4 2022, 09:28 PM	0	0	0	0	0.9963	0
Lowyat	Lowyat Post	lowyat_post_4	Pas spiritual leader urges parties to battle. cakap tak serupa bikin	Negative	Sep 4 2022, 09:31 PM	0	0	0	0	0.9957	0
Lowyat	Lowyat Post	lowyat_post_5	Pas spiritual leader urges parties to battle. Joke of the day.I laugh till cry...	Negative	Sep 4 2022, 09:31 PM	0	0	0	0	0.9032	0
Lowyat	Lowyat Post	lowyat_post_6	Pas spiritual leader urges parties to battle. Cakap tak serupa bikin. 😁	Negative	Sep 4 2022, 09:32 PM	0	0	0	0	0.9953	0
Lowyat	Lowyat Post	lowyat_post_7	Pas spiritual leader urges parties to battle. What is wrong with corruption? Not wrong from religious perspective, just a favor accoridng to PAS so totally halal … unless you are nons, then is illegal corruption	Negative	Sep 4 2022, 09:33 PM	0	0	0	0	0.9965	0
Lowyat	Lowyat Post	lowyat_post_8	"Pas spiritual leader urges parties to battle. front guy on the right ""wtf am i doing here?"""	Neutral	Sep 4 2022, 09:34 PM	0	0	0	0	0.8586	0
Lowyat	Lowyat Post	lowyat_post_9	Pas spiritual leader urges parties to battle. yang pergi settle outside dengan sarawak report tu bukan rasuah?	Negative	Sep 4 2022, 09:59 PM	0	0	0	0	0.9940	0
Lowyat	Lowyat Post	lowyat_post_10	Pas spiritual leader urges parties to battle. ok bro, I'ma need 5mins to get spiritual, ready to square up with my demon	Neutral	Sep 4 2022, 10:21 PM	0	0	0	0	0.4115	0
Lowyat	Lowyat Post	lowyat_post_11	Pas spiritual leader urges parties to battle. Quite funny when they sitting on massili and saying this kind of jokes	Negative	Sep 4 2022, 10:53 PM	0	0	0	0	0.8252	0
Lowyat	Lowyat Post	lowyat_post_12	Pas spiritual leader urges parties to battle. QUOTE(pgsiemkia @ Sep 4 2022, 09:28 PM)Duit rakyat Kelantan habis depa pas pakai Mercedes setiap ahli exco, wakil parlimen pulak pakai Toyota Vellfire. Tak rasuah panggil apa? Bodo babi!Tu bukan rasuah la wei. Tu rezeki!	Negative	Sep 4 2022, 10:55 PM	0	0	0	0	0.9902	0
Lowyat	Lowyat Post	lowyat_post_13	Pas spiritual leader urges parties to battle. They wasted money on mercedes n needless meetings in other states. They insult nons. They should battle themselves	Negative	Sep 4 2022, 11:10 PM	0	0	0	0	0.9933	0
Lowyat	Lowyat Post	lowyat_post_14	Pas spiritual leader urges parties to battle. Meanwhile the people of Kelantan get teh tarik water.	Negative	Sep 4 2022, 11:27 PM	0	0	0	0	0.9660	0
Lowyat	Lowyat Post	lowyat_post_15	Pas spiritual leader urges parties to battle. Want to battle corruption but still work with those corrupts, hypocrite.	Negative	Sep 4 2022, 11:32 PM	0	0	0	0	0.9949	0
