Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
news,post,1bf527d925154be7,"Gerakan ikhtiar satukan PN menjelang PRN Johor, N Sembilan. Gerakan ikhtiar satukan PN menjelang PRN Johor, N Sembilan&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5rWXZKLThEWjdCWFRvcFhqNlhIMFN1dk81LUJVUWJiczFEcGxjZ3A2Vm1pTG5udUNIR1pwc1RuZWx2Y2dEWEJjbzNZRHhyWWVDZjY5NV9sSFhETXlJbTZ5ZmpR?oc=5,,2026-06-20T10:18:25+00:00,0,0,0,0,0.0,0,0.0
news,post,03d8dd1934686ef9,"PRN Johor: PKR akan wakili PH di Puteri Wangsa, kata pemimpin. PRN Johor: PKR akan wakili PH di Puteri Wangsa, kata pemimpin&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE96Uk9GdVRmSzJqcGYtdlJ0cTJ0MTN3Y2dHbndSeldHNldocUxTRlhKQUNWUERrVExnQlBvZXR2bE1qWFd1X0pOT1oteFcwRTAzbUVzUWRFNV92RnZrR1g5cUFB?oc=5,,2026-06-16T06:36:43+00:00,0,0,0,0,0.0,0,0.0
news,post,5190a709eb49c369,"PRN Johor: 7 kerusi marginal cetus saingan panas, penentu kuasa. PRN Johor: 7 kerusi marginal cetus saingan panas, penentu kuasa&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5wR0N3c0F0THppQV9hMjlNNVBzUTY4OUJBRXhoTk8zamdHOEIzQ2ZvRHlDTVpVQ1dBV3NLUktkclFXZGs0cHcwYUlUUVl4QlhOMTRvakdfaUFoNllyVWh3N0l3?oc=5,,2026-06-15T00:07:53+00:00,0,0,0,0,0.0,0,0.0
news,post,c6ffe2a0c15a1453,"Muda, PSM bentuk ‘blok progresif’ hadapi PRN Johor, Negeri Sembilan. Muda, PSM bentuk ‘blok progresif’ hadapi PRN Johor, Negeri Sembilan&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1ja0R2VW16aGVkWU9uemItUTByX0pmRXowNGtJR2ZZNDRDTS13QlZoRDRXUzdSeE5PUGIzR2VYcndsT2ppb0JuM2NpY0laVVF6RDZIMVJSRVBvS0x2d29lNUJR?oc=5,,2026-06-15T08:26:46+00:00,0,0,0,0,0.0,0,0.0
news,post,0601dfe6c52b27bf,"Muda, PSM form ‘progressive bloc’ for Johor, NS polls. Muda, PSM form ‘progressive bloc’ for Johor, NS polls&nbsp;&nbsp;Free Malaysia Today",https://news.google.com/rss/articles/CBMiYkFVX3lxTE9vNXJOQ0VFdk1nLU1uaDJBejNOaEFralpGR0k3TkdNWldmaktwdVZxX2JJcHVWV01IZDg0TVFmbXVjdGpLQmtvd25Vb1lVZ19aVWVzWmtSWVA3TlNMdHJadnVn?oc=5,,2026-06-15T09:56:01+00:00,0,0,0,0,0.0,0,0.0
news,post,ba999f006fbedf90,"PRN Johor: MIC pertahan 2 kerusi, tukar kawasan dengan Umno. PRN Johor: MIC pertahan 2 kerusi, tukar kawasan dengan Umno&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTE5SeFpMM3cwMXdWSW9weUswQ3ZrUHlMVXZtQWRBdUJmTjl1UXZ6ck1FMDdhZmpWempvTWN5T0xGakl4NnFhVFZYRg?oc=5,,2026-06-19T18:27:19+00:00,0,0,0,0,0.0,0,0.0
news,post,6a27a06c5bcd8998,"PRN Johor: Amanah tekad rampas semula Parit Yaani, Kota Iskandar. PRN Johor: Amanah tekad rampas semula Parit Yaani, Kota Iskandar&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTFBOd1djNU9XWDVNdG1GR2hNZlVLT3dfRWlCWFJ5TU5zOTcteDFGN2RBN2ZWRzhfbndQMm45dkdJT1dvMEt0emdzcA?oc=5,,2026-06-19T22:13:49+00:00,0,0,0,0,0.0,0,0.0
news,post,410c41f8c123913f,"Pejuang akan tanding PRN Johor, NS. Pejuang akan tanding PRN Johor, NS&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTE1mOFBUN29KLWhfZGhqcDlMUW9hV3NmWEs5emZUODRCSVNKUTY2cG1BbU1lMUJvYjhuYW1YQXZpQkNxd1hxNUhfYg?oc=5,,2026-06-16T23:25:54+00:00,0,0,0,0,0.0,0,0.0
news,post,470347203b5cea54,"‘Move forward’, PAS Johor tiada masalah Bersatu ada kawan baharu. ‘Move forward’, PAS Johor tiada masalah Bersatu ada kawan baharu&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTFBWTmtsMHFZdUd2VFRCRUNDSFZ1T1BiSmliQms4VmFUdnlma2JQYllONkl6dXZGUi1xNXdzN1hZRmxacW1QRFIzNw?oc=5,,2026-06-16T11:32:47+00:00,0,0,0,0,0.0,0,0.0
news,post,af953015ef502dcf,"Jangan ‘biar kawan kalah’, Mat Sabu seru ahli menangkan semua calon. Jangan ‘biar kawan kalah’, Mat Sabu seru ahli menangkan semua calon&nbsp;&nbsp;MEXC",https://news.google.com/rss/articles/CBMiSEFVX3lxTE01Vl9vbmstcDYwUEpNZ1hFeHFxMkVteWNERzlXQXowM2x5OWNGcXdkZmdnMEFWc2tHelZyOFAyZ3NuTHdEN0w3bQ?oc=5,,2026-06-20T00:00:10+00:00,0,0,0,0,0.0,0,0.0
