Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
News	News Article	news_article_1	ANUGERAH CMIEA JADI PEMANGKIN PRODUKTIVITI INDUSTRI.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.8508	0
News	News Article	news_article_2	RISDA temui sumber kekayaan baharu negara, bakal dilaksana awal tahun depan.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.6832	0
News	News Article	news_article_3	RISDA Bawa Misi Besar Kukuhkan Pekebun Kecil Getah Sarawak.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9812	0
News	News Article	news_article_4	Produktiviti perkhidmatan jadi asas lanjut usia persaraan.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9927	0
News	News Article	news_article_5	Bung Moktar Named RISDA adviser to champion Sabah rubber smallholders.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.5212	0
News	News Article	news_article_6	RISDA santuni pekebun kecil, anak yatim | Sinar Harian.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9104	0
News	News Article	news_article_7	RISDA siapkan 9 juta benih untuk 15,000 hektar ladang getah terbiar.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9211	0
News	News Article	news_article_8	Samsung Electronics akan guna pembantu pengkodan AI untuk tingkatkan produktiviti.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.6979	0
News	News Article	news_article_9	TPM saran RISDA wujud depoh getah berteknologi tinggi di Sabah.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9755	0
News	News Article	news_article_10	Produktiviti buruh naik satu peratus kepada RM42.5 sejam.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9901	0
News	News Article	news_article_11	GEMPAK RISDA perkasa kemahiran belia | Sinar Harian.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9188	0
News	News Article	news_article_12	RISDA kukuh hubungan melalui Program Santunan Pekebun Kecil.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9735	0
News	News Article	news_article_13	RISDA sedia 9 juta benih getah tampung hidupkan semula 15,000 hektar ladang terbiar setahun.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.5821	0
News	News Article	news_article_14	RISDA disaran mempelbagaikan produk hiliran getah, bantu stabilkan harga komoditi | Sinar Harian.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9740	0
News	News Article	news_article_15	Bina depo perkasa pekebun kecil Sarawak.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9854	0
News	News Article	news_article_16	Produktiviti buruh tahun ini dalam kedudukan positif.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9884	0
News	News Article	news_article_17	RISDA perkasa komuniti pekebun kecil | Sinar Harian.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9809	0
News	News Article	news_article_18	Cadangan RISDA Jadi Pembeli Tunggal Getah Pekebun Kecil Dibentang Kepada Kabinet - Ahmad Zahid.	Neutral	Jun 21 at 12:13 AM	0	0	0	0	0.9922	0
News	News Article	news_article_19	RISDA Komited Perkasa Penguasaan Kemahiran Digital Usahawan Bimbingan.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9605	0
News	News Article	news_article_20	5 Microsoft ciri pada telefon Samsung untuk meningkatkan produktiviti.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.9930	0
News	News Article	news_article_21	Cadangan RISDA jadi pembeli tunggal getah akan dibawa ke mesyuarat Jemaah Menteri - Ahmad Zahid.	Positive	Jun 21 at 12:13 AM	0	0	0	0	0.8524	0
