Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
News	News Article	news_article_1	Dewan Ulama Pas nafi pertahan pemimpin berkaraoke.	Neutral	Jun 10 at 12:39 PM	0	0	0	0	0.4213	0
News	News Article	news_article_2	‘Sesiapa huru-harakan PAS boleh hilang dari radar politik’, kata AJK ulama.	Negative	Jun 10 at 12:39 PM	0	0	0	0	0.9964	0
News	News Article	news_article_3	Presiden Kesatuan Ulama Sedunia Sheikh Ali Al-Qaradaghi adakan lawatan rasmi ke Malaysia.	Neutral	Jun 10 at 12:39 PM	0	0	0	0	0.8714	0
News	News Article	news_article_4	Dilema kepemimpinan Pas menjelang pasca-Hadi Awang.	Neutral	Jun 10 at 12:39 PM	0	0	0	0	0.8571	0
News	News Article	news_article_5	Tiada pro-DAP dalam PAS, jangan label sebab tak suka, kata Tuan Ibrahim.	Negative	Jun 10 at 12:39 PM	0	0	0	0	0.9956	0
News	News Article	news_article_6	Kepimpinan ulama Pas tidak akan berakhir | Sinar Harian.	Negative	Jun 10 at 12:39 PM	0	0	0	0	0.8989	0
News	News Article	news_article_7	Majoriti rakyat Malaysia mahu negara Syariah Islam.	Positive	Jun 10 at 12:39 PM	0	0	0	0	0.9734	0
News	News Article	news_article_8	Pertembungan kelompok 'ulama' - 'publika' dalam Muktamar Pemilihan Pas?.	Neutral	Jun 10 at 12:39 PM	0	0	0	0	0.9333	0
News	News Article	news_article_9	Melawan rasuah di Malaysia: Agenda siapa?.	Negative	Jun 10 at 12:39 PM	0	0	0	0	0.9611	0
News	News Article	news_article_10	Yakinlah Dengan Kepimpinan Ulamak – Ustaz Azhar Idrus.	Positive	Jun 10 at 12:39 PM	0	0	0	0	0.9888	0
News	News Article	news_article_11	Blok pimpinan PAS dijangka kekal, tiada kejutan, kata penganalisis.	Neutral	Jun 10 at 12:39 PM	0	0	0	0	0.3762	0
