Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
threads,comment,3906736766313897230,Penyokong PN Pas makin panas,https://www.threads.com/@nasirnasir1798/post/DY3hGPjGR0O,neutral,2026-05-28T03:35:36.000Z,30,0,140,0,0.0,170
threads,comment,,Tak payah la time ni nak bangga psl ni sebab dlm korg tu ada puak yg nak sgt hapuskan identiti malaysia sbg negara yg muslim friendly,,neutral,2026-05-28T03:59:06.000Z,1,0,1,0,0.0,2
threads,comment,,Itu cuma tulisan utk momok BANGSA MELAYU sbb jenis korang bukan ada isu lain pun,,neutral,2026-05-28T04:06:00.000Z,2,0,0,0,0.0,2
threads,comment,,Sikitpun tak panas pasal dah biasa kena kencing,,neutral,2026-05-28T03:45:02.000Z,1,0,1,0,0.0,2
threads,comment,,LEBAI POLITIK mmg gitu....los tunggang,,neutral,2026-05-28T03:47:32.000Z,1,0,1,0,0.0,2
threads,comment,,Fake🤣👆🏼,,neutral,2026-05-28T04:11:03.000Z,1,0,1,0,0.0,2
threads,comment,,Aku FAHAM kau yg fake adehh,,neutral,2026-05-28T04:13:39.000Z,0,0,0,0,0.0,0
threads,comment,,Kelemahan umat Islam bukan kerana musuh islam kuat ttp kerana ramai org munafik bersama mrk..,,neutral,2026-05-28T04:21:02.000Z,1,0,1,0,0.0,2
threads,comment,,POLITIK Tunggang Agama sanggup buat APA saje,,neutral,2026-05-28T04:21:58.000Z,5,0,1,0,0.0,6
threads,comment,,Nuar politik tunggu giliran bontot,,neutral,2026-05-28T05:12:45.000Z,0,0,1,0,0.0,1
threads,comment,,Pendosa Qazaf nauzubilah minzalik,,neutral,2026-05-28T05:16:43.000Z,0,0,1,0,0.0,1
threads,comment,,"Bagi tahu Nuar tu, Buka Semula siasatan dan bicara di Mahkamah Syariah , ada berani ?",,neutral,2026-05-28T10:56:52.000Z,0,0,1,0,0.0,1
threads,comment,,"melayu? melayu bangsat. kau melayu kan? aku pun melayu tapi aku undi dap. aku akan pastikan cina dpt malaysian malaysia, hak samarata, hapus pribumi. melayu lembik, bercerai berai, iq78 paling randah dari cina",,neutral,2026-05-28T11:42:14.000Z,0,0,1,0,0.0,1
threads,comment,,Haha mmg kelakar....,,neutral,2026-05-28T11:46:15.000Z,0,0,1,0,0.0,1
threads,comment,,next pm better cina lah. me-layu bangsat caca marba. bukan tau tadbir negara pun. acah ketuanan je lebih. pundek,,neutral,2026-05-28T11:49:51.000Z,0,0,0,0,0.0,0
threads,comment,,"""The country leads the rankings by securing the #1 spot in almost every core pillar measured, including Islamic Finance, Halal Food, Muslim-Friendly Travel, Media & Recreation, and Pharmaceuticals & Cosmetics.""

Cuba buat ranking ekonomc growth pulak..",,neutral,2026-05-28T03:49:46.000Z,0,0,2,0,0.0,2
threads,comment,,Setakai grafik camni sapa² boleh buat. Realitinya rakyat makin susah atau senang? Harini diesel berapa seliter?,,neutral,2026-05-28T07:30:51.000Z,0,0,1,0,0.0,1
threads,comment,,Hari ni di seluruh DUNIA mmg terjadi krisis minyak Dan harga diesel mmg tinggi kau tak tahu adoiii,,neutral,2026-05-28T07:34:28.000Z,0,0,0,0,0.0,0
threads,comment,,Semoga ALLAH hancurkan PhBnDap.... Aamiiin,,neutral,2026-05-28T04:17:45.000Z,0,0,0,0,0.0,0
threads,comment,,Aku pun boleh edit kat AI mcm ni.🤣,,neutral,2026-05-28T05:31:24.000Z,0,0,0,0,0.0,0
threads,comment,,Terbaik kata walanon😂😂,,neutral,2026-05-29T00:50:24.000Z,0,0,0,0,0.0,0
threads,comment,,"Aduh masa ni la pulak Arab Saudi tarik pelaburan.. takkan Pak Arab tak percaya dengan PMX?
Kena ejes balik tak data terkuat dunia tu bang?",,neutral,2026-05-28T08:42:18.000Z,0,0,1,0,0.0,1
threads,comment,,Tunggu jawapan pmx,,neutral,2026-05-28T09:46:40.000Z,0,0,1,0,0.0,1
threads,comment,,Boleh telefon kan? Ke takde nombor?,,neutral,2026-05-28T09:47:33.000Z,0,0,1,0,0.0,1
