Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
threads,post,3912807680357101546,"전문시위꾼 안붙은 시위 특

1. 피켓이 허접함
2. 장구/꾕가리/징 없음
3. 콜드플레이 콘서트 온거마냥 큰 깃발 x",https://www.threads.com/@jaksbfbwhjq/post/DZNFdq2Gu_q,,,neutral,2026-06-06T02:27:00.424078,9771,0,0,0,0.0,9771,9771.0
threads,post,3891919528491166521,"Next GE, aku confirm tak undi
1. Calon BN
2. Calon  PKR
3. Calon DAP
4. Calon type I
Sebab serik dah dengan perangai diorang bila ada kuasa",https://www.threads.com/@azlinaziz202/post/DYC4DDeHys5,,,neutral,2026-06-06T02:27:00.422943,2556,0,0,0,0.0,2556,2556.0
threads,post,3912922628672056603,"While out for breakfast earlier, a man of about 80 told me, “By time Trump is done…many people may just be ready to say, ‘Tear the entire White House down…and start fresh.’ He has tainted it in a way nothing…and no one else…ever has…or could.”",https://www.threads.com/@therealjackhopkins/post/DZNfmYzle0b,,,neutral,2026-06-06T02:27:00.421952,2370,0,0,0,0.0,2370,2370.0
threads,post,3870427118942349958,Asyraf Wajdi punya prestasi sekarang nampak amat bagus dan memberangsangkan. Ramai Gen Z kenal dia. Tak boleh ke kita push dia untuk jadi our next Prime Minister? Mungkin kalau Dr Asyraf Wajdi jadi calon PM kita UMNO boleh ambik alih Kelantan dari PAS.,https://www.threads.com/@ematazmi/post/DW2hPVRmOqG,,,neutral,2026-06-06T02:27:00.423429,1491,0,0,0,0.0,1491,1491.0
threads,post,3909815251718021184,"Anwar sebut sebelum ini, jika DUN Johor dibubarkan kerana UMNO ingin pergi solo, beliau akan bubarkan Parlimen. Beranikah dia melakukannya?",https://www.threads.com/@shahbudin_husin/post/DZCdEGgDqBA,,,neutral,2026-06-06T02:27:00.423040,1259,0,0,0,0.0,1259,1259.0
threads,post,3912910640545917935,"Re: The couple who ended their pregnancy because their child would have had Down syndrome. 

Bodily autonomy means you keep your fucking mouth shut and you don’t judge them or insert your ‘authority.’ Progressives/leftists, looking at you. 

‘But I have a child with …’ Doesn’t matter. BODILY. AUTONOMY. We don’t get to pick and choose what women do with their bodies based on what we would have chosen personally. Let that grieving couple alone. 

Why is this so hard? You’re not their doctor!",https://www.threads.com/@thegardenwitchsitch/post/DZNc37_levv,,,neutral,2026-06-06T02:27:00.422321,800,0,0,0,0.0,800,800.0
threads,post,3912731808492214833,"Dear British Media, stop reporting on what Elon Misk is saying about British politics. He doesn’t deserve a platform. His opinions are not asked for or needed.",https://www.threads.com/@sonyajayne7/post/DZM0NlqjNox,,,neutral,2026-06-06T02:27:00.423718,547,0,0,0,0.0,547,547.0
threads,post,3899407317272363233,"PRU 16:
Kuburkan PKR...
Saya pelik dengan puak2 pkr ni...
Dah jadi kerajaan masih nak jerit ""Reformasi! Lawan Tetap Lawan""",https://www.threads.com/@drchoudhrysp/post/DYdekuMlADh,,,neutral,2026-06-06T02:27:00.422841,445,0,0,0,0.0,445,445.0
threads,post,3912925693734912272,"Two reasons why Bitcoin is crashing rn:

1) Macro - Bitcoin is not, and never has been, an inflation edge. Anyone who says that is either ignorant of its history and/or lying to you. In fact, crypto is only speculation (and crime), and therefore when credit is easy to obtain, more people gamble on it. But when things get rough (oil ~$100 a barrel, Fed not cutting rates anytime soon), crypto crashes like a rock. It did so in 2022 when the Fed began raising rates, it is doing so now…",https://www.threads.com/@mrbenmckenzie/post/DZNgS_XkYEQ,,,neutral,2026-06-06T02:27:00.422184,381,0,0,0,0.0,381,381.0
threads,post,3909862850626685016,"Ingat cara memilih calon untuk diundi:
1) YB Marina Ibrahim ✅ (kalau tak jadi undur)
2) YAB Dato’ Onn Hafiz ✅
3) YB Dato’ Jafni Shukor ✅
4) PH ✅
5) BN ✅
6) PN/PAS/MUDA/BERSAMA/LAIN-LAIN ❌",https://www.threads.com/@elzat_adrian/post/DZCn4wcGYhY,,,neutral,2026-06-06T02:27:00.423526,374,0,0,0,0.0,374,374.0
threads,post,3909911519845103996,"PKR , AMANAH dan DAP pada PRN Johor akan kena kena benam macam di Sabah

Bukan sebab rakyat sokong BN tapi sebab rakyat menyampah dengan PMX dan PH",https://www.threads.com/@aidil.azlan/post/DZCy8_Lkzl8,,,neutral,2026-06-06T02:27:00.423240,200,0,0,0,0.0,200,200.0
threads,post,3910555771230981833,Aura kesedaran Melayu terhadap sokongan PH kian meningkat hari demi hari. Alhamdulillah,https://www.threads.com/@hashim.zan/post/DZFFcFCk47J,,,neutral,2026-06-06T02:27:00.422645,153,0,0,0,0.0,153,153.0
threads,post,3689316350527773985,kenapa org Melayu tak boleh bersatu di bawah satu parti politik mcm orang cina bersatu bawah DAP?,https://www.threads.com/@abematk486/post/DMzFayJP50h,,,neutral,2026-06-06T02:27:00.423989,144,0,0,0,0.0,144,144.0
threads,post,3912938288844294393,"Shame on the Chicago Bears and the State of Indiana. 

I’m happy that the State of Illinois and Gov Pritzker did not buckle and gave a multi billion dollar organization any public money or any tax breaks. 

Let the Bears build that new stadium on top of a slag heap across from oil refineries.

I feel bad that people in Indiana now have to deal with higher taxes and tolls because the Bears don’t want to pay their far share in taxes in Illinois.",https://www.threads.com/@moveslikeroy/post/DZNjKRelsj5,,,neutral,2026-06-06T02:27:00.421722,126,0,0,0,0.0,126,126.0
threads,post,3795342578787714924,"Pas Ajak Umno Bergabung Tubuh Perpaduan Ummah Jika Keluar Dari Kerajaan Perpaduan.....

🤔🤔🤔🤔🤔🤔",https://www.threads.com/@teohwoei/post/DSrw_eBjods,,,neutral,2026-06-06T02:27:00.424592,120,0,0,0,0.0,120,120.0
threads,post,3912874777350919265,"I don't want to brag or anything, but this summer marks the 20 year anniversary of that time I caused a global outage at Google with a two letter typo.",https://www.threads.com/@real_jo2y/post/DZNUuDyllRh,,,neutral,2026-06-06T02:27:00.422742,117,0,0,0,0.0,117,117.0
threads,post,3912883936502729597,"Yg penyokong singkir Tunku Muhriz chegubard, yo rais, umno pas.
Yg salah DAP.",https://www.threads.com/@ajipkasa/post/DZNWzV6k8t9,,,neutral,2026-06-06T02:27:00.423896,98,0,0,0,0.0,98,98.0
threads,post,3759833293597691652,"saya akui saya naik jadi PM sebab sokongan Zahid Hamidi

Sebagai balas, saya takkan kacau kes2 rasuah Umno. Sebab itu 47 kes pecah amanah Zahid tu DNAA

Contohhhhh",https://www.threads.com/@dr_zainal_abedin/post/DQtnHXHk88E,,,neutral,2026-06-06T02:27:00.422544,85,0,0,0,0.0,85,85.0
threads,post,3791790024858936386,"Jangan nak salahkan BERSATU, PAS, PN pula, Wak Jahid dari UMNO jer yang tak nak Melayu bersatu, BERSATU dengan PAS tiada masalah. 

Masa PAS/UMNO jemput BERSATU dalam MN kita ON jer Wak Jahid AKA UMNO yang tak nak.

Lepastu korang nak salahkan BERSATU/MELAYU  ker...",https://www.threads.com/@komrad_ipin/post/DSfJPAWliRC,,,neutral,2026-06-06T02:27:00.424169,76,0,0,0,0.0,76,76.0
threads,post,3900623511760231551,"PRU ni kita kasi KERAJAAN MADANI turun, cukup org Melayu di tindas.. DAH TERANG LAGI DI SULUH, TAKKAN TAK NAMPAK?",https://www.threads.com/@solehazmi_/post/DYhzGrlAVx_,,,neutral,2026-06-06T02:27:00.423141,70,0,0,0,0.0,70,70.0
threads,post,3885103699446421561,"BN sedia menjadi pembangkang. PN sudah pasti tidak akan bersama dengan PH. 

Kesimpulannya, memang PH dah tak ada jalan lain selain meletakkan jawatan dan biarkan parti lain yang cari 'numbers' untuk bentuk kerajaan. 

Masalahnya sekarang, walaupun PH tak ada numbers, PH tetap nak jadi kerajaan. Sebab tu semua stuck. Be a gentleman. Dah tak ada numbers, sila letak jawatan segera.",https://www.threads.com/@ahmadazarul.xx/post/DXqqTsBD1g5,,,neutral,2026-06-06T02:27:00.424433,65,0,0,0,0.0,65,65.0
threads,post,3888713687549778132,"kalau tak nak umno/bn bekerjasama dengan Dap pasca pru16, kita kena pastikan umno/bn menang besar dan mentadbir negara secara dominan. 
ada berani??",https://www.threads.com/@khairulrazem.kmz/post/DX3fH7bmpjU,,,neutral,2026-06-06T02:27:00.422437,36,0,0,0,0.0,36,36.0
threads,post,3912897454853241315,"All the ""pro choice or else"" folks get really flustered when an actual disabled person enters the comments and wants to discuss eugenics.",https://www.threads.com/@fullnovembermoon/post/DZNZ4D3Drnj,,,neutral,2026-06-06T02:27:00.423334,33,0,0,0,0.0,33,33.0
threads,post,3912943743880347983,"I learned a valuable lesson today.

I should keep my mouth shut because apparently I’m a burden on society.

People talk about terminating pregnancies for disability like it’s “kinder” or “responsible.” That framing doesn’t just erase disabled kids  it erases disabled adults, too. It tells us our lives are problems to be prevented.",https://www.threads.com/@clarahbates/post/DZNkZp4E0FP,,,neutral,2026-06-06T02:27:00.421312,13,0,0,0,0.0,13,13.0
threads,post,3912897597954143551,Sekian. Dua hari berturut2 kalah battle tiket bts 🥹 sesiapa nnti tlg kirim salam kat suga,https://www.threads.com/@hnsh.aris/post/DZNZ6JIiTU_,,,neutral,2026-06-06T02:27:00.424348,8,0,0,0,0.0,8,8.0
