Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7644046251125656852_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@user61174072240385/video/7644046251125656852,7644046251125656852,neutral,2026-06-12T01:54:32.879561,0,0,0,0,0.0,0,,,,
tiktok,comment,7644046251125656852_comment_1,p,https://www.tiktok.com/@user61174072240385/video/7644046251125656852,7644046251125656852,neutral,2026-06-12T01:54:32.879636,0,0,0,0,0.0,0,,,,
tiktok,comment,7516067885589040389_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@prima.ery11/video/7516067885589040389,7516067885589040389,neutral,2026-06-12T01:54:33.158530,0,0,0,0,0.0,0,,,,
tiktok,comment,7516067885589040389_comment_1,p,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,7516067885589040389,neutral,2026-06-12T01:54:33.158570,0,0,0,0,0.0,0,,,,
tiktok,comment,7638114089465810196_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@user61174072240385/video/7638114089465810196,7638114089465810196,neutral,2026-06-12T01:54:33.442135,0,0,0,0,0.0,0,,,,
tiktok,comment,7638114089465810196_comment_1,p,https://www.tiktok.com/@user61174072240385/video/7638114089465810196,7638114089465810196,neutral,2026-06-12T01:54:33.442176,0,0,0,0,0.0,0,,,,
tiktok,comment,7378934511436057862_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@nita_al_amin/video/7378934511436057862,7378934511436057862,neutral,2026-06-12T01:54:33.723231,0,0,0,0,0.0,0,,,,
tiktok,comment,7378934511436057862_comment_1,p,https://www.tiktok.com/@nita_al_amin/video/7378934511436057862,7378934511436057862,neutral,2026-06-12T01:54:33.723282,0,0,0,0,0.0,0,,,,
tiktok,comment,7648364860698299669_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@aminuddinaminiddi/video/7648364860698299669,7648364860698299669,neutral,2026-06-12T01:54:34.009553,0,0,0,0,0.0,0,,,,
tiktok,comment,7648364860698299669_comment_1,p,https://www.tiktok.com/@aminuddinaminiddi/video/7648364860698299669,7648364860698299669,neutral,2026-06-12T01:54:34.009606,0,0,0,0,0.0,0,,,,
tiktok,comment,7638213864080821525_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@user61174072240385/video/7638213864080821525,7638213864080821525,neutral,2026-06-12T01:54:34.396639,0,0,0,0,0.0,0,,,,
tiktok,comment,7638213864080821525_comment_1,p,https://www.tiktok.com/@user61174072240385/video/7638213864080821525,7638213864080821525,neutral,2026-06-12T01:54:34.396703,0,0,0,0,0.0,0,,,,
tiktok,comment,7637534310697864468_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@aminuddin8989/video/7637534310697864468,7637534310697864468,neutral,2026-06-12T01:54:34.672236,0,0,0,0,0.0,0,,,,
tiktok,comment,7637534310697864468_comment_1,p,https://www.tiktok.com/@aminuddin8989/video/7637534310697864468,7637534310697864468,neutral,2026-06-12T01:54:34.672287,0,0,0,0,0.0,0,,,,
tiktok,comment,7631740900040822034_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@aminuddinngah/video/7631740900040822034,7631740900040822034,neutral,2026-06-12T01:54:34.960184,0,0,0,0,0.0,0,,,,
tiktok,comment,7631740900040822034_comment_1,p,https://www.tiktok.com/@aminuddinngah/video/7631740900040822034,7631740900040822034,neutral,2026-06-12T01:54:34.960236,0,0,0,0,0.0,0,,,,
tiktok,comment,7580585021468151060_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@aminuddin8989/video/7580585021468151060,7580585021468151060,neutral,2026-06-12T01:54:35.253443,0,0,0,0,0.0,0,,,,
tiktok,comment,7580585021468151060_comment_1,p,https://www.tiktok.com/@aminuddin8989/video/7580585021468151060,7580585021468151060,neutral,2026-06-12T01:54:35.253496,0,0,0,0,0.0,0,,,,
tiktok,comment,7640080922607373588_comment_0,"baju Hijo bekas ank murid,semoga menjadi pemain bola sepak yg terbaik..AAMIIN..AIDIL FATHULLAH👍💪",https://www.tiktok.com/@user61174072240385/video/7640080922607373588,7640080922607373588,neutral,2026-06-12T01:54:35.541979,0,0,0,0,0.0,0,,,,
tiktok,comment,7640080922607373588_comment_1,p,https://www.tiktok.com/@user61174072240385/video/7640080922607373588,7640080922607373588,neutral,2026-06-12T01:54:35.541988,0,0,0,0,0.0,0,,,,
tiktok,post,7516067885589040389,Proses terjadinya GOL dari Aminnudin PSMP LAMBANGGELUN #sepakbola #tarkamsepakbola #tarkampekalongan,,,neutral,2026-06-11T17:54:32.880253+00:00,151,11,16,21600,0.0,394,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,242.6,,
tiktok,comment,7520608574033216274,SUADARA SAUDARA YEAH🤣,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,7516067885589040389,neutral,2025-06-27T12:42:20.000Z,0,0,1,0,0.0,2,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,,blakutaks17,0.0
tiktok,comment,7516385731217474324,aminudin emang gacor neng pekajangan podo bae topscore tapi difinal kalah ama persetaku,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,7516067885589040389,neutral,2025-06-16T03:38:15.000Z,1,0,0,0,0.0,1,https://www.tiktok.com/@prima.ery11/video/7516067885589040389,,king_reyy36,0.0
tiktok,post,7378934511436057862,"#ustadAminuddinhasbulloh 
#ustadAmin 
#ustadkotabekasi 
#ustadjatikramat",,,neutral,2026-06-11T17:54:33.442434+00:00,16,2,0,8110,0.0,99,https://www.tiktok.com/@nita_al_amin/video/7378934511436057862,28.11,,
