Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7553524032268815637_comment_0,@-𝙋𝙪𝙩𝙧𝙞𝙞𝙖𝙟𝙖𝙖𝙖,https://www.tiktok.com/@studentclass7.d/video/7553524032268815637,7553524032268815637,neutral,2026-06-21T06:23:19.776193,1,0,0,0,0.0,1,,,,
tiktok,comment,7553524032268815637_comment_1,@shin ✯ ｡*ﾟ✯ @˖ ᕤ 🌷.• ✿ .* CAH,https://www.tiktok.com/@studentclass7.d/video/7553524032268815637,7553524032268815637,neutral,2026-06-21T06:23:19.776226,0,0,0,0,0.0,0,,,,
tiktok,comment,7637036918949186836_comment_0,@-𝙋𝙪𝙩𝙧𝙞𝙞𝙖𝙟𝙖𝙖𝙖,https://www.tiktok.com/@berita.ks/video/7637036918949186836,7637036918949186836,neutral,2026-06-21T06:23:20.328561,1,0,0,0,0.0,1,,,,
tiktok,comment,7637036918949186836_comment_1,@shin ✯ ｡*ﾟ✯ @˖ ᕤ 🌷.• ✿ .* CAH,https://www.tiktok.com/@berita.ks/video/7637036918949186836,7637036918949186836,neutral,2026-06-21T06:23:20.328588,0,0,0,0,0.0,0,,,,
tiktok,comment,7652146651343195413_comment_0,@-𝙋𝙪𝙩𝙧𝙞𝙞𝙖𝙟𝙖𝙖𝙖,https://www.tiktok.com/@nikland77/video/7652146651343195413,7652146651343195413,neutral,2026-06-21T06:23:20.891181,1,0,0,0,0.0,1,,,,
tiktok,comment,7652146651343195413_comment_1,@shin ✯ ｡*ﾟ✯ @˖ ᕤ 🌷.• ✿ .* CAH,https://www.tiktok.com/@nikland77/video/7652146651343195413,7652146651343195413,neutral,2026-06-21T06:23:20.891234,0,0,0,0,0.0,0,,,,
tiktok,comment,7531204189876194567_comment_0,@-𝙋𝙪𝙩𝙧𝙞𝙞𝙖𝙟𝙖𝙖𝙖,https://www.tiktok.com/@pejalan.senggang/video/7531204189876194567,7531204189876194567,neutral,2026-06-21T06:23:21.198709,1,0,0,0,0.0,1,,,,
tiktok,comment,7531204189876194567_comment_1,@shin ✯ ｡*ﾟ✯ @˖ ᕤ 🌷.• ✿ .* CAH,https://www.tiktok.com/@pejalan.senggang/video/7531204189876194567,7531204189876194567,neutral,2026-06-21T06:23:21.198738,0,0,0,0,0.0,0,,,,
tiktok,comment,7649996636784987410_comment_0,@-𝙋𝙪𝙩𝙧𝙞𝙞𝙖𝙟𝙖𝙖𝙖,https://www.tiktok.com/@beefansgirlsrobida7/video/7649996636784987410,7649996636784987410,neutral,2026-06-21T06:23:21.528519,1,0,0,0,0.0,1,,,,
tiktok,comment,7649996636784987410_comment_1,@shin ✯ ｡*ﾟ✯ @˖ ᕤ 🌷.• ✿ .* CAH,https://www.tiktok.com/@beefansgirlsrobida7/video/7649996636784987410,7649996636784987410,neutral,2026-06-21T06:23:21.528560,0,0,0,0,0.0,0,,,,
