Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
tiktok,post,7637131352554343700,"Review Bas
Mara Liner Express
RBD726
#reviewbus #maralinerexpress #maraliner #sahabathafizpjack #jomnaikbas",https://www.tiktok.com/@hafizpjack/video/7637131352554343700,neutral,2026-05-19T13:41:41.106589,1553,119,90,41400,0.0,2176,2102.4
tiktok,post,7616283992689609991,#CapCut #mara #creatorsearchinsights #fyp,https://www.tiktok.com/@datojohan/video/7616283992689609991,neutral,2026-05-19T13:41:42.320046,1561,83,44,47400,0.0,2162,1906.4
tiktok,post,7616204584138165512,"1st MARALINER 13.5 meter
45 Vip seat
Scania (SKS)
Launch Today (13/3/2026)
#CapCut #mara #creatorsearchinsights #fyp #bus",https://www.tiktok.com/@datojohan/video/7616204584138165512,neutral,2026-05-19T13:41:42.045501,953,116,51,31500,0.0,1435,1369.5
tiktok,post,7595529087377231125,"available on @Zayn's Stuff 

#makeup #makeupartist #fyp #fyp #fyppppppppppppppppppppppp",https://www.tiktok.com/@ur_pookie44/video/7595529087377231125,neutral,2026-05-19T13:41:39.256173,844,49,33,38500,0.0,1311,1079.5
tiktok,post,7603567504383954196,"Replying to @FIEEX1🧸 min dpt apa ni dah belanja bas luar dlm 😜😜

#stagebus #review #maraliner #trending #fyp",https://www.tiktok.com/@maralinersdnbhd/video/7603567504383954196,neutral,2026-05-19T13:41:41.383694,411,23,14,12300,0.0,571,511.3
tiktok,post,7433085109017906448,"🚌 [REVIEW] MARALINER (RAG 4054)

🛠️SKSBUS D3, Scania K410, 45 VIP seats

📍Kuala Perlis

#SahabatAshman  #pemburubas #gengbasexpressmalaysia #basexpressmalaysia #gengexpress #pilotdarat #abgbas #viralvideo #LIVEFest2024 #fypシ゚ #peminatbasexpress #scania",https://www.tiktok.com/@ashmanzain/video/7433085109017906448,neutral,2026-05-19T13:41:40.803209,283,69,20,23500,0.0,607,504.5
tiktok,post,7431753847384591633,"🚌 [REVIEW] MARALINER (RY 3572)

📍Alor Setar - Pendang - Kuala Nerang

#SahabatAshman #SahabatBossKay #SahabatAA #SahabatHafizPjack #pemburubas #gengbasexpressmalaysia #basexpressmalaysia #gengexpress #pilotdarat #abgbas #viralvideo #LIVEFest2024 #fypシ゚",https://www.tiktok.com/@ashmanzain/video/7431753847384591633,neutral,2026-05-19T13:41:41.766448,214,69,22,23500,0.0,540,441.5
tiktok,post,7477763803082427656,"🚌 MARALINER (RQ 5039)

🛠️ SKSBUS E128D, MAN R40 24.460, 45 (2+1 VIP seats with USB ports and cup holder)

📍 Kuala Terengganu - Dungun - Kuantan - Kota Tinggi - Bandar Penawar - Sg Rengit

#SahabatAshman #fandomfest #pemburubas #pemburubasexpress #gengbasexpressmalaysia #basexpressmalaysia #gengexpress #peminatbasexpress #fypジ #abgbas #creatorsearchinsights #viralvideo #busspotting #malaysianbusandtruckenthusiasts #malaysianbusandtruckspotters #malaysianbuses #malaysiabusspotting #malaysiabusspotter #SahabatHafizPjack #tiktokmalaysia 
#LIVEhighlights #TikTokLIVE #LIVE #goliveyourramadan #ramadankareem #puasa #liveyourramadan",https://www.tiktok.com/@ashmanzain/video/7477763803082427656,neutral,2026-05-19T13:41:40.515808,221,8,20,13100,0.0,380,310.1
tiktok,post,7625491649241599239,LAGENDA MARA HOLDING SDN BHD kini dibawakan oleh MARA LINER GROUP teman destinasi anda hak milik zon timur pengkalan Chini Pahang menawarkan perkhidmatan yang lebih baik dan lebih efisien dengan pesawat GENERASI BARU dibawakan oleh new model SKSBUS E138I V2 dijanakan oleh SMC-375(WECHAI ZF FULL AUTO TRANSMISION) destinasi perjalanan ID ML73 FELDA CHINI-PEKAN-FELDA CHINI perjalanan setiap hari random pesawat trip 8 pagi dari Chini dan 2.30 ptg dari terminal bas pekan.semoga anda mampu memberikan perkhidmatan yang paling terbaik dan cemerlang buat warga pekan dan sekitarnya oleh toucu besar kapten Khairul Nizam OTAI JALANAN pengkalan Chini 🔥🔥🔥@maralinersdnbhd,https://www.tiktok.com/@pengangkutanawam/video/7625491649241599239,neutral,2026-05-19T13:41:40.233539,156,4,28,2596,0.0,213,250.596
tiktok,post,7466753563851590929,"🚌 MARALINER (RAG 4053)

🛠️ SKSBUS D3, Scania K410EB 6X2

📍 Temerloh - Ipoh - Butterworth - Sungai Petani - Alor Setar - Kangar - Kuala Perlis

#SahabatAshman #fandomfest #pemburubas #pemburubasexpress #gengbasexpressmalaysia #basexpressmalaysia #gengexpress #peminatbasexpress #fypジ #abgbas #creatorsearchinsights #viralvideo #busspotting #malaysianbusandtruckenthusiasts #malaysianbusandtruckspotters #malaysianbuses #malaysiabusspotting #malaysiabusspotter #SahabatHafizPjack #tiktokmalaysia",https://www.tiktok.com/@ashmanzain/video/7466753563851590929,neutral,2026-05-19T13:41:39.939319,185,9,12,6851,0.0,274,245.851
tiktok,post,7041800972305173787,#maralinertemandestinasianda #basekspresmalaysia #fypシ,https://www.tiktok.com/@aneq8522/video/7041800972305173787,neutral,2026-05-19T13:41:42.690029,130,7,23,1562,0.0,175,214.562
tiktok,post,7491237112914693377,"🚌 MARALINER (VEL 2590)

🛠️ RTG Intech, MAN 19.350

#SahabatAshman #fandomfest #pemburubas #pemburubasexpress #gengbasexpressmalaysia #basexpressmalaysia #gengexpress #peminatbasexpress #fypジ #abgbas #creatorsearchinsights #viralvideo #busspotting #malaysianbusandtruckenthusiasts #malaysianbusandtruckspotters #malaysianbuses #malaysiabusspotting #malaysiabusspotter #SahabatHafizPjack #tiktokmalaysia 
#LIVEhighlights #TikTokLIVE #LIVE #goliveyourramadan #ramadankareem #puasa #liveyourramadan",https://www.tiktok.com/@ashmanzain/video/7491237112914693377,neutral,2026-05-19T13:41:39.621186,133,5,2,7913,0.0,219,156.913
tiktok,comment,7595529087377231125_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:39.620814,2,0,0,0,0.0,2,
tiktok,comment,7595529087377231125_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:39.620865,1,0,0,0,0.0,1,
tiktok,comment,7491237112914693377_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:39.939014,2,0,0,0,0.0,2,
tiktok,comment,7491237112914693377_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:39.939054,1,0,0,0,0.0,1,
tiktok,comment,7466753563851590929_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:40.232935,2,0,0,0,0.0,2,
tiktok,comment,7466753563851590929_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:40.232983,1,0,0,0,0.0,1,
tiktok,comment,7625491649241599239_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:40.515437,2,0,0,0,0.0,2,
tiktok,comment,7625491649241599239_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:40.515483,1,0,0,0,0.0,1,
tiktok,comment,7477763803082427656_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:40.802964,2,0,0,0,0.0,2,
tiktok,comment,7477763803082427656_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:40.803001,1,0,0,0,0.0,1,
tiktok,comment,7433085109017906448_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:41.106244,2,0,0,0,0.0,2,
tiktok,comment,7433085109017906448_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:41.106292,1,0,0,0,0.0,1,
tiktok,comment,7637131352554343700_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:41.383323,2,0,0,0,0.0,2,
tiktok,comment,7637131352554343700_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:41.383372,1,0,0,0,0.0,1,
tiktok,comment,7603567504383954196_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:41.766039,2,0,0,0,0.0,2,
tiktok,comment,7603567504383954196_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:41.766090,1,0,0,0,0.0,1,
tiktok,comment,7431753847384591633_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:42.045177,2,0,0,0,0.0,2,
tiktok,comment,7431753847384591633_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:42.045224,1,0,0,0,0.0,1,
tiktok,comment,7616204584138165512_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:42.319757,2,0,0,0,0.0,2,
tiktok,comment,7616204584138165512_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:42.319805,1,0,0,0,0.0,1,
tiktok,comment,7616283992689609991_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:42.689687,2,0,0,0,0.0,2,
tiktok,comment,7616283992689609991_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:42.689735,1,0,0,0,0.0,1,
tiktok,comment,7041800972305173787_comment_0,assalamualaikum. abang. saya nak tanya. bas ni ada pergi ke Muar ke,,neutral,2026-05-19T13:41:43.004178,2,0,0,0,0.0,2,
tiktok,comment,7041800972305173787_comment_1,Salam 🥰🥰🥰,,neutral,2026-05-19T13:41:43.004223,1,0,0,0,0.0,1,
