Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
tiktok,post,7392930288730426629,bersatu pas istirahat & sholat,https://www.tiktok.com/@mimawmo/video/7392930288730426629,,,neutral,2026-06-10T18:56:30.537630,62700,2104,109,536200,0.0,70275,67771.2
tiktok,post,7649052502503001364,"Pas putus hubungan politik dengan Bersatu serta-merta

KUALA LUMPUR - Pas mengejutkan landskap politik tanah air apabila membuat ketetapan mengejut untuk menghentikan serta-merta kerjasama politik dengan rakan sekutunya dalam Perikatan Nasional (PN), Parti Pribumi Bersatu Malaysia (Bersatu).

Keputusan drastik itu dicapai dalam Mesyuarat Khas Jawatankuasa Kerja Pas Pusat yang diadakan hari ini bagi membincangkan hala tuju parti mendepani fasa politik baharu.

Presiden Pas, Tan Sri Abdul Hadi Awang berkata, ketetapan memutus hubungan itu dibuat selepas parti meneliti kedudukan dan hala tuju kerjasama politik Pas-Bersatu berdasarkan laporan, kajian serta penilaian semasa secara menyeluruh.

#JapanRLSyndicate #SelvedgeDenim #LevisSelvedge #Levis501 #VintageDenim",https://www.tiktok.com/@jpsyndicate/video/7649052502503001364,,,neutral,2026-06-10T18:56:31.812518,15800,714,895,311600,0.0,20525,20224.6
tiktok,post,7649062321423142152,"TERKINI: Pas 'Cerai' Dengan Bersatu! Pengerusi PN Kunci Mulut
.
.
.
Video : Aqira Azemi

#malaysiagazette 
#bersatu
#pas",https://www.tiktok.com/@malaysiagazette/video/7649062321423142152,,,neutral,2026-06-10T18:56:22.583440,10400,1057,902,273700,0.0,15096,15493.7
tiktok,post,7649274050694466824,"PAS-Bersatu bukan kerana emosi dan kerusi tapi kerana...

#pemudapas #terusmemimpin  #fyp",https://www.tiktok.com/@pemudapasmalaysia/video/7649274050694466824,,,neutral,2026-06-10T18:56:21.662585,8445,613,258,56200,0.0,9878,10501.2
tiktok,post,7649188804829629716,"9 JUN 26: MESYUARAT Khas Jawatankuasa Kerja Pas Pusat menetapkan parti itu menghentikan kerjasama politik dengan Bersatu.

Presiden Pas, Tan Sri Abdul Hadi Awang berkata, mesyuarat yang diadakan pada hari ini juga memperakukan keputusan Mesyuarat Majlis Syura Ulamak pada 2 Jun lalu berhubung pertimbangan dasar, hukum dan maslahah kerjasama politik PAS, atas prinsip penyatuan ummah.

Klik kotak hijau untuk berita lanjut.📸

#trendingnewsmalaysia #beritaditiktok #pas #hentikan #kerjasama",https://www.tiktok.com/@utusantvofficial/video/7649188804829629716,,,neutral,2026-06-10T18:56:29.018455,6994,305,419,138700,0.0,9105,8999.7
tiktok,post,7649188810915351828,#shouldbeme #tiktokmalaysia #politikmalaysia #fypシ #videoviral,https://www.tiktok.com/@mat.charming/video/7649188810915351828,,,neutral,2026-06-10T18:56:23.197826,6291,411,531,152800,0.0,8761,8858.8
tiktok,post,7647060593391897874,"PAS vs Bersatu: Busy fighting each other. Your problems? Not their priority.

#malaysia #rakyat #why #omg #fight",https://www.tiktok.com/@polimeme_my/video/7647060593391897874,,,neutral,2026-06-10T18:56:31.492028,1141,3324,222,129000,0.0,5977,8584.0
tiktok,post,7500237231756414216,"PAS DAN BERSATU BEREBUT UMNO PERPADUAN MELAYU MULA RETAK

#PAS #BERSATU #UMNO #perpaduanmelayu",https://www.tiktok.com/@radarselangormy/video/7500237231756414216,,,neutral,2026-06-10T18:56:30.244066,2151,257,1759,106300,0.0,5230,8048.3
tiktok,post,7649263093658209544,"Pas Cerai Bersatu: Kami Sudah Jangka Ia Akan Berlaku - Zahid
.
.
.
#MalaysiaGazette #MGNews",https://www.tiktok.com/@malaysiagazette/video/7649263093658209544,,,neutral,2026-06-10T18:56:26.000422,4842,295,448,218000,0.0,7765,6994.0
tiktok,post,7649297310693788948,"""Penyokong PAS sila hadir dan memeriahkan komen"". kita tawan Putrajaya PRU 16. Kalau bukan sekarang bila lagi. Umat islam kena bersatu. Tidak kira agama atau bangsa kita ""Maju Bersama PAS""  Insyaallah Takbir Allahuakhbar 🤲

#partiislamsemalaysia #pas #melayubangkit🔥 #pru16 #malaysia",https://www.tiktok.com/@fadhilazreal/video/7649297310693788948,,,neutral,2026-06-10T18:56:25.700754,4405,246,383,25600,0.0,5290,6071.6
