Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7649404011795287309_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@cnbc/video/7649404011795287309,7649404011795287309,neutral,2026-06-20T19:54:01.591771,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7649404011795287309_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@cnbc/video/7649404011795287309,7649404011795287309,neutral,2026-06-20T19:54:01.591816,962,0,0,0,0.0,962,,,,
tiktok,comment,7625382811716881677_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@skyreaper.fasta/video/7625382811716881677,7625382811716881677,neutral,2026-06-20T19:54:01.870656,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7625382811716881677_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@skyreaper.fasta/video/7625382811716881677,7625382811716881677,neutral,2026-06-20T19:54:01.870704,962,0,0,0,0.0,962,,,,
tiktok,comment,7627262501972921614_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@user2760946083350/video/7627262501972921614,7627262501972921614,neutral,2026-06-20T19:54:02.166869,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7627262501972921614_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@user2760946083350/video/7627262501972921614,7627262501972921614,neutral,2026-06-20T19:54:02.166892,962,0,0,0,0.0,962,,,,
tiktok,comment,7605810094877445396_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@squuishyyyy/video/7605810094877445396,7605810094877445396,neutral,2026-06-20T19:54:02.448733,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7605810094877445396_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@squuishyyyy/video/7605810094877445396,7605810094877445396,neutral,2026-06-20T19:54:02.448755,962,0,0,0,0.0,962,,,,
tiktok,comment,7468880216732011822_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@bambambiggla/video/7468880216732011822,7468880216732011822,neutral,2026-06-20T19:54:02.722260,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7468880216732011822_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@bambambiggla/video/7468880216732011822,7468880216732011822,neutral,2026-06-20T19:54:02.722280,962,0,0,0,0.0,962,,,,
tiktok,comment,7648698663199444256_comment_0,المشكله اذا كانو باشين كلهم ورا بعض,https://www.tiktok.com/@darknessvids/video/7648698663199444256,7648698663199444256,neutral,2026-06-20T19:54:02.993937,1541,0,0,0,0.0,1541,,,,
tiktok,comment,7648698663199444256_comment_1,خذيت نفس وفكيته وانا باللوبي,https://www.tiktok.com/@darknessvids/video/7648698663199444256,7648698663199444256,neutral,2026-06-20T19:54:02.993978,962,0,0,0,0.0,962,,,,
tiktok,post,7648698663199444256,"He make the biggest mistake of his life... 😱🙏👀
CREDIT: Jasko
#horror #skinwalker #paranormal #skinwalkerforest #hauntedplaces",,,neutral,2026-06-20T11:54:02.722423+00:00,101000,18400,2001,3600000,0.0,157401,https://www.tiktok.com/@darknessvids/video/7648698663199444256,147403.0,,
tiktok,comment,7651139474395448095,Search:cracking a skinwalker💀,https://www.tiktok.com/@darknessvids/video/7648698663199444256,7648698663199444256,neutral,2026-06-14T06:50:08.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@darknessvids/video/7648698663199444256,,tueiebgsdc,0.0
tiktok,comment,7649967001271976717,[Sticker] Selling bibles for 1 like,https://www.tiktok.com/@darknessvids/video/7648698663199444256,7648698663199444256,neutral,2026-06-11T02:59:24.000Z,1607,0,11,0,0.0,1629,https://www.tiktok.com/@darknessvids/video/7648698663199444256,,thatonekidmason,0.0
tiktok,post,7649404011795287309,"D-Matrix says its chips can run inference workloads 10 times faster and using five times less energy than a standalone graphics processing unit from Nvidia.

Like Cerebras, D-Matrix is trying to prove it can carve out a niche in the AI chip market, which Nvidia has dominated.

CNBC's Katie Tarasov explains.

Find the full report at the #linkinbio or the link on screen. #CNBC #nvidia #ai",,,neutral,2026-06-20T11:54:01.314346+00:00,3696,516,123,105500,0.0,5390,https://www.tiktok.com/@cnbc/video/7649404011795287309,5202.5,,
tiktok,comment,7649627878469010184,What the stock ticker?,https://www.tiktok.com/@cnbc/video/7649404011795287309,7649404011795287309,neutral,2026-06-10T05:03:15.000Z,13,0,7,0,0.0,27,https://www.tiktok.com/@cnbc/video/7649404011795287309,,daddyedvin,0.0
