Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7650764373681523988_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@mohd5zalz/video/7650764373681523988,7650764373681523988,neutral,2026-06-24T21:56:16.249509,19,0,0,0,0.0,19,,,,
tiktok,comment,7650764373681523988_comment_1,[Sticker],https://www.tiktok.com/@mohd5zalz/video/7650764373681523988,7650764373681523988,neutral,2026-06-24T21:56:16.249534,4,0,0,0,0.0,4,,,,
tiktok,comment,7652649088818662674_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@umno_ns/video/7652649088818662674,7652649088818662674,neutral,2026-06-24T21:56:16.663887,19,0,0,0,0.0,19,,,,
tiktok,comment,7652649088818662674_comment_1,[Sticker],https://www.tiktok.com/@umno_ns/video/7652649088818662674,7652649088818662674,neutral,2026-06-24T21:56:16.663900,4,0,0,0,0.0,4,,,,
tiktok,comment,7654161093572562194_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@utusanmelayuplusofficial/video/7654161093572562194,7654161093572562194,neutral,2026-06-24T21:56:16.961672,19,0,0,0,0.0,19,,,,
tiktok,comment,7654161093572562194_comment_1,[Sticker],https://www.tiktok.com/@utusanmelayuplusofficial/video/7654161093572562194,7654161093572562194,neutral,2026-06-24T21:56:16.961692,4,0,0,0,0.0,4,,,,
tiktok,comment,7651888837853039879_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@malaysiagazettenews/video/7651888837853039879,7651888837853039879,neutral,2026-06-24T21:56:17.258670,19,0,0,0,0.0,19,,,,
tiktok,comment,7651888837853039879_comment_1,[Sticker],https://www.tiktok.com/@malaysiagazettenews/video/7651888837853039879,7651888837853039879,neutral,2026-06-24T21:56:17.258696,4,0,0,0,0.0,4,,,,
tiktok,comment,7651888745603534088_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@malaysiagazette/video/7651888745603534088,7651888745603534088,neutral,2026-06-24T21:56:17.572620,19,0,0,0,0.0,19,,,,
tiktok,comment,7651888745603534088_comment_1,[Sticker],https://www.tiktok.com/@malaysiagazette/video/7651888745603534088,7651888745603534088,neutral,2026-06-24T21:56:17.572645,4,0,0,0,0.0,4,,,,
tiktok,comment,7650635343699397908_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@waniegaban1/video/7650635343699397908,7650635343699397908,neutral,2026-06-24T21:56:17.863572,19,0,0,0,0.0,19,,,,
tiktok,comment,7650635343699397908_comment_1,[Sticker],https://www.tiktok.com/@waniegaban1/video/7650635343699397908,7650635343699397908,neutral,2026-06-24T21:56:17.863597,4,0,0,0,0.0,4,,,,
tiktok,comment,7650020045241732370_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@asampedasceritakita/video/7650020045241732370,7650020045241732370,neutral,2026-06-24T21:56:18.167899,19,0,0,0,0.0,19,,,,
tiktok,comment,7650020045241732370_comment_1,[Sticker],https://www.tiktok.com/@asampedasceritakita/video/7650020045241732370,7650020045241732370,neutral,2026-06-24T21:56:18.167924,4,0,0,0,0.0,4,,,,
tiktok,comment,7644494656885067028_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@kkkittafeem__/video/7644494656885067028,7644494656885067028,neutral,2026-06-24T21:56:18.459003,19,0,0,0,0.0,19,,,,
tiktok,comment,7644494656885067028_comment_1,[Sticker],https://www.tiktok.com/@kkkittafeem__/video/7644494656885067028,7644494656885067028,neutral,2026-06-24T21:56:18.459015,4,0,0,0,0.0,4,,,,
tiktok,comment,7651979986055810311_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@homestaykualaterengganuu/video/7651979986055810311,7651979986055810311,neutral,2026-06-24T21:56:18.750604,19,0,0,0,0.0,19,,,,
tiktok,comment,7651979986055810311_comment_1,[Sticker],https://www.tiktok.com/@homestaykualaterengganuu/video/7651979986055810311,7651979986055810311,neutral,2026-06-24T21:56:18.750656,4,0,0,0,0.0,4,,,,
tiktok,comment,7646716937120075016_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@akhbar.malaysia1/video/7646716937120075016,7646716937120075016,neutral,2026-06-24T21:56:19.045449,19,0,0,0,0.0,19,,,,
tiktok,comment,7646716937120075016_comment_1,[Sticker],https://www.tiktok.com/@akhbar.malaysia1/video/7646716937120075016,7646716937120075016,neutral,2026-06-24T21:56:19.045476,4,0,0,0,0.0,4,,,,
tiktok,comment,7432173114324307207_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@hn_pr04/video/7432173114324307207,7432173114324307207,neutral,2026-06-24T21:56:19.352723,19,0,0,0,0.0,19,,,,
tiktok,comment,7432173114324307207_comment_1,[Sticker],https://www.tiktok.com/@hn_pr04/video/7432173114324307207,7432173114324307207,neutral,2026-06-24T21:56:19.352742,4,0,0,0,0.0,4,,,,
tiktok,comment,7273514682504301856_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@milliedoesntex1st/video/7273514682504301856,7273514682504301856,neutral,2026-06-24T21:56:19.657101,19,0,0,0,0.0,19,,,,
tiktok,comment,7273514682504301856_comment_1,[Sticker],https://www.tiktok.com/@milliedoesntex1st/video/7273514682504301856,7273514682504301856,neutral,2026-06-24T21:56:19.657127,4,0,0,0,0.0,4,,,,
tiktok,comment,7652248219480689941_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@prjw8k9/video/7652248219480689941,7652248219480689941,neutral,2026-06-24T21:56:19.957929,19,0,0,0,0.0,19,,,,
tiktok,comment,7652248219480689941_comment_1,[Sticker],https://www.tiktok.com/@prjw8k9/video/7652248219480689941,7652248219480689941,neutral,2026-06-24T21:56:19.957967,4,0,0,0,0.0,4,,,,
tiktok,comment,7621691571938888973_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@parismwendwa/video/7621691571938888973,7621691571938888973,neutral,2026-06-24T21:56:20.351379,19,0,0,0,0.0,19,,,,
tiktok,comment,7621691571938888973_comment_1,[Sticker],https://www.tiktok.com/@parismwendwa/video/7621691571938888973,7621691571938888973,neutral,2026-06-24T21:56:20.351405,4,0,0,0,0.0,4,,,,
tiktok,comment,7526553076753239351_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@naycreates/video/7526553076753239351,7526553076753239351,neutral,2026-06-24T21:56:20.646431,19,0,0,0,0.0,19,,,,
tiktok,comment,7526553076753239351_comment_1,[Sticker],https://www.tiktok.com/@naycreates/video/7526553076753239351,7526553076753239351,neutral,2026-06-24T21:56:20.646450,4,0,0,0,0.0,4,,,,
tiktok,comment,7647367871760272670_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@gai.do3/video/7647367871760272670,7647367871760272670,neutral,2026-06-24T21:56:20.946763,19,0,0,0,0.0,19,,,,
tiktok,comment,7647367871760272670_comment_1,[Sticker],https://www.tiktok.com/@gai.do3/video/7647367871760272670,7647367871760272670,neutral,2026-06-24T21:56:20.946782,4,0,0,0,0.0,4,,,,
tiktok,comment,7639928552137215252_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@no_i4/video/7639928552137215252,7639928552137215252,neutral,2026-06-24T21:56:21.243670,19,0,0,0,0.0,19,,,,
tiktok,comment,7639928552137215252_comment_1,[Sticker],https://www.tiktok.com/@no_i4/video/7639928552137215252,7639928552137215252,neutral,2026-06-24T21:56:21.243692,4,0,0,0,0.0,4,,,,
tiktok,comment,7645231314752310535_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@sussyhanni/video/7645231314752310535,7645231314752310535,neutral,2026-06-24T21:56:21.537945,19,0,0,0,0.0,19,,,,
tiktok,comment,7645231314752310535_comment_1,[Sticker],https://www.tiktok.com/@sussyhanni/video/7645231314752310535,7645231314752310535,neutral,2026-06-24T21:56:21.537964,4,0,0,0,0.0,4,,,,
tiktok,comment,7607229481266203934_comment_0,saya sekeluarga undi PH pmx terbaik 👍👍👍👍,https://www.tiktok.com/@alfonsogutierrez777/video/7607229481266203934,7607229481266203934,neutral,2026-06-24T21:56:21.835890,19,0,0,0,0.0,19,,,,
