Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7651920052286934292_comment_0,47,https://www.tiktok.com/@hmetromy/video/7651920052286934292,7651920052286934292,neutral,2026-06-23T00:00:01.074160,3,0,0,0,0.0,3,,,,
tiktok,comment,7651920052286934292_comment_1,tanding 36 ..kalah 30.,https://www.tiktok.com/@hmetromy/video/7651920052286934292,7651920052286934292,neutral,2026-06-23T00:00:01.074211,1,0,0,0,0.0,1,,,,
tiktok,comment,7653054531626061076_comment_0,47,https://www.tiktok.com/@dun.juasseh/video/7653054531626061076,7653054531626061076,neutral,2026-06-23T00:00:01.375681,3,0,0,0,0.0,3,,,,
tiktok,comment,7653054531626061076_comment_1,tanding 36 ..kalah 30.,https://www.tiktok.com/@dun.juasseh/video/7653054531626061076,7653054531626061076,neutral,2026-06-23T00:00:01.375738,1,0,0,0,0.0,1,,,,
tiktok,comment,7654161093572562194_comment_0,47,https://www.tiktok.com/@utusanmelayuplusofficial/video/7654161093572562194,7654161093572562194,neutral,2026-06-23T00:00:01.681271,3,0,0,0,0.0,3,,,,
tiktok,comment,7654161093572562194_comment_1,tanding 36 ..kalah 30.,https://www.tiktok.com/@utusanmelayuplusofficial/video/7654161093572562194,7654161093572562194,neutral,2026-06-23T00:00:01.681308,1,0,0,0,0.0,1,,,,
tiktok,comment,7654142710558805269_comment_0,47,https://www.tiktok.com/@bharianmy/video/7654142710558805269,7654142710558805269,neutral,2026-06-23T00:00:01.978676,3,0,0,0,0.0,3,,,,
tiktok,comment,7654142710558805269_comment_1,tanding 36 ..kalah 30.,https://www.tiktok.com/@bharianmy/video/7654142710558805269,7654142710558805269,neutral,2026-06-23T00:00:01.978729,1,0,0,0,0.0,1,,,,
tiktok,comment,7652292485200350482_comment_0,47,https://www.tiktok.com/@utusanonline/video/7652292485200350482,7652292485200350482,neutral,2026-06-23T00:00:02.286919,3,0,0,0,0.0,3,,,,
tiktok,comment,7652292485200350482_comment_1,tanding 36 ..kalah 30.,https://www.tiktok.com/@utusanonline/video/7652292485200350482,7652292485200350482,neutral,2026-06-23T00:00:02.286955,1,0,0,0,0.0,1,,,,
