Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7649662897932586248_comment_0,wow menariknyaa,https://www.tiktok.com/@501awani/video/7649662897932586248,7649662897932586248,neutral,2026-07-08T12:47:55.078208+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7649662897932586248_comment_1,nakkk joinnnn,https://www.tiktok.com/@501awani/video/7649662897932586248,7649662897932586248,neutral,2026-07-08T12:47:55.078266+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7387963121882729736_comment_0,wow menariknyaa,https://www.tiktok.com/@akuniccm/video/7387963121882729736,7387963121882729736,neutral,2026-07-08T12:47:55.354716+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7387963121882729736_comment_1,nakkk joinnnn,https://www.tiktok.com/@akuniccm/video/7387963121882729736,7387963121882729736,neutral,2026-07-08T12:47:55.354742+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7459679358010084630_comment_0,wow menariknyaa,https://www.tiktok.com/@rogerflag/video/7459679358010084630,7459679358010084630,neutral,2026-07-08T12:47:55.628846+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7459679358010084630_comment_1,nakkk joinnnn,https://www.tiktok.com/@rogerflag/video/7459679358010084630,7459679358010084630,neutral,2026-07-08T12:47:55.628912+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7642957923626257682_comment_0,wow menariknyaa,https://www.tiktok.com/@keng5394/video/7642957923626257682,7642957923626257682,neutral,2026-07-08T12:47:55.899915+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7642957923626257682_comment_1,nakkk joinnnn,https://www.tiktok.com/@keng5394/video/7642957923626257682,7642957923626257682,neutral,2026-07-08T12:47:55.899954+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7651605872468036871_comment_0,wow menariknyaa,https://www.tiktok.com/@501awani/video/7651605872468036871,7651605872468036871,neutral,2026-07-08T12:47:56.173480+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7651605872468036871_comment_1,nakkk joinnnn,https://www.tiktok.com/@501awani/video/7651605872468036871,7651605872468036871,neutral,2026-07-08T12:47:56.173505+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7587276260770958612_comment_0,wow menariknyaa,https://www.tiktok.com/@mankeem11/video/7587276260770958612,7587276260770958612,neutral,2026-07-08T12:47:56.450350+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7587276260770958612_comment_1,nakkk joinnnn,https://www.tiktok.com/@mankeem11/video/7587276260770958612,7587276260770958612,neutral,2026-07-08T12:47:56.450396+00:00,4,0,0,0,0.0,4,,,,
tiktok,comment,7158298970719128858_comment_0,wow menariknyaa,https://www.tiktok.com/@wawajer__/video/7158298970719128858,7158298970719128858,neutral,2026-07-08T12:47:56.719322+00:00,4,0,0,0,0.0,4,,,,
