Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7653405675766238484_comment_1,Nooohhhhh,https://www.tiktok.com/@jd__erry92/video/7653405675766238484,7653405675766238484,neutral,2026-06-20T18:55:14.300871,0,0,0,0,0.0,0,,,,
tiktok,comment,7652965191772081428_comment_1,Nooohhhhh,https://www.tiktok.com/@hamdan.basiran.t6/video/7652965191772081428,7652965191772081428,neutral,2026-06-20T18:55:14.687322,0,0,0,0,0.0,0,,,,
tiktok,comment,7653303795388091666_comment_1,Nooohhhhh,https://www.tiktok.com/@501awani/video/7653303795388091666,7653303795388091666,neutral,2026-06-20T18:55:15.000074,0,0,0,0,0.0,0,,,,
tiktok,comment,7653006773686684946_comment_1,Nooohhhhh,https://www.tiktok.com/@belahantampok/video/7653006773686684946,7653006773686684946,neutral,2026-06-20T18:55:15.299612,0,0,0,0,0.0,0,,,,
tiktok,comment,7653331568286518549_comment_1,Nooohhhhh,https://www.tiktok.com/@sinarharianonline/video/7653331568286518549,7653331568286518549,neutral,2026-06-20T18:55:15.570301,0,0,0,0,0.0,0,,,,
tiktok,comment,7644053564293238034_comment_1,Nooohhhhh,https://www.tiktok.com/@maszlee/video/7644053564293238034,7644053564293238034,neutral,2026-06-20T18:55:15.840264,0,0,0,0,0.0,0,,,,
tiktok,post,7644053564293238034,#CapCut #johorbahru #johor @KEADILAN @Anwar Ibrahim @fyp tiktok,,,neutral,2026-06-20T10:55:15.570534+00:00,2550,157,275,45400,0.0,3436,https://www.tiktok.com/@maszlee/video/7644053564293238034,3734.4,,
tiktok,comment,7644059955163644679,sokong yb menjadi mb johor .insyaalh,https://www.tiktok.com/@maszlee/video/7644053564293238034,7644053564293238034,neutral,2026-05-26T04:56:54.000Z,118,0,2,0,0.0,122,https://www.tiktok.com/@maszlee/video/7644053564293238034,,norbaiti.saron,0.0
tiktok,comment,7644392278002598677,"Saya sokong Dr Mazlee, ramai kalangan guru2 suka Dr Mazlee jdi Menteri Pendidikan.",https://www.tiktok.com/@maszlee/video/7644053564293238034,7644053564293238034,neutral,2026-05-27T02:26:36.000Z,98,0,4,0,0.0,106,https://www.tiktok.com/@maszlee/video/7644053564293238034,,wan6054,0.0
tiktok,post,7653331568286518549,"PRN Johor: DAP pertaruh calon Melayu di Ulu Tiram

DAP mempertaruhkan calon Melayu, Nor Zulaila Abd Ghani, 38, bagi kerusi Dewan Undangan Negeri (DUN) Ulu Tiram pada Pilihan Raya Negeri (PRN) Johor, lapor wartawan Sinar Harian, Nor Azura Md Amin.

Pengumuman calon yang mesra dipanggil Lily itu dibuat Setiausaha Agung DAP, Anthony Loke, dalam satu majlis di Plentong pada Sabtu.

Muzik: Elevate dari www.bensound.com

Copyright disclaimer: Segala penyuntingan video adalah hak cipta terpelihara milik Sinar Harian.

#SinarHarian #BeritaSemasa #Politik #Calon #DAP #PRNJohor",,,neutral,2026-06-20T10:55:15.299932+00:00,562,135,136,32900,0.0,1162,https://www.tiktok.com/@sinarharianonline/video/7653331568286518549,1272.9,,
tiktok,post,7653303795388091666,"Parti Amanah Negara (Amanah) akan menampilkan 13 muka baharu daripada 19 calon dalam PRN Johor, dengan sebahagian besar terdiri daripada golongan muda dan anak tempatan. Presiden Amanah, Datuk Seri Mohamad Sabu menegaskan keperluan semua komponen Pakatan Harapan untuk bersatu dan menyokong calon yang diumumkan bagi memastikan kemenangan di semua kerusi DUN. #PilihanRayaJohor #PilihanRayaNegeri #PilihanRayaNegeriJohor #PRN #PRNJohor #JohorMemilih",,,neutral,2026-06-20T10:55:14.687576+00:00,447,23,32,41000,0.0,912,https://www.tiktok.com/@501awani/video/7653303795388091666,630.0,,
tiktok,comment,7653304358785303303,first,https://www.tiktok.com/@501awani/video/7653303795388091666,7653303795388091666,neutral,2026-06-20T02:50:03.000Z,3,0,0,0,0.0,3,https://www.tiktok.com/@501awani/video/7653303795388091666,,yoilike_milloow,0.0
tiktok,comment,7653305191005487880,[Sticker] ,https://www.tiktok.com/@501awani/video/7653303795388091666,7653303795388091666,neutral,2026-06-20T02:53:07.000Z,3,0,0,0,0.0,3,https://www.tiktok.com/@501awani/video/7653303795388091666,,azzlydeq,0.0
tiktok,post,7653006773686684946,"INFAQ JUMAAT KERAJAAN NEGERI JOHOR.

Terima kasih kepada semua yang menyumbang Turut hadir Sdr Yazid Bakri Bakal calon ADUN Rengit.

#FYP #infaqjumaat #kampung #darulsakinah #FYP",,,neutral,2026-06-20T10:55:15.000378+00:00,36,11,2,622,0.0,55,https://www.tiktok.com/@belahantampok/video/7653006773686684946,64.622,,
tiktok,comment,7653343125927314193,Alhamdulillah....semoga dimurahknn rezeki Dan buah durianya akan berbuah lebat dimasa akan datang....pd tukang masak jangan marah2....nnt hilang pahala memasaknya,https://www.tiktok.com/@belahantampok/video/7653006773686684946,7653006773686684946,neutral,2026-06-20T05:21:17.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@belahantampok/video/7653006773686684946,,hasanah.hussin,0.0
tiktok,comment,7653008768552485633,😁😁😁,https://www.tiktok.com/@belahantampok/video/7653006773686684946,7653006773686684946,neutral,2026-06-19T07:42:51.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@belahantampok/video/7653006773686684946,,juu137_,0.0
