Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7652961641197276436_comment_0,Johor hadir👍👍,https://www.tiktok.com/@mykampus_radio/video/7652961641197276436,7652961641197276436,neutral,2026-06-20T22:42:48.196102,0,0,0,0,0.0,0,,,,
tiktok,comment,7652961641197276436_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@mykampus_radio/video/7652961641197276436,7652961641197276436,neutral,2026-06-20T22:42:48.196116,0,0,0,0,0.0,0,,,,
tiktok,comment,7652721163239623957_comment_0,Johor hadir👍👍,https://www.tiktok.com/@josauiam/video/7652721163239623957,7652721163239623957,neutral,2026-06-20T22:42:48.471824,0,0,0,0,0.0,0,,,,
tiktok,comment,7652721163239623957_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@josauiam/video/7652721163239623957,7652721163239623957,neutral,2026-06-20T22:42:48.471876,0,0,0,0,0.0,0,,,,
tiktok,comment,7652700840523746568_comment_0,Johor hadir👍👍,https://www.tiktok.com/@maju_usim/video/7652700840523746568,7652700840523746568,neutral,2026-06-20T22:42:48.779816,0,0,0,0,0.0,0,,,,
tiktok,comment,7652700840523746568_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@maju_usim/video/7652700840523746568,7652700840523746568,neutral,2026-06-20T22:42:48.779868,0,0,0,0,0.0,0,,,,
tiktok,comment,7652956781697568020_comment_0,Johor hadir👍👍,https://www.tiktok.com/@bernamatvofficial/video/7652956781697568020,7652956781697568020,neutral,2026-06-20T22:42:49.076596,0,0,0,0,0.0,0,,,,
tiktok,comment,7652956781697568020_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@bernamatvofficial/video/7652956781697568020,7652956781697568020,neutral,2026-06-20T22:42:49.076650,0,0,0,0,0.0,0,,,,
tiktok,comment,7652347283228478741_comment_0,Johor hadir👍👍,https://www.tiktok.com/@kenalijohorjom/video/7652347283228478741,7652347283228478741,neutral,2026-06-20T22:42:49.380574,0,0,0,0,0.0,0,,,,
tiktok,comment,7652347283228478741_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@kenalijohorjom/video/7652347283228478741,7652347283228478741,neutral,2026-06-20T22:42:49.380628,0,0,0,0,0.0,0,,,,
tiktok,comment,7652261726213246215_comment_0,Johor hadir👍👍,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,7652261726213246215,neutral,2026-06-20T22:42:49.647350,0,0,0,0,0.0,0,,,,
tiktok,comment,7652261726213246215_comment_1,🥰🥰🥰🥰🥰 TERBAIK JOHOR PH MANTAP 🥰🥰🥰🥰,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,7652261726213246215,neutral,2026-06-20T22:42:49.647397,0,0,0,0,0.0,0,,,,
tiktok,post,7652700840523746568,"📢 MAHASISWA JOHOR BALIK MENGUNDI 📢

Assalamualaikum, salam sejahtera dan Salam Maju Johor 🔴🔵.

Kepada seluruh mahasiswa anak Johor, marilah kita bersama-sama pulang menunaikan tanggungjawab sebagai pengundi. Suara anda menentukan masa depan negeri dan negara.

🗳️ Satu undi, satu amanah! 
🏠 Jom balik mengundi!
💪 Mahasiswa pemangkin perubahan! 

Jangan biarkan orang lain menentukan masa depan bagi pihak kita. Rancang perjalanan lebih awal dan tunaikan tanggungjawab sebagai warganegara yang prihatin. Mahasiswa mempunyai hak dan tanggungjawab untuk mengundi.  

📲 Pautan Tinjauan Mengundi Mahasiswa Anak Johor
🔗 https://forms.gle/gTyxPPjxxcKzkqxQ8 

#MehBalikMengundi
#MahasiswaJohor
#MajuUsim
#MajuJohor
@aznantamin @YPJ @GAJ_01 @Onn Hafiz 

PERSATUAN MAHASISWA ANAK JOHOR
UNIVERSITI SAINS ISLAM MALAYSIA
SESI AKADEMIK 2025/2026",,,neutral,2026-06-20T14:42:48.472388+00:00,61,67,27,689,0.0,161,https://www.tiktok.com/@maju_usim/video/7652700840523746568,276.689,,
tiktok,comment,7652709477171036935,hm nak bas free😔,https://www.tiktok.com/@maju_usim/video/7652700840523746568,7652700840523746568,neutral,2026-06-18T12:21:21.000Z,1,0,1,0,0.0,3,https://www.tiktok.com/@maju_usim/video/7652700840523746568,,computerok87,0.0
tiktok,comment,7652703584673497874,Tak sabar nk nengundi 🥰,https://www.tiktok.com/@maju_usim/video/7652700840523746568,7652700840523746568,neutral,2026-06-18T11:58:35.000Z,3,0,1,0,0.0,5,https://www.tiktok.com/@maju_usim/video/7652700840523746568,,yourbillyyy,0.0
tiktok,post,7652721163239623957,"📢 PRU Johor Ke-16: Jom Balik Mengundi! 🗳️

Pilihan Raya Umum (PRU) Dewan Negeri Johor Ke-16 semakin hampir!

📅 : 11 Julai 2026 (Sabtu)

Suara anda menentukan masa depan Johor. Setiap undi membawa perubahan dan memainkan peranan penting dalam membentuk kepimpinan negeri untuk tahun-tahun akan datang.

✨ Jangan lepaskan peluang untuk menunaikan tanggungjawab sebagai rakyat yang prihatin.

✅ Semak pusat mengundi anda
✅ Rancang perjalanan pulang lebih awal
✅ Ajak keluarga dan rakan-rakan turut mengundi

Jom balik mengundi pada 11 Julai 2026!
Satu undi, satu suara, satu masa depan. 🔴🔵

@Onn Hafiz @aznantamin @GAJ_01 

Johor Students’ Association 
Universiti Islam Antarabangsa Malaysia 

#PRUJohor16 #JomBalikMengundi #MajuJohor #PRU2026 #JosaUiam",,,neutral,2026-06-20T14:42:48.196237+00:00,53,9,0,1455,0.0,76,https://www.tiktok.com/@josauiam/video/7652721163239623957,72.455,,
tiktok,post,7652261726213246215,"JOHOR MENENTUKAN MASA DEPAN! 🗳️

Rakyat Johor mempunyai kuasa untuk menentukan hala tuju negeri yang kita cintai. Setiap undi adalah suara, setiap pilihan adalah harapan.

Marilah kita bersama-sama melangkah ke hadapan demi Johor yang lebih maju, bersih dan sejahtera.

🔥 11 JULAI 2026
Jangan lupa keluar mengundi.

UNDI HARAPAN UNTUK JOHOR
💙❤️ Demi rakyat. Demi masa depan. Demi Johor.

#PRNJohor2026 #UndiHarapan #JohorMaju #HarapanUntukJohor",,,neutral,2026-06-20T14:42:49.381146+00:00,45,2,4,1246,0.0,63,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,62.246,,
tiktok,comment,7652269452659507988,terbaik jalan teruih 👍👍👍,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,7652261726213246215,neutral,2026-06-17T07:54:15.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,,shamsulishak7312,0.0
tiktok,comment,7652274240326959893,🥰🥰🥰 PH,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,7652261726213246215,neutral,2026-06-17T08:12:40.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@ramsaiji/video/7652261726213246215,,ina40036,0.0
tiktok,post,7652347283228478741,"TARIKH PILIHANRAYA NEGERI JOHOR TELAH DIUMUMKAN, JANGAN LUPA UNTUK KELUAR MENGUNDI ❌

Tarikh-tarikh Penting!!

📅Penamaan Calon     : 27/06/26
📅Mengundi Awal        : 07/07/26
📅Tarikh Pengundian  : 11/07/26

SELAMAT MENGUNDI WARGA JOHOR!!!
#viralvideo #tiktok #johor #viral #fyp",,,neutral,2026-06-20T14:42:49.077150+00:00,18,3,1,837,0.0,30,https://www.tiktok.com/@kenalijohorjom/video/7652347283228478741,27.837,,
tiktok,comment,7652540600600609554,Johor hadir👍👍,https://www.tiktok.com/@kenalijohorjom/video/7652347283228478741,7652347283228478741,neutral,2026-06-18T01:26:13.000Z,0,0,0,0,0.0,0,https://www.tiktok.com/@kenalijohorjom/video/7652347283228478741,,myheart7608,0.0
