Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
tiktok,post,7557733957530324242,"Setiap akhir adalah awal yang baru, dengan berat hati kami mengumumkan bahwa toko kami akan tutup permanen.
Terimakasih untuk setiap momen, setiap senyuman dan setiap dukungan yang telah kalian berikan.
Kami tidak akan melupakan kenangan indah yang tercipta bersama Rujak Pesona.
Sampai jumpa di lain waktu dan terimakasih sudah menjadi bagian dari perjalanan kami, salam hangat dari kami untuk semua kesayangan Rujak Pesona 🥹😇🙏🏻🙏🏻

#rujakbuahsegar #balikpapan #rujakbuah #hits #asinanbuah",https://www.tiktok.com/@pesonamoment/video/7557733957530324242,,,neutral,2026-06-09T09:10:10.160941,1955,545,229,171600,0.0,4445,3903.6
tiktok,post,7623219382121975060,"Saat nya tutup warung,recod malam post pagi gpp ya😆#adayinmylife #fyp#jualan #kedaikopi",https://www.tiktok.com/@restyy978/video/7623219382121975060,,,neutral,2026-06-09T09:10:12.360158,3207,44,41,160000,0.0,4892,3578.0
tiktok,post,7523960322118438150,"Alhamdulllah Toko Tutup🙏🙏
#masyaallahtabarakkallah #grosirsembako #bersyukur #pejuangrupiah_semangat #fyppppppppppppppppppppppp",https://www.tiktok.com/@dina.sri.mulyani/video/7523960322118438150,,,neutral,2026-06-09T09:10:11.615498,997,69,36,44300,0.0,1545,1287.3
tiktok,post,7524159442720427269,Toko @Umami Shop Tutup dulu ya😍🫶🏻 #jualankecilkecilan #usahasendiri #usahakecilkecilan #tokokecilku #fyppppppppppppppppppppppp,https://www.tiktok.com/@umami2309/video/7524159442720427269,,,neutral,2026-06-09T09:10:10.451653,381,9,6,16200,0.0,558,433.2
tiktok,post,7648574604507614485,"Replying to @blackx_hazdia merajuk 3 minggu🙏
#fyppppppppppppppppppppppp #4u #dog #rezeki_allah #4upage",https://www.tiktok.com/@anurullqamariahomar/video/7648574604507614485,,,neutral,2026-06-09T09:10:08.938122,260,7,31,2506,0.0,323,369.506
tiktok,post,7537579508778519814,Trimakasi atas 3 tahun ini 😭 dg berat hati… kami tutup Toko ini #tokotutup #berjuang #bisniskecilku #CapCut#terpaksatutuptoko,https://www.tiktok.com/@wongayukosmetik/video/7537579508778519814,,,neutral,2026-06-09T09:10:11.027942,211,30,14,18600,0.0,441,331.6
tiktok,post,7513349814516518200,"Setelah 2 Tahun akhirnya memutuskan untuk tutup.

#fyp #fypage #fypindonesia #usaha #usahakeluarga #toko #jagatoko #tokokelontong #",https://www.tiktok.com/@myteaati/video/7513349814516518200,,,neutral,2026-06-09T09:10:10.737405,141,29,14,17000,0.0,354,258.0
tiktok,post,7499012512969510150,"Setiap pertemuan pasti ada perpisahan, Dengan berat hati kami memberitahukan bahwa store kami resmi tutup permanen.

Kami sangat ber terimaksih atas dukungan dan kepercayaan kalian selama ini. Semoga kebahagiaan selalu menyertai kalian semua🫶🏼.

•Kami Namirahani Store pamit, izin undur diri🙏🏻

#namirahani_store #banjarbaru #kenangan #close #tutup #4u #selamattinggal #lastday",https://www.tiktok.com/@hatibeauty/video/7499012512969510150,,,neutral,2026-06-09T09:10:09.577083,89,37,11,11200,0.0,249,207.2
tiktok,post,7648621331923307797,Kedai dah kemas tapi orang nak lagi . Kita on je #pisanggorengburn #kongsibersama #foodie #coffee #pisanggoreng,https://www.tiktok.com/@pisanggorengburn2/video/7648621331923307797,,,neutral,2026-06-09T09:10:08.649682,128,14,3,7690,0.0,221,172.69
tiktok,comment,7648621331923307797_comment_0,Mohon do’a nya ya smua 🙏,,https://www.tiktok.com/@pisanggorengburn2/video/7648621331923307797,7648621331923307797,neutral,2026-06-09T09:10:08.937761,3,0,0,0,0.0,3,
