Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
tiktok,post,7235967344722464006,gimana para pejuang KPR? #kpr #properti #kredit #fyp #belirumah,https://www.tiktok.com/@felicia.tjiasaka/video/7235967344722464006,,,neutral,2026-06-09T00:10:27.573757,285300,33800,4499,5600000,0.0,379599,371997.0
tiktok,post,7122680553320516891,#malaysiatiktok sepi,https://www.tiktok.com/@papa_ragel/video/7122680553320516891,,,neutral,2026-06-09T00:10:36.011174,95000,6082,5623,5200000,0.0,158705,129233.0
tiktok,post,7630294998071676180,Modus PENIPUAN Terbaru ! Cara Mengenali Scam Call hening. Share Ke Orang Tersayang Kalian agar jangan menjadi Korban Scam ini #pikirduakali #moduspenipuan #ai #info #terbaru2026,https://www.tiktok.com/@kabar.62/video/7630294998071676180,,,neutral,2026-06-09T00:10:11.813066,31800,30200,597,1200000,0.0,74597,95191.0
tiktok,post,7643332002803928328,#taiwan#fyp#pekerjakeras#fyppppppppppppppppppppppp,https://www.tiktok.com/@lelesssss._/video/7643332002803928328,,,neutral,2026-06-09T00:10:19.522824,62100,2527,491,853700,0.0,73655,69480.7
tiktok,post,7587252040196295943,#🇲🇾 #uncleseong #kedaiwanglama #pembeliduitlama #tukarwanglama,https://www.tiktok.com/@uncleseongwanglam/video/7587252040196295943,,,neutral,2026-06-09T00:10:21.536481,30200,5969,3988,1500000,0.0,55157,55602.0
tiktok,post,7449451579851214123,Need to lock those rolling bases and full stacks? Coming soon! #packout #packoutsystem #milwukeetool #milwaukeepackout #milwaukeetools #packoutmods #superduty #f150 #fordtrucks #f350,https://www.tiktok.com/@integraltruck/video/7449451579851214123,,,neutral,2026-06-09T00:10:47.279900,35000,8083,415,1400000,0.0,57498,53811.0
tiktok,post,7643048726575025425,Udh sejauh ini masak gk bisa 2M sih😅😅,https://www.tiktok.com/@norraaa3v_/video/7643048726575025425,,,neutral,2026-06-09T00:10:29.154164,38900,1561,284,384100,0.0,44586,43258.1
tiktok,post,7615990646716878101,"Cinta Kuya, anak dari Uya Kuya, memilih jualan di Amerika Serikat sambil kuliah. 

Menariknya, daya beli masyarakat Amerika sangat kuat. Banyak orang di sana lebih melihat kualitas daripada harga.
Karena itu banyak yang mencoba berbisnis di sana. Kalau produknya bagus, pembeli tidak terlalu mempermasalahkan harga
#andryhakim #stockwise #cintakuya #uyakuya #jualandiamerika",https://www.tiktok.com/@investing_muda/video/7615990646716878101,,,neutral,2026-06-09T00:10:29.453588,22700,354,85,1700000,0.0,40139,25363.0
tiktok,post,7644756617900215560,"gimana menurut kalian? 

Menteri Keuangan Purbaya Yudhi Sadewa menilai pelemahan nilai tukar rupiah hingga mendekati level Rp17.800 per dolar AS sebagai kondisi yang tidak masuk akal. Menurutnya, fundamental ekonomi Indonesia saat ini masih berada dalam kondisi baik, sehingga pelemahan tajam rupiah dinilai tidak sejalan dengan kondisi ekonomi domestik.

Pernyataan itu disampaikan saat rupiah hampir menyentuh level Rp17.800 per dolar AS pada perdagangan Selasa (26/5). Purbaya menjelaskan bahwa biasanya mata uang melemah ketika terjadi gangguan pada fundamental ekonomi, sementara saat ini indikator ekonomi Indonesia justru dinilai cukup kuat dan stabil.

Saat ditanya soal kemungkinan pemerintah kembali melakukan stress test terhadap APBN akibat tekanan nilai tukar, Purbaya menegaskan hal tersebut belum diperlukan. Ia menyebut pemerintah sebelumnya sudah melakukan simulasi dengan asumsi harga minyak dunia mencapai US$100 per barel, termasuk menghitung dampak pelemahan rupiah, sehingga menurutnya kondisi saat ini masih dapat diantisipasi. #rupiah #melemah #creatorsearchinsights #uang #uangindonesia",https://www.tiktok.com/@dyan_shrza/video/7644756617900215560,,,neutral,2026-06-09T00:10:41.881969,20200,1282,556,470100,0.0,26739,24902.1
tiktok,post,7528677190855101701,"Kenapa banyak bisnis kuliner yang tutup?
Setiap hari kita lihat cafe dan warung baru bermunculan. Tapi... yang bertahan cuma segelintir.

Saya rangkum dari pengalaman belasan tahun di lapangan:
✅ Banyak saingan
✅ Biaya operasional tinggi
✅ Margin untung tipis
✅ Lokasi jadi dilema
✅ Tren cepat berubah

Kalau gak siap, bisnis kuliner bisa jadi bumerang.
Jangan cuma ikut-ikutan, tapi pahami permainannya.
Karena di dunia kuliner, bukan yang paling enak yang menang, tapi yang paling kuat dan adaptif.

—

Pernah buka usaha kuliner juga? Ceritakan pengalamanmu di kolom komentar 👇
#BisnisKuliner #UsahaMakanan #KakiLimaNaikKelas #RestoViral #CafeKekinian #KulinerIndonesia #BelajarBisnis #TipsUsaha #MentalPengusaha #FoodBusiness #WisdomBisnis #BisnisAnakMuda #MotivasiUsaha #FaktaBisnis #ResikoBisnis #BukaUsaha #KontenBisnis #tekyang #tekyang88 #tywisdom",https://www.tiktok.com/@tekyang88/video/7528677190855101701,,,neutral,2026-06-09T00:10:07.933445,8676,6810,534,583200,0.0,21852,24481.2
