Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
tiktok,post,7555835580425194808,Sedih tapi ini sementara ko🥹😭❤️next kita buka di mana ya? 🥺🥺,https://www.tiktok.com/@vinajayanti18/video/7555835580425194808,,,neutral,2026-06-09T09:34:49.255012,24300,212,483,999300,0.0,34988,27172.3
tiktok,post,7471175729292692754,"Mee Bandung Muar yg takde kt Bandung.. hehehe😂😂
Resepi Asli Arwah Mil.. siap bukak kedai dulu...malangnya trpaksa ditutup krn tiba2 baby dia meninggal.. sampai bumbung kedaipun dia tak blh tengok.. coz sedih sgt! 😭😭
Al-Fatehah buat Arwah😢
Tapi kt rmh dulu dia selalu buatkan.. kiranya menu yg sgt special la buat anak2 n menantu.... . 😍😍
Alhamdulillah! hubby ckp kak zai dpt buat sama spt ibunya.. 😋
Ada tak sapa2 yg nak resepi.. kak zai akn share  lps lbh 100 yg request tau.. 😉(tapi esokla ye.. .. Insya Allah) 😅
100% udang kering tau .. takde tambahan sos n lain2.. 😉
RESEPI MEE BANDUNG MUAR  🍜🍜🍜 
Wah! rupanya ramai yg nak resepi ye.. ok2.. kak zai share skrg.. hehe😉😄😄
tapikan just nak bgtau.. kak zai tak dpt fixed ingredients tau.. coz biasala resepi org dulu2.. main agk2je.. hehehe
nak manis boh lbh gula.. nak masin boh lbh garam.. 😅
ikut citarasa masing2 
Mee Bandung Muar 
1) PES -
- Cili Kering dlm 4-5 genggam blend ngan gula (agk byk tau)
- Blend Udang Kering (yg kak zai gunatu dlm    stgh kg gakla)
- Bwg putih (pun byk gakla.. kak zai guna 2 labu)ketukje 😉
Cara - Tumiskan bwg putih then masukkan cili kering tadi.. biar kejap.. pastu masukkan udang kering tadi.. tumis sampai hilang buih/masak ..
nak sedap n cantik merah dia.. renehkan dlm 2-3 jam gakla
*Nota kaki : Pes ni buatlah byk... simpan dlm fridge.. boleh tahan sampai brbulan Insya Allah.. boleh msk mee bandung berkali2.. puas sgt sbb rencah dia mewah kalau buat sendirikan.. hehehe 😍😍😍

2) STOK :
- Daging/Tulang
- Bwg putih n bwg merah - rincih 
- Garam (masanije boh garam tau)
Rebus sampai empuk 
(Ni versi kak zai tau.. guna tulang.. rasa lbh umph! ikut resepi asal.. guna dagingje.. potong kecik2) 
3) Cara sediakan : utk 1 - 2 pinggan
- Udang/Sotong - ikut suka.. 😅
- Bwg Putih 4 ulas - ketukje.. 
- Sawi segenggam/ ikut suka
- Telur 3 biji
- Mee
ok.. cara masak 
Tumis bwg putih pastu masuk udg/sotong
pastu masuk sawi,
pastu amik dlm 3 senduk pes tadi
pastu masukkan stok daging tadi n daging sekali dlm 2 cwn air lebih kurang.. biar mendidih
pastu masukkan mee n masukkan telur sebiji2.. jgn bagi pecah.. didihkan jap.. sampai telur masak.. 
Siap! 😋😋😋
Hidangkanla ye.. mkn segera coz takut mee kembang 😅
Maaf .. tak pernah type resepi.. 
ayat berterabur!.. 😂😂😂
 harap fahamla ye.... 😅😂😂",https://www.tiktok.com/@amisha.2024/video/7471175729292692754,,,neutral,2026-06-09T09:34:50.714113,2760,1618,252,110400,0.0,5734,6862.4
tiktok,post,7408819792976547078,Terima kasih ya yang selama ini jadi pelanggan setia Citul kokoh ☺️ kalau kalian mau beli Citul aku masih ada stok citul ya .Terima kasih,https://www.tiktok.com/@owner_kokoh/video/7408819792976547078,,,neutral,2026-06-09T09:34:50.097078,2139,67,346,193900,0.0,4491,3504.9
tiktok,post,7528428685439913224,"Omah ini terpaksa harus tutup kedai yg dulu dirintis susah2 dan ngulang lg dari 0 dengan resep soto kuning khas orang tuanya 🥹

#kulinergadingserpong #sotokuning #gadingserpong #alamsutera #bsd",https://www.tiktok.com/@sotokuning.serpong/video/7528428685439913224,,,neutral,2026-06-09T09:34:48.982975,889,219,17,31100,0.0,1436,1409.1
tiktok,post,7596496424968195336,Mohon maaf ya teman” 🥹🥹🥹😔 #fypシ゚ #fypage #fypdongggggggg #masukberanda #fypage,https://www.tiktok.com/@rahmadinah0/video/7596496424968195336,,,neutral,2026-06-09T09:34:51.249659,753,26,26,70700,0.0,1512,953.7
tiktok,post,7325028668772797701,"Masih nggak nyangka kalau kita harus tutup toko pertama kita, toko dimana kita mulai semuanya dari awal 🥹😢 

#coffeeshopjakarta #smallbusiness",https://www.tiktok.com/@snugcoffee.id/video/7325028668772797701,,,neutral,2026-06-09T09:34:50.979259,319,54,8,23000,0.0,611,474.0
tiktok,post,7599636109584272661,"Assalamualaikum buat semua pelanggan setia kesayangan Sue Nasi Lemak di Bagan Ajam, ya sayangs kami tutup dah di Bagan Ajam 😢 Sebab kami nak buka kedai baru yang lebih seleaa dengan bukan setakat nasi lemak tetapi..... besertakan menu tambahan yang baru hehehe 🫶 Nantikan menu baharu kami dan insyaAllah akan dibuka pada 31/1/2026 ni (Sabtu) #lepak #lepakmalam #penang",https://www.tiktok.com/@suenasilemakk/video/7599636109584272661,,,neutral,2026-06-09T09:34:48.407388,229,65,23,27100,0.0,588,455.1
tiktok,post,7537579508778519814,Trimakasi atas 3 tahun ini 😭 dg berat hati… kami tutup Toko ini #tokotutup #berjuang #bisniskecilku #CapCut#terpaksatutuptoko,https://www.tiktok.com/@wongayukosmetik/video/7537579508778519814,,,neutral,2026-06-09T09:34:48.135391,211,30,14,18600,0.0,441,331.6
tiktok,post,7568037739657039111,"In this economy, harus cari jalan lain biar usaha tetap bisa bertahan. Mungkin sementara dengan cara ini, stop kontrak kios dulu dan fokus di online. #tutuptoko #tokobajuanaksemarang #pimpimpoo #gunungpati #semarang",https://www.tiktok.com/@restydwiw/video/7568037739657039111,,,neutral,2026-06-09T09:34:49.524710,70,15,34,4651,0.0,165,206.651
tiktok,comment,7537579508778519814_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@wongayukosmetik/video/7537579508778519814,7537579508778519814,neutral,2026-06-09T09:34:48.406885,96,0,0,0,0.0,96,
tiktok,comment,7537579508778519814_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@wongayukosmetik/video/7537579508778519814,7537579508778519814,neutral,2026-06-09T09:34:48.406932,7,0,0,0,0.0,7,
tiktok,comment,7599636109584272661_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@suenasilemakk/video/7599636109584272661,7599636109584272661,neutral,2026-06-09T09:34:48.690639,96,0,0,0,0.0,96,
tiktok,comment,7599636109584272661_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@suenasilemakk/video/7599636109584272661,7599636109584272661,neutral,2026-06-09T09:34:48.690673,7,0,0,0,0.0,7,
tiktok,comment,7626715797271907592_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@mumu.store.pasbar/video/7626715797271907592,7626715797271907592,neutral,2026-06-09T09:34:48.982540,96,0,0,0,0.0,96,
tiktok,comment,7626715797271907592_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@mumu.store.pasbar/video/7626715797271907592,7626715797271907592,neutral,2026-06-09T09:34:48.982582,7,0,0,0,0.0,7,
tiktok,comment,7528428685439913224_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@sotokuning.serpong/video/7528428685439913224,7528428685439913224,neutral,2026-06-09T09:34:49.254513,96,0,0,0,0.0,96,
tiktok,comment,7528428685439913224_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@sotokuning.serpong/video/7528428685439913224,7528428685439913224,neutral,2026-06-09T09:34:49.254630,7,0,0,0,0.0,7,
tiktok,comment,7555835580425194808_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@vinajayanti18/video/7555835580425194808,7555835580425194808,neutral,2026-06-09T09:34:49.524348,96,0,0,0,0.0,96,
tiktok,comment,7555835580425194808_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@vinajayanti18/video/7555835580425194808,7555835580425194808,neutral,2026-06-09T09:34:49.524386,7,0,0,0,0.0,7,
tiktok,comment,7568037739657039111_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@restydwiw/video/7568037739657039111,7568037739657039111,neutral,2026-06-09T09:34:49.799593,96,0,0,0,0.0,96,
tiktok,comment,7568037739657039111_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@restydwiw/video/7568037739657039111,7568037739657039111,neutral,2026-06-09T09:34:49.799609,7,0,0,0,0.0,7,
tiktok,comment,7646801710622510344_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@seblakinn.id/video/7646801710622510344,7646801710622510344,neutral,2026-06-09T09:34:50.096156,96,0,0,0,0.0,96,
tiktok,comment,7646801710622510344_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@seblakinn.id/video/7646801710622510344,7646801710622510344,neutral,2026-06-09T09:34:50.096287,7,0,0,0,0.0,7,
tiktok,comment,7408819792976547078_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@owner_kokoh/video/7408819792976547078,7408819792976547078,neutral,2026-06-09T09:34:50.420006,96,0,0,0,0.0,96,
tiktok,comment,7408819792976547078_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@owner_kokoh/video/7408819792976547078,7408819792976547078,neutral,2026-06-09T09:34:50.420049,7,0,0,0,0.0,7,
tiktok,comment,7536604538900467000_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@yahmelaka.21/video/7536604538900467000,7536604538900467000,neutral,2026-06-09T09:34:50.713344,96,0,0,0,0.0,96,
tiktok,comment,7536604538900467000_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@yahmelaka.21/video/7536604538900467000,7536604538900467000,neutral,2026-06-09T09:34:50.713382,7,0,0,0,0.0,7,
tiktok,comment,7471175729292692754_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@amisha.2024/video/7471175729292692754,7471175729292692754,neutral,2026-06-09T09:34:50.979175,96,0,0,0,0.0,96,
tiktok,comment,7471175729292692754_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@amisha.2024/video/7471175729292692754,7471175729292692754,neutral,2026-06-09T09:34:50.979185,7,0,0,0,0.0,7,
tiktok,comment,7325028668772797701_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@snugcoffee.id/video/7325028668772797701,7325028668772797701,neutral,2026-06-09T09:34:51.249262,96,0,0,0,0.0,96,
tiktok,comment,7325028668772797701_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@snugcoffee.id/video/7325028668772797701,7325028668772797701,neutral,2026-06-09T09:34:51.249300,7,0,0,0,0.0,7,
tiktok,comment,7596496424968195336_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@rahmadinah0/video/7596496424968195336,7596496424968195336,neutral,2026-06-09T09:34:51.540224,96,0,0,0,0.0,96,
tiktok,comment,7596496424968195336_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@rahmadinah0/video/7596496424968195336,7596496424968195336,neutral,2026-06-09T09:34:51.540267,7,0,0,0,0.0,7,
tiktok,comment,7596610955920952596_comment_0,"dunia perdagangan lagi gak baik baik aja harus kuat mental, kuat modal..",,https://www.tiktok.com/@zaen.albi/video/7596610955920952596,7596610955920952596,neutral,2026-06-09T09:34:51.809764,96,0,0,0,0.0,96,
tiktok,comment,7596610955920952596_comment_1,jadikan sabar dan shalat sebagai penolongmu..,,https://www.tiktok.com/@zaen.albi/video/7596610955920952596,7596610955920952596,neutral,2026-06-09T09:34:51.809811,7,0,0,0,0.0,7,
