Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,engagement_score,author,author_followers
tiktok,comment,7615114871834676501_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@mynohomar/video/7615114871834676501,7615114871834676501,neutral,2026-06-21T18:07:37.848562+00:00,1,0,0,0,0.0,1,,,,
tiktok,comment,7615114871834676501_comment_1,😁😁😁,https://www.tiktok.com/@mynohomar/video/7615114871834676501,7615114871834676501,neutral,2026-06-21T18:07:37.848595+00:00,0,0,0,0,0.0,0,,,,
tiktok,comment,7653265678589283602_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@kubabalar5/video/7653265678589283602,7653265678589283602,neutral,2026-06-21T18:07:38.202098+00:00,1,0,0,0,0.0,1,,,,
tiktok,comment,7653265678589283602_comment_1,😁😁😁,https://www.tiktok.com/@kubabalar5/video/7653265678589283602,7653265678589283602,neutral,2026-06-21T18:07:38.202139+00:00,0,0,0,0,0.0,0,,,,
tiktok,comment,7653177864854064391_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@wannoorislamwanhashim/video/7653177864854064391,7653177864854064391,neutral,2026-06-21T18:07:38.518795+00:00,1,0,0,0,0.0,1,,,,
tiktok,comment,7653177864854064391_comment_1,😁😁😁,https://www.tiktok.com/@wannoorislamwanhashim/video/7653177864854064391,7653177864854064391,neutral,2026-06-21T18:07:38.518830+00:00,0,0,0,0,0.0,0,,,,
tiktok,comment,7651900350999498004_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@borakdulu_/video/7651900350999498004,7651900350999498004,neutral,2026-06-21T18:07:38.830395+00:00,1,0,0,0,0.0,1,,,,
tiktok,comment,7651900350999498004_comment_1,😁😁😁,https://www.tiktok.com/@borakdulu_/video/7651900350999498004,7651900350999498004,neutral,2026-06-21T18:07:38.830409+00:00,0,0,0,0,0.0,0,,,,
tiktok,comment,7641578138929007893_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@amdailyofficial/video/7641578138929007893,7641578138929007893,neutral,2026-06-21T18:07:39.178945+00:00,1,0,0,0,0.0,1,,,,
tiktok,comment,7641578138929007893_comment_1,😁😁😁,https://www.tiktok.com/@amdailyofficial/video/7641578138929007893,7641578138929007893,neutral,2026-06-21T18:07:39.178980+00:00,0,0,0,0,0.0,0,,,,
tiktok,comment,7615560946320444692_comment_0,ulang bgi kerap bgi semua rakyat faham ini apa,https://www.tiktok.com/@mynohomar/video/7615560946320444692,7615560946320444692,neutral,2026-06-21T18:07:39.492574+00:00,1,0,0,0,0.0,1,,,,
