Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
x,post,2020759067531300967,"Malaysia, through its temples #Malaysia https://t.co/dGkx1CdOYg",https://x.com/TravelWorldYaro/status/2020759067531300967,neutral,Mon Feb 09 07:18:00 +0000 2026,6,2,1,87,0.0,9
x,post,2019153260733673555,"Experience the convergence of traditional finance and blockchain. From ETF traction to institutional liquidity, discover why XRP remains the gold standard for settlement.

👉  RSVP NOW",https://x.com/Ripple/status/2019153260733673555,neutral,Wed Feb 04 20:57:06 +0000 2026,29,0,0,529358,0.0,5322
x,post,2017950190892933513,"Negara Masid - the main mosque in Malaysia 🇲🇾
#Islam #mosque #malaysia #traveling https://t.co/QrLiDGveCB",https://x.com/my_travel_pics/status/2017950190892933513,neutral,Sun Feb 01 13:16:31 +0000 2026,28,1,2,842,0.0,39
x,post,2020420054714843639,"#ISPR
Rawalpindi, 08 February, 2026

Admiral Naveed Ashraf, NI, NI (M), T Bt, Chief of the Naval Staff, #Pakistan Navy paid an official visit to #Malaysia and called on the leadership of the Royal Malaysian Navy. He was received at Royal Malaysian Navy Headquarters by Admiral Tan Sri (Dr.) Zulhelmy bin Ithnain, Chief of the Royal Malaysian Navy, and was accorded a Guard of Honour.

Discussions focused on aligning strategic perspectives and enhancing operational cooperation, capacity building, and coordinated responses to maritime security challenges. Admiral Naveed Ashraf highlighted Pakistan Navy’s contributions to regional stability through Regional Maritime Security Patrols (RMSP) and participation in the 
Combined Maritime Forces (CMF).

The Chief of Naval Staff also visited Malaysia’s National Hydrographic Centre, emphasizing strengthened cooperation with Pakistan’s National Hydrographic Office in training, data exchange, and professional collaboration. The visit reaffirmed the enduring Pakistan-Malaysia naval partnership and commitment to future-oriented maritime cooperation.",https://x.com/PakistanFauj/status/2020420054714843639,neutral,Sun Feb 08 08:50:53 +0000 2026,256,96,30,5493,0.0,436
x,post,2020846980038320342,"Admiral Naveed Ashraf, NI, NI (M), T Bt, Chief of the Naval Staff, #Pakistan Navy paid an official visit to #Malaysia and called on the leadership of the Royal Malaysian Navy. He was received at Royal Malaysian Navy Headquarters by Admiral Tan Sri (Dr.) Zulhelmy bin Ithnain, Chief of the Royal Malaysian Navy, and was accorded a Guard of Honour.

Discussions focused on aligning strategic perspectives and enhancing operational cooperation, capacity building, and coordinated responses to maritime security challenges. Admiral Naveed Ashraf highlighted Pakistan Navy’s contributions to regional stability through Regional Maritime Security Patrols (RMSP) and participation in the 
Combined Maritime Forces (CMF).

The Chief of Naval Staff also visited Malaysia’s National Hydrographic Centre, emphasizing strengthened cooperation with Pakistan’s National Hydrographic Office in training, data exchange, and professional collaboration. The visit reaffirmed the enduring Pakistan-Malaysia naval partnership and commitment to future-oriented maritime cooperation",https://x.com/TeamAsimMunir/status/2020846980038320342,neutral,Mon Feb 09 13:07:20 +0000 2026,19,17,1,56,0.0,37
x,post,2020396399515635942,Thank you #Malaysia for celebrating us as actors and applauding our movie Taj Mahal -An Eternal Love Story by giving it overwhelming love 💕 So grateful and blessed to have such a fabulous audience in another country. 💗💞 for #Malaysia and all the people 🩷 https://t.co/74MOt0YnPb,https://x.com/iampoojabatra/status/2020396399515635942,neutral,Sun Feb 08 07:16:53 +0000 2026,155,5,8,6948,0.0,237
x,post,2020420861837393972,"Thean Hou Temple in Kuala Lumpur, #Malaysia held a lantern lighting ceremony on Saturday to welcome the arrival of the Chinese New Year. #ChineseNewYear #SpringFestival
Pics via CFP https://t.co/VqT9NuhiHg",https://x.com/CCTVAsiaPacific/status/2020420861837393972,neutral,Sun Feb 08 08:54:05 +0000 2026,4,2,0,176,0.0,7
x,post,2020835922124964105,"Kamran Ilyas, a #Pakistan national, came to #Malaysia thinking he would work at a bookshop — but spent about 6 years on death row instead before he was resentenced to 30 years' imprisonment for his #drug #trafficking conviction.

HAYAT received information on 6 February 2026 that Kamran has unfortunately passed away in #Kajang Prison.

We call for an immediate investigation into his death.",https://x.com/hayatlifemy/status/2020835922124964105,neutral,Mon Feb 09 12:23:23 +0000 2026,12,11,1,482,0.0,28
x,post,2020799841383633054,"#Malaysia joined #India in strongly condemning cross-border terrorism, signalling a greater understanding of India’s position on that issue, as PM #NarendraModi said after a bilateral meeting with counterpart #AnwarIbrahim that the message from both countries on terrorism was clear: no double standards, no compromise.

Details here 🔗https://t.co/8p7gapug6W",https://x.com/timesofindia/status/2020799841383633054,neutral,Mon Feb 09 10:00:01 +0000 2026,53,6,1,2047,0.0,80
x,post,2020798236097720453,"Read Andrew Sia's take on the temple issue ...
#Malaysia #Hindu #Temple #NonMuslims https://t.co/VJi3VRSRYx",https://x.com/jameschin110/status/2020798236097720453,neutral,Mon Feb 09 09:53:38 +0000 2026,24,8,2,676,0.0,40
x,post,2017863218572775511,"🇲🇾🇸🇬要我独守空房吗？
#马来西亚 
#新加坡 
#malaysia 
#singapore https://t.co/Xy70FTU4bS",https://x.com/q96532/status/2017863218572775511,neutral,Sun Feb 01 07:30:56 +0000 2026,101,2,7,7324,0.0,183
x,post,2017543042501382401,"“Di sini 200 ringgit terasa biasa saja, tapi di kampung nilainya hampir Rp 1 juta. Rasanya seperti orang kaya karena banyak kebutuhan keluarga yang bisa dipenuhi,” ujar Wasitah.

Baca di: https://t.co/67Qmu4EWbT.

~WR #Ringgit #Indonesia #Malaysia https://t.co/ZOLzmbzWQH",https://x.com/kompascom/status/2017543042501382401,neutral,Sat Jan 31 10:18:40 +0000 2026,557,92,17,22458,0.0,890
x,post,2020719049517461674,"Isri village bank of river jernih Malaysia 
A treat to watch 
#Malaysia #Nature #villagelife #ViralVideos 
#paradiseonearth https://t.co/PgQDmkZjZ4",https://x.com/Words2shar/status/2020719049517461674,neutral,Mon Feb 09 04:38:59 +0000 2026,10,2,3,285,0.0,17
