Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2057799771897966659,"Perangai sebenar PAS PN

Jenis manusia tk sedar diri, masa Bersatu ada duit PAS cari Bersatu tinggalkan Umno atas alasan melayu islam.

Skrg Umno berduit, PAS buat perkara yang sama dekat Bersatu https://t.co/ysRVIJK129",https://x.com/apanakdikato/status/2057799771897966659,neutral,Fri May 22 12:24:32 +0000 2026,114,31,16,3126,0.0,192,227.126,,
x,comment,2057870524563529918,"PAS tak boleh buat kawan kerjasama sama ada formal atau longgar.

Masa MN, dia letak Berjasa sebagai ""Decoy"" dekat Tanjung Piai.
Ingat UMNO Johor bodoh ke?
Orang PAS undi berjasa.

Kalau dia berkawan dengan bukan islam, Calon PN bukan islam lawan islam lain, dia undi yang islam itu.
Padahal bukan islam itu bawa logo PN. 

Dr Dominic Kena getah Macam itulah.",,neutral,1779469541000,8,0,2,0,0.0,14,,Sauffie,0.0
x,comment,2057985558350381566,"@apanakdikato @JambanMafia Benci² aku dekat umno bersatu atas sikap tamak menyakau dan suka perbodohkan melayu, tp dengan PAS ni menyakau + suka bodohkan melayu + agama Allah pun dia tunggang untuk duit kedudukan dan tittle² 

Sedar akan tak banyak duit, dia tau nak kemana nak melacurkan agama untuk duit",,neutral,1779496967000,7,0,0,0,0.0,7,,𝔰𝔞𝔪𝔖 yellowBlue,0.0
x,comment,2057810343339151591,@apanakdikato haha. minggu lepas baru PN keluar kenyataan.. mohon pengerusi PN amk tindakan kt presiden pas. ke bekas tukang bawak beg tak berani? https://t.co/SZsfpn4CGR,,neutral,1779455192000,5,0,0,0,0.0,5,,Tenggiling Bisu,0.0
x,comment,2057877955905527996,@apanakdikato Duri dalam daging simpan buat apa. Org yg senyap2 jumpa belakang nk settle kes x patut wujud.,,neutral,1779471312000,3,1,0,0,0.0,5,,Nama_Aku_Rul,0.0
x,comment,2057998324645646673,@apanakdikato Din Yasin dah kata… parti ajaran sesat…dan skrg sgt jelas,,neutral,1779500011000,3,0,1,0,0.0,6,,MCO2U,0.0
x,comment,2057801930228052075,@apanakdikato @PPBMofficial kena main dengan @PASPusat je lah.. PAS nk geng Hamzah masuk PN..,,neutral,1779453186000,3,0,0,0,0.0,3,,Rasidi Zainal,0.0
x,comment,2057971491137077339,@apanakdikato @JambanMafia Jijik mcm sundal pisau cukur lebay² kepam tu,,neutral,1779493613000,3,0,0,0,0.0,3,,Awan Nano,0.0
x,comment,2058004875418718677,@apanakdikato Pastu ada hati ckp boleh BERSAMA. https://t.co/lvU5CGvcwd,,neutral,1779501572000,2,0,0,0,0.0,2,,FR~,0.0
x,comment,2058066796566192175,@apanakdikato Semua parti majoriti melayu/islam perlu cari titik persamaan dan bersatu atas dasat itu. Parti2 skrg baik Pas atau Umno atau Pkr nmpk hanya mengejar kuasa dan harta. Yg mjadi mangsa: rakyat jelata.,,neutral,1779516335000,1,0,0,0,0.0,1,,TooSayer,0.0
x,comment,2057862516441796798,@apanakdikato Dasar mata duitannnnn...,,neutral,1779467631000,4,0,1,0,0.0,7,,Bro2FaceB🇲🇾,0.0
x,comment,2057824671496552752,@apanakdikato pelacur,,neutral,1779458608000,3,0,0,0,0.0,3,,Artemis.P,0.0
x,comment,2058002360958648425,@apanakdikato Sundal,,neutral,1779500973000,2,0,0,0,0.0,2,,Juruteknik Kömputer⌨️💾,0.0
x,comment,2058145092976906502,@apanakdikato Habis madu sepah dibuang..,,neutral,1779535003000,1,0,0,0,0.0,1,,i_think,0.0
x,comment,2058111306880946309,@apanakdikato #TerimaKasihJasin,,neutral,1779526948000,0,0,0,0,0.0,0,,Icebear Bae 🐻‍❄️,0.0
x,post,2058008702796677212,"PAS sudah pasti akan meninggalkan PN dan seterusnya akan terbubar krn Bersatu dh papa kedana

PAS akan tubuh pakatan baru bersama Pejuang dan Berjasa dan geng SD ( Reset ) tanpa Umno dan Bersatu.

https://t.co/DlPEGqiyHe",https://x.com/apanakdikato/status/2058008702796677212,neutral,Sat May 23 02:14:45 +0000 2026,22,1,8,1449,0.0,45,49.449,,
x,comment,2058011823824404621,"@apanakdikato PAS dah rasa sgt yakin dgn 'gelombang hijau'nya...
maka

seperti biasa (ikut skrip) di era Haji Hadi...
korg semua bole blah‼️
aku nak makan sorg😆

Cumanya..
Fulus tu cukup ke... 
dulu adalah sifat 'zuhud'
skrg era brabus, beemer &amp; vellfire😉",,neutral,1779503229000,3,1,0,0,0.0,5,,farfeel,0.0
