Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
X	X Tweet	1932293251849228584	Quail Hijab - Thafana Casual Daily Hijab | Hijab Instan Jersey | Bergo Dagu Malaysia Size L | Jilbab Non Pet Antem | Hijab Umroh dan Haji | Hijab Kajian Muslimah https://t.co/TsMRfhvcCQ	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.9933	0
X	X Reply	1932293208270385589	"@LilyArtemisTO Perhaps not 
https://t.co/u6QPsp3sHA"	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.9737	0
X	X Reply	1932293204390694982	"@DausAzmi92 @LyonofJudah48 @AviMayer delusional is thinking malaysia has no apartheid when bumiputera exists and because people of all races live side by side when non-malays have less rights than malays 

https://t.co/e8yJYUC4e7"	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.9942	0
X	X Tweet	1932293151827313079	"#NSTBusinessTimes CIMB Securities Sdn Bhd remains cautious about Al-Aqar Healthcare Real Estate Investment Trust's (Al-Aqar Reit) plans to expand beyond Malaysia, citing its lack of a proven track record and familiarity with the overseas markets.

https://t.co/N8qgCVh1FX"	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.8800	0
X	X Reply	1932293102817231309	@DedynurPalakka @DianSandiU @PDemokrat @PDI_Perjuangan Nama Jokowi masih menggaung seirama dengan dosa dan kerusakan yg harus satu persatu diusut dan tuntaskan oleh peguasa negeri setelahnya makanya dia masih ttp keliatan sibuk didunia politik untuk menutupi koreng kebusukannya	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.9635	0
X	X Reply	1932293057434567056	@_wrong_address_ @B3Grand @FaneFlugt Flertallet i Folketinget betragter DK som et indvandreland. Derfor forsøger politikerne at tilpasse dansk lov, så den stemmer mere overnes med de værdier immigranterne kommer med. Et misforstået særhensyn og en gentagelse af 90'ernes politik	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.9883	0
X	X Reply	1932293042171744390	Dengan ini Facundo Garces, Imanol Machuca, Jon Irazabal, Joao Figueiredo dan Rodrigo Holgado bakal membuat penampilan sulung bersama skuad Harimau Malaya kendalian Peter Cklamovski pada perlawanan kedua Kumpulan F, Pusingan Kelayakan Akhir Piala Asia 2027 Arab Saudi itu.	Positive	Jun 10 at 12:28 PM	0	0	0	0	0.9148	0
X	X Tweet	1932293039189598382	"5 PEMAIN WARISAN BAHARU HARIMAU MALAYA DAPAT KELULUSAN FIFA

FAM ingin memaklumkan bahawa kelima-lima pemain warisan baharu skuad Harimau Malaya telah mendapat kelulusan daripada FIFA dan boleh beraksi menentang Vietnam di Stadium Nasional, Bukit Jalil, malam ini. https://t.co/BEui2USJ2c"	Positive	Jun 10 at 12:28 PM	0	0	0	0	0.9788	0
X	X Tweet	1932293019795108035	"Vice President Sara Duterte is leaving for a “personal trip” with her family to Kuala Lumpur, Malaysia a day before the scheduled start of her impeachment trial in the Senate.

READ: https://t.co/3GRcrO8n4Q https://t.co/2UMroaOHXh"	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.9121	0
X	X Reply	1932292992200765716	"@ksampoh @malaysiakini @anthonyloke @JPJ_Malaysia @MOTMalaysia Totally legit ideas — but we need less policy talk, more practical action with urgency. My add-ons:
9. Mandatory seatbelts – on all bus seats, with strict enforcement.
10. Road safety upgrades – better signage, safer routes, emergency-ready hotspots."	Positive	Jun 10 at 12:28 PM	0	0	0	0	0.9578	0
X	X Tweet	1932292989013135716	nohhh seo in guk gik nangga malaysia	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.8703	0
X	X Reply	1932292985288544659	@valmoth1 If Indonesia is Netherlands 2.0. Malaysia literally Argentina 2.0	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.9918	0
X	X Reply	1932292965105312053	@radim_politik Jste jenom “náhodou šel kolem”? 😀	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.9313	0
X	X Reply	1932292949779632241	@Aniq_Rodzi @FAM_Malaysia Sempat ngam2 kalau terus balik. Ngan paling penting, kalau boleh ambil transit yang dekat daripada ambil yang jauh. Contoh, lagi selamat ambil transit kat Masjid Jamek dari ambil Putra Height kalau nak pakai line Kelana Jaya. Takut dia ditamatkan perkhidmatan awal2.	Positive	Jun 10 at 12:28 PM	0	0	0	0	0.9283	0
X	X Tweet	1932292947783118971	nakuha ko for interview, malaysia cutie! ✊🏻🇲🇾	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.8997	0
X	X Tweet	1932292939759431757	"preferences dia only Jalan Alor dan warung2 area KL🤣 typical template tourist dari negara jiran. padahal Malaysia tu ada negeri lain, lain2 negeri lain2 rasa. pastu komen dia macam seluruh Malaysia rasa dia sama.

even burger ramly pon kat Jalan Alor. bosan ah"	Positive	Jun 10 at 12:28 PM	0	0	0	0	0.9801	0
X	X Tweet	1932292938152718432	"....Die Hoffnung auf eine Annäherung zwischen den USA und China in den Handelsgesprächen in London haben am Montag das Börsengeschehen geprägt.....

##nachrichten #politik #wirtschaft #deutschland #börse #wallstreet #usa #finanzen #geldanlage 
https://t.co/aTcdka7tB9"	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.8941	0
X	X Tweet	1932292922885742898	bego bgt ajg, gua udh gabisa berkata2 lagi kalo liat konten politik di tiktok	Negative	Jun 10 at 12:28 PM	0	0	0	0	0.9964	0
X	X Tweet	1932292853616779276	"We can help any purchase at Indonesia

1st hand
- Rent address / INA WH 
- Proxy for shopee tokopedia etc
- Bank transfer
- Worldwide shipping

warehouse service using manual shipping / shopee export Brazil Philippines Malaysia Singapore Thailand 

#IndonesiaProxy #INAWarehouse"	Neutral	Jun 10 at 12:28 PM	0	0	0	0	0.6946	0
