Platform	Type	ID	Text	Sentiment	Date	likes	shares	comments_count	views	sentiment_score	total_engagement
X	X Tweet	1936088039224492349	"Selamat ulang tahun sayangku, gantengku, manisku 🤗🥰

Semoga kamu selalu mendapatkan hal-hal baik dalam setiap usahamu yaa 😍

#재희는_사랑만_받으시면대영
#HAPPY_JAEHEE_DAY
#6月21日の奇跡_ジェヒの_特別な日

🫧💬“대영아 생일축하해 사랑해💚👍🌳🌟💎🍀”

#재희 #ジェヒ #NCTWISH"	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9968	0
X	X Reply	1936083357093576736	@jostae_30 https://t.co/yCtgjXz4aV	Neutral	Jun 21 at 12:14 AM	0	0	0	0	0.9609	0
X	X Tweet	1935979998143492255	Nak tampung beban bayar orang pencen yang takde produktiviti	Negative	Jun 21 at 12:14 AM	0	0	0	0	0.9888	0
X	X Tweet	1935913714529738934	Sekitar Program Turn Around: Shaping UCAM's Future Together dikendalikan oleh YBhg. Dr. Mohd Zulkufli bin Zakaria, Turn Around Expert bagi mempertingkatkan komitmen ke arah pertumbuhan Kolej RISDA &amp;UCAM  selari dengan pembudayaan High Performance Culture (HPC) https://t.co/7V32FLrggc	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9856	0
X	X Tweet	1935904147062374689	"Melalui penyertaan secara sukarela, syarikat yang mengambil bahagian akan menerima sokongan insentif bagi setiap pekerja yang layak, selaras dengan komitmen terhadap peningkatan kemahiran dan produktiviti.

📌 Insentif bulanan:
▪️ RM200 (Pekerja Peringkat Permulaan)
▪️ RM300 (Pekerja Bukan Peringkat Permulaan)
📚 Syarat latihan/PPT: Minimum 21 jam setahun

Satu langkah reformasi ke arah ekosistem pekerjaan yang adil, progresif dan mampan. Ayuh majikan daftar sekarang di  https://t.co/jahcvVwQ8E

#DasarGajiProgresif
 #EkonomiMADANI #KementerianEkonomi 
#MADANIBekerja"	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9968	0
X	X Reply	1935886970980647048	"⚖️ Apa solusinya?
✅ Subsidi gaji / insentif untuk SME
✅ Strukturkan gaji ikut sektor &amp; lokasi
✅ Fokus pada produktiviti, bukan hanya angka
📖 Kupasan penuh di sini:
👉 https://t.co/tTeRu4yPpM

#BuzzNotes #KenaikanGaji #IsuSemasa #PekerjaMalaysia #Majikan2025"	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.8751	0
X	X Reply	1935883013059231821	@Tresia_Risda @BlueprintAIx @_meetp_ @GiveRep The journey of discovery is a path of endless learning@GiveRep	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9929	0
X	X Reply	1935882886961676667	@Tresia_Risda @untouchablesxyz @GiveRep @SuiNetwork Hope is the anchor in the sea of uncertainty@GiveRep	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9695	0
X	X Reply	1935882615946723565	@Tresia_Risda @cro_aggregator @GiveRep Peace is the sanctuary within the heart@GiveRep	Neutral	Jun 21 at 12:14 AM	0	0	0	0	0.9210	0
X	X Reply	1935882597034500424	@Tresia_Risda @ikadotxyz @SuiNetwork @GiveRep Love is the connection that transcends time@GiveRep	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9649	0
X	X Reply	1935882320298578141	@Tresia_Risda @ATTNtoken @GiveRep Hope is the light that guides us home@GiveRep	Positive	Jun 21 at 12:14 AM	0	0	0	0	0.9900	0
