Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
X,Quote Tweet,X001,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-25,42,12,5,565,0.1,59
X,Tweet,X002,madani in Malaysia is really good. Worth trying!,Negative,2026-03-06,162,42,30,2074,0.1,234
X,Reply,X003,Just tried madani - amazing quality and value!,Negative,2026-03-08,75,18,12,535,0.15,105
X,Retweet,X004,Just tried madani - amazing quality and value!,Negative,2026-03-12,143,15,21,1326,0.22,179
X,Reply,X005,Just tried madani - amazing quality and value!,Negative,2026-03-31,132,26,11,1686,0.14,169
X,Quote Tweet,X006,madani in Malaysia is really good. Worth trying!,Negative,2026-03-04,42,5,7,232,0.21,54
X,Reply,X007,Just tried madani - amazing quality and value!,Negative,2026-03-10,48,6,7,641,0.23,61
X,Quote Tweet,X008,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-11,75,18,8,728,0.1,101
X,Reply,X009,madani in Malaysia is really good. Worth trying!,Negative,2026-03-06,116,14,7,1538,0.23,137
X,Retweet,X010,Just tried madani - amazing quality and value!,Negative,2026-03-15,148,43,20,812,0.26,211
X,Retweet,X011,Just tried madani - amazing quality and value!,Negative,2026-03-04,134,33,19,953,0.1,186
X,Retweet,X012,Just tried madani - amazing quality and value!,Negative,2026-03-07,114,14,21,684,0.1,149
X,Retweet,X013,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-08,116,11,7,1311,0.21,134
X,Reply,X014,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-26,202,59,22,2689,0.1,283
X,Retweet,X015,madani in Malaysia is really good. Worth trying!,Negative,2026-03-16,57,10,9,673,0.1,76
X,Quote Tweet,X016,madani in Malaysia is really good. Worth trying!,Negative,2026-03-12,82,9,5,1039,0.22,96
X,Retweet,X017,madani in Malaysia is really good. Worth trying!,Negative,2026-03-17,85,11,8,1177,0.1,104
X,Reply,X018,madani in Malaysia is really good. Worth trying!,Negative,2026-03-03,198,23,24,1346,0.13,245
X,Tweet,X019,madani in Malaysia is really good. Worth trying!,Negative,2026-04-01,76,11,7,822,0.1,94
X,Retweet,X020,Just tried madani - amazing quality and value!,Negative,2026-03-16,82,17,5,467,0.1,104
X,Retweet,X021,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-22,83,8,11,1096,0.1,102
X,Retweet,X022,Just tried madani - amazing quality and value!,Negative,2026-03-24,90,10,11,923,0.1,111
X,Tweet,X023,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-21,123,35,13,1338,0.18,171
X,Reply,X024,madani in Malaysia is really good. Worth trying!,Negative,2026-03-13,82,11,12,621,0.29,105
X,Tweet,X025,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-13,109,11,5,1373,0.3,125
X,Tweet,X026,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-22,122,12,11,1649,0.1,145
X,Retweet,X027,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-19,137,39,24,1814,0.1,200
X,Tweet,X028,madani in Malaysia is really good. Worth trying!,Negative,2026-03-02,172,34,27,932,0.1,233
X,Quote Tweet,X029,madani in Malaysia is really good. Worth trying!,Negative,2026-03-27,190,50,34,982,0.1,274
X,Reply,X030,madani in Malaysia is really good. Worth trying!,Negative,2026-03-29,78,13,10,875,0.21,101
X,Quote Tweet,X031,madani in Malaysia is really good. Worth trying!,Negative,2026-03-21,93,10,6,809,0.1,109
X,Reply,X032,madani in Malaysia is really good. Worth trying!,Negative,2026-03-17,109,19,11,791,0.14,139
X,Quote Tweet,X033,Just tried madani - amazing quality and value!,Negative,2026-03-18,181,23,17,1842,0.26,221
X,Tweet,X034,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-02,171,44,32,1545,0.1,247
X,Retweet,X035,madani in Malaysia is really good. Worth trying!,Negative,2026-04-02,220,37,32,2099,0.1,289
X,Tweet,X036,madani in Malaysia is really good. Worth trying!,Negative,2026-03-12,123,18,19,1809,0.1,160
X,Reply,X037,madani in Malaysia is really good. Worth trying!,Negative,2026-03-24,91,12,9,696,0.18,112
X,Retweet,X038,madani in Malaysia is really good. Worth trying!,Negative,2026-03-28,218,40,16,1490,0.1,274
X,Retweet,X039,madani in Malaysia is really good. Worth trying!,Negative,2026-03-05,149,39,14,1823,0.1,202
X,Quote Tweet,X040,Just tried madani - amazing quality and value!,Negative,2026-03-06,66,11,5,731,0.22,82
X,Reply,X041,madani in Malaysia is really good. Worth trying!,Negative,2026-03-20,73,13,5,908,0.1,91
X,Tweet,X042,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-28,143,24,27,1020,0.1,194
X,Retweet,X043,madani in Malaysia is really good. Worth trying!,Negative,2026-03-17,100,14,5,715,0.1,119
X,Quote Tweet,X044,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-16,71,7,7,534,0.1,85
X,Tweet,X045,Just tried madani - amazing quality and value!,Negative,2026-03-22,67,13,7,995,0.29,87
X,Reply,X046,Just tried madani - amazing quality and value!,Negative,2026-03-26,52,7,7,433,0.29,66
X,Tweet,X047,Just tried madani - amazing quality and value!,Negative,2026-03-11,173,21,22,1638,0.1,216
X,Tweet,X048,madani in Malaysia is really good. Worth trying!,Negative,2026-03-05,90,11,8,932,0.1,109
X,Reply,X049,madani in Malaysia is really good. Worth trying!,Negative,2026-03-10,45,5,6,611,0.1,56
X,Quote Tweet,X050,Great experience with madani! Highly recommended in Malaysia.,Negative,2026-03-06,133,24,10,1667,0.1,167
