Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
x,post,2019793095328506362,"#BernamaNews: IIU capable of conducting PBT election study – Fahmi 

#digitalbernama #AcademicStudies #KualaLumpur https://t.co/aPqut0wX1D",neutral,Fri Feb 06 15:19:34 +0000 2026,0,0,0,182,0.0,1
x,post,2019773960846491731,"General : IIUM Capable Of Conducting PBT Election Study, Says Fahmi https://t.co/itFAiLtvxu",neutral,Fri Feb 06 14:03:32 +0000 2026,0,0,0,4,0.0,0
x,post,2019737429788512517,"@HannZiq PBT election nie basically agenda DAP, cuba cari Deklarasi Setapak 1967. Korang je lupa.",neutral,Fri Feb 06 11:38:22 +0000 2026,0,0,1,295,0.0,3
x,post,2019365925569610074,@Mike_Pence You're the last person I'd consider qualified to speak on election integrity and preserving one man- one vote protections.,neutral,Thu Feb 05 11:02:09 +0000 2026,1,0,0,5,0.0,1
x,post,2019293457844695068,"@kosmo_online Agaknya PBT x buat kajian kesesuaian sbl perlaksanaan. 
Kalaulah ada ahli Majlis PBT yg dipilih rakyat, adalah org yg boleh dipertanggungjawabkan &amp; boleh disingkirkan oleh penduduk masa next local election. Skarang residents berharaplah pada kjn negeri utk ambil tindakan.",neutral,Thu Feb 05 06:14:11 +0000 2026,0,0,0,19,0.0,0
x,post,2019055344853610934,"Dah baca reaksi Dr Samsuri ni so here's my take:

1. Aku tak kisah bab pilihan raya PBT negeri lain dan faham sekmung takut election fatigue. In fact, aku rather suggest guna undi DUN utk kira berapa % parti hantar ahli majlis guna proportional representation (PR) di satu² PBT.",neutral,Wed Feb 04 14:28:01 +0000 2026,1,0,1,26,0.0,2
x,post,2018930257089499147,@Aisehman What majority are you talking about? Have the election laa then we know or not whether people support this proposal. The only people protesting are the loser walauns who know they wont win any PBT elections.,neutral,Wed Feb 04 06:10:57 +0000 2026,3,0,0,35,0.0,3
x,post,2018498703678669261,@UMonline Klu boleh cdgkn sekali election utk ydp2 pbt,neutral,Tue Feb 03 01:36:07 +0000 2026,0,0,0,47,0.0,0
x,post,2018290966755717491,"Personally, aku lagi prefer PBT daripada election Datuk Bandar.

Tapi agak bodoh lah guna argument banyak negara Islam ada

Satu, komposisi etnik dan agama tak sama.

Dua, banyak negara Islam monarki mutlak. Kenapa tak ikut yg itu?",neutral,Mon Feb 02 11:50:39 +0000 2026,18,2,3,813,0.0,31
x,post,2017799948167757902,"@JoJoFromJerz Bet you didn’t think arresting and charging a former president and presidential candidate in an election year was a problem. You were cheering it on. Well, it’s PBT.",neutral,Sun Feb 01 03:19:31 +0000 2026,0,0,0,9,0.0,0
x,post,2013901713288450071,"@Aisehman @mp_ampangjaya naah..

aku pembangkang PBT election 
1) election mahal kot.. satu PRU 1b.. satu PRN ≈100m
2) ur candidate are more likely comes from the same party as ur parliament seat, sama puak, sama mentaliti, sama party doctrine

what WE SHUD DO.. push existing MP to b accountable",neutral,Wed Jan 21 09:09:19 +0000 2026,0,0,3,174,0.0,4
x,post,2007544339447328892,"https://t.co/HRuQhzOznI
St Thomas Petersburg Union Richmond Lynchburg Voorhees Denmark Institute West Virginia Wiley Marshall Winston-Salem Xavier Professor Black Truth MoT PBT Biden President Election",neutral,Sat Jan 03 20:07:23 +0000 2026,2,0,0,140,0.0,3
