Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,2yG4yQoQ2As,"These photos were not created by me, it was created by MBTE. I made using Windows Movie Maker.",https://www.youtube.com/watch?v=2yG4yQoQ2As,neutral,2016-12-11T11:16:18.000Z,14,0,0,2395,0.0,37,16.395,,
youtube,post,oBiy6Zx9Qf0,Bas Mara Liner Scania K410,https://www.youtube.com/watch?v=oBiy6Zx9Qf0,neutral,2024-11-26T20:30:06.000Z,2,0,0,105,0.0,3,2.105,,
youtube,post,CCQ4gKRGabY,"jangan lupa like, subscribe dan turn notification..",https://www.youtube.com/watch?v=CCQ4gKRGabY,neutral,2024-03-20T09:47:22.000Z,3,0,0,19,0.0,3,3.019,,
youtube,post,TkZJNjcIQ0Y,Video Korporat MARA Liner,https://www.youtube.com/watch?v=TkZJNjcIQ0Y,neutral,2022-09-15T07:42:13.000Z,17,0,0,950,0.0,26,17.95,,
youtube,post,sFzy3TC-Vqw,"jngn lupe like , subscribe, share and think noflication
😘",https://www.youtube.com/watch?v=sFzy3TC-Vqw,neutral,2022-03-30T03:11:40.000Z,12,0,0,259,0.0,14,12.259,,
youtube,post,TvtxAqNBzOE,Konvoi MaraLiner di Alor Setar,https://www.youtube.com/watch?v=TvtxAqNBzOE,neutral,2022-07-23T13:51:10.000Z,2,0,0,341,0.0,5,2.341,,
youtube,post,eB_Osw0W-1k,BAS MARA LINER TANJONG MALIM,https://www.youtube.com/watch?v=eB_Osw0W-1k,neutral,2023-01-11T04:47:09.000Z,17,0,0,1876,0.0,35,18.876,,
youtube,post,Cp3ci7dOZSY,Maraliner.. 😂 😂,https://www.youtube.com/watch?v=Cp3ci7dOZSY&list=RDCp3ci7dOZSY&start_radio=1,neutral,2021-06-16T15:24:07.000Z,3,0,0,42,0.0,3,3.042,,
youtube,post,oHNqoEMOhb0,"Pada 16 Mac 2022, saya telah membeli tiket bas ekspres dari syarikat MARALINER di Melaka Sentral untuk menuju ke Terminal Bersepadu Selatan, Kuala Lumpur.

Ini adalah pertama kali saya menaiki bas dua tingkat dari MARALINER. Harga tiketnya ialah RM13.50 ( termasuk insuran penumpang ).

Kerusi dan kusyennya lebih selesa bagi perjalanan jauh atau yang tersekat di dalam kesesakan lebuhraya. Pada masa diskripsi ini ditaip, lebuhraya telah mula sesak di kawasan Pedas - Linggi (1.20 petang).

#maraliner #basekspres #lebuhrayautaraselatan",https://www.youtube.com/watch?v=oHNqoEMOhb0,neutral,2022-03-16T05:51:37.000Z,11,0,0,2390,0.0,34,13.39,,
youtube,post,9_LBdliFhic,MaraLiner Kuala Nerang@Bonus Express Cosmic BQA 9999,https://www.youtube.com/watch?v=9_LBdliFhic,neutral,2023-01-31T12:51:03.000Z,8,0,0,1757,0.0,25,9.757,,
