platform,content,sentiment_score,engagement,url,date
tiktok,LAGENDA MARA HOLDING SDN BHD kini dibawakan oleh MARA LINER GROUP teman destinasi anda hak milik zon timur pengkalan Chini Pahang menawarkan perkhidmatan yang lebih baik dan lebih efisien dengan pesaw,0.999383932352066,213,https://www.tiktok.com/@pengangkutanawam/video/7625491649241599239,2026-05-19 13:41:40.233539
instagram,"Today marks 8 years since I seen Taylor live for the first time at the rep tour 🥺🖤 truly so unforgettable never will forget the joy and the happiness that soared through my body that day, so magical🖤✨",0.9968271434307098,4,https://www.instagram.com/p/DYgVhdblJsR/,2026-05-19 03:31:55+00:00
x,"Beg adik saya yg hilang , beg warna kelabu .. Beg galas saiz sederhana 

Kalau sesiapa ada hilang beg warna ungu (brand Astars), atau terambil beg galas warna silver saiz sederhana plss contact me ASA",0.9963911950588226,3,nan,nan
facebook,So pretty 💕 good morning 😊,0.9963830411434174,7,nan,2026-05-18 00:24:40+00:00
facebook,#BestCrew #FriendsTrip #NatureMood #WeekendFun #TravelGoals #SquadEnergy #HappyTayo #MemoriesMade,0.9956639766693114,0,nan,2026-05-18 06:03:52+00:00
facebook,#BestCrew #FriendsTrip #NatureMood #WeekendFun #TravelGoals #SquadEnergy #HappyTayo #MemoriesMade,0.9956639766693114,0,nan,2026-05-18 06:03:52+00:00
facebook,Good Morning Madam 🥰,0.9951308608055114,8,nan,2026-05-17 22:36:34+00:00
facebook,"Little wins, big smiles. 🎉",0.9951033234596252,0,https://www.facebook.com/UragonsDe/posts/pfbid0ihMWCvuXUjB5GEEDcdPg6zgoD9ZLjMG2XFnXaye721WZZBBPGjQb9vYchQaC6ebql,nan
facebook,"🌊✨ Soft breeze, calm waves, and beautiful skies. Nothing beats relaxing by the sea with good company. Simple, peaceful, and absolutely perfect. Grateful for these quiet, happy moments by the water 🧡🌴
",0.9950318157672882,0,https://www.facebook.com/permalink.php?story_fbid=pfbid02y6NcE554X7cDMWi6QA2EifV2MaE57anAZPYHgXXK9FiWXorhSd9q6eGsbqvvoS8dl&id=61583166745704,nan
facebook,"🌊✨ Soft breeze, calm waves, and beautiful skies. Nothing beats relaxing by the sea with good company. Simple, peaceful, and absolutely perfect. Grateful for these quiet, happy moments by the water 🧡🌴
",0.9950318157672882,0,nan,2026-05-19 00:32:49+00:00
facebook,"“Click subscribe and never miss a moment of positivity!”😍🙏
Thank you in advance♥️
.
.
. https://www.facebook.com/61587285192349/subscribenow?surface=pinned_comments",0.9936152338981628,3,nan,2026-05-17 22:27:07+00:00
facebook,End the day with a grateful heart 🩷🤍🩶,0.9922616481781006,0,https://www.facebook.com/lrhian.s/posts/pfbid02TLXVCYdjLKepQnW9cvq8kuTZxMVLoB41pcKcDXJ6TeG5SL5ZVUxwtz2ZGjEmSmFCl,nan
facebook,End the day with a grateful heart 🩷🤍🩶,0.9922616481781006,7,nan,2026-05-18 11:49:28+00:00
facebook,End the day with a grateful heart 🩷🤍🩶,0.9922616481781006,0,https://www.facebook.com/lrhian.s/posts/pfbid02TLXVCYdjLKepQnW9cvq8kuTZxMVLoB41pcKcDXJ6TeG5SL5ZVUxwtz2ZGjEmSmFCl,nan
facebook,End the day with a grateful heart 🩷🤍🩶,0.9922616481781006,7,nan,2026-05-18 11:49:28+00:00
