platform,content,engagement,likes,comments,shares,sentiment,url,date
Unknown,,0,0,0,0,0.0005061864852905495,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.14248646199703216,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.13686544597148895,,
Unknown,,0,0,0,0,0.09391102194786072,,
Unknown,,0,0,0,0,0.0006642580032348855,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0005037724971771462,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.12949184775352476,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0005018055438995583,,
Unknown,,0,0,0,0,0.8245992749929427,,
Unknown,,0,0,0,0,0.006537026166915871,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.8937230467796325,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.08748439550399781,,
Unknown,,0,0,0,0,0.04954217076301576,,
Unknown,,0,0,0,0,0.054452526569366444,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0005002319812774658,,
Unknown,,0,0,0,0,0.0004862666130066029,,
Unknown,,0,0,0,0,0.9993961811065672,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.14066565334796904,,
Unknown,,0,0,0,0,0.9802919328212738,,
Unknown,,0,0,0,0,0.13437539488077163,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.03971358239650724,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.18772737532854078,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.14028736799955369,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0004918277263641357,,
Unknown,,0,0,0,0,0.0004804551601410023,,
Unknown,,0,0,0,0,0.8993073925375938,,
Unknown,,0,0,0,0,0.9994097888469695,,
Unknown,,0,0,0,0,0.0005026280879974476,,
Unknown,,0,0,0,0,0.0644109070301056,,
Unknown,,0,0,0,0,0.0005099594593048207,,
Unknown,,0,0,0,0,0.0644109070301056,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0005099594593048207,,
Unknown,,0,0,0,0,0.059294754266738886,,
Unknown,,0,0,0,0,0.0005116045475005992,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0644109070301056,,
Unknown,,0,0,0,0,0.0005084037780761497,,
Unknown,,0,0,0,0,0.9659509479999542,,
Unknown,,0,0,0,0,0.0004804551601410023,,
Unknown,,0,0,0,0,0.00842512249946592,,
Unknown,,0,0,0,0,0.0005128204822540394,,
Unknown,,0,0,0,0,0.0005099594593048207,,
Unknown,,0,0,0,0,0.0004934012889862283,,
Unknown,,0,0,0,0,0.07629348635673522,,
Unknown,,0,0,0,0,0.10555538535118103,,
Unknown,,0,0,0,0,0.0004951357841491699,,
Unknown,,0,0,0,0,0.0006867170333862416,,
Unknown,,0,0,0,0,0.0013647615909576638,,
Unknown,,0,0,0,0,0.10555538535118103,,
Unknown,,0,0,0,0,0.0004807412624359131,,
Unknown,,0,0,0,0,0.0004984974861145242,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.08122365474700927,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0005090117454528698,,
Unknown,,0,0,0,0,0.0005175232887267844,,
Unknown,,0,0,0,0,0.000498318672180198,,
Unknown,,0,0,0,0,0.8642047822475433,,
Unknown,,0,0,0,0,0.8627428710460663,,
Unknown,,0,0,0,0,0.0006171047687530407,,
Unknown,,0,0,0,0,0.0005111753940582053,,
Unknown,,0,0,0,0,0.0005006611347198597,,
Unknown,,0,0,0,0,0.0005035936832428201,,
Unknown,,0,0,0,0,0.0004987478256225364,,
Unknown,,0,0,0,0,0.0005024135112762229,,
Unknown,,0,0,0,0,0.5,,
Unknown,,0,0,0,0,0.0004987478256225364,,
Unknown,,0,0,0,0,0.0005024135112762229,,
Unknown,,0,0,0,0,0.000510317087173473,,
Unknown,,0,0,0,0,0.000508689880371116,,
Unknown,,0,0,0,0,0.0007591009140014426,,
Unknown,,0,0,0,0,0.0005018413066864014,,
Unknown,,0,0,0,0,0.0004852294921874889,,
Unknown,,0,0,0,0,0.0005116760730743408,,
