platform,content,engagement,likes,comments,shares,sentiment,url,date
instagram,"Minta pihak berkuasa pantau lebih ketat lepas ni.

#RON95 #Singapura #MinyakSubsidi #JohorBahru #IsuSemasa",9767,8598.0,1169.0,0,neutral,https://www.instagram.com/p/DM7UqUyJGqJ/,2025-08-04 08:47:09+00:00
youtube,"Get your BUDI95 with CaltexGO. Simply link your TNG eWallet account and enjoy instant fuel savings every pump!

Learn More https://www.caltex.com/my/caltex-rewa....",1932,3.0,0,0,positive,https://www.youtube.com/watch?v=s2c2f2ZFUs0,2025-09-29 05:45:01+00:00
youtube,"Many people ask, how is it possible to get RM1.95 per litre?

Let's say you want to fill RM50 of BUDI95 petrol, this would give you 25.12 litres.

With the Boost Bank cashback, you receive a 2% (RM1),",1254,4.0,0,0,neutral,https://www.youtube.com/watch?v=JjMcghmK9ng,2025-10-21 06:00:07+00:00
instagram,"Patutnya minyak subsidi ni hanya rakyat Malaysia je yang layak nikmati, macam mana boleh terlepas kat tangan orang lain

#kuali260420 #minyakpaket #minyaksubsidi",1223,1173.0,50.0,0,negative,https://www.instagram.com/p/DXVLh7gjVi3/,2026-04-19 23:02:08+00:00
instagram,"Belum hilang dari ingatan soal kasus BBM oplosan, masyarakat kembali dibuat gusar dengan ditemukannya ketidaksesuaian antara label botol dengan isi dari minyak goreng keluaran Kementerian Perdagangan,",436,417.0,19.0,0,negative,https://www.instagram.com/p/DHIZIuFztgP/,2025-03-13 07:28:01+00:00
instagram,"Polda NTB melalui jajaran Polresta Mataram berhasil mengungkap praktik curang pengemasan ulang “MinyaKita”, minyak goreng subsidi yang tidak sesuai volume takaran resmi. Tersangka berinisial INPA, pem",373,372.0,1.0,0,negative,https://www.instagram.com/p/DMMiCLkzVaG/,2025-07-17 04:39:42+00:00
instagram,"Disperindag Tulungagung melakukan uji sampel Minyakita yang diedarkan di Tulungagung. Hasilnya, minyak goreng merek Minyakita yang beredar di Tulungagung sudah sesuai takaran.

Siti Mahmudah, Kabid Pe",290,290.0,0,0,negative,https://www.instagram.com/p/DHIGFzlPZvJ/,2025-03-13 04:41:36+00:00
instagram,Satgas Pangan Polres Blitar Kota masih menemukan minyak goreng merek Minyakita yang volumenya tidak sesuai dengan ukuran pada kemasan sebesar satu liter. Temuan ini ada di salah satu pasar tradisional,252,252.0,0,0,neutral,https://www.instagram.com/p/DHKobWmqlTq/,2025-03-14 04:20:08+00:00
instagram,"Pemandu kereta dengan nombor pendaftaran Singapura tular kerana didakwa mengisi petrol subsidi RON95 dengan menyembunyikan sebahagian huruf di plat nombor supaya kelihatan seperti kenderaan tempatan.
",200,184.0,16.0,0,negative,https://www.instagram.com/p/DTCqY_LCbGO/,2026-01-03 08:20:05+00:00
instagram,Penindakan terus berjalan! ⚖️👊 Pemerintah dan aparat bergerak cepat menindak kecurangan dalam distribusi #Minyakita. Evaluasi sistem dan pengawasan diperketat demi subsidi yang lebih tepat sasaran. 💪🔥,108,106.0,2.0,0,positive,https://www.instagram.com/p/DHk5tlSvvng/,2025-03-24 09:11:25+00:00
instagram,"Yang pernah mengira kulit makin berminyak itu gara-gara dehidrasi, angkat tangannya!!

Aku juga akan ikut angkat tangan karena aku pernah percaya ini. Lama-lama jadi ragu karena kenapa kulit masih aja",92,91.0,1.0,0,negative,https://www.instagram.com/p/DXHBB1qEtpe/,2026-04-14 11:00:00+00:00
youtube,Deputy Finance Minister Liew Chin Tong says that Budi95’s use goes beyond subsidy management and should also be seen as a “demand management” tool.,80,27.0,0,0,neutral,https://www.youtube.com/watch?v=3hK9-9cKYMQ,2026-05-12 10:35:11+00:00
instagram,"Pastikan tidak ada Pelangsir minyak bersubsidi, Tim Gabungan Polres Merangin melakukan pengecekan kendaraan industri yang melakukan pengisian Bahan Bakar Minyak Bersubsidi. 

#poldajambi 
#polresmeran",36,36.0,0,0,neutral,https://www.instagram.com/p/DOvme-OgSzj/,2025-09-18 12:34:48+00:00
youtube,"Ready to hit the road with savings? With CaltexGO, getting your BUDI95 subsidy is faster, easier, and smarter than ever. 

Just tap, pump, and GO — no hassle, no waiting.

✅ Instant BUDI95 redemption
",36,3.0,0,0,positive,https://www.youtube.com/watch?v=AslsIQI1Qb0,2025-10-23 02:57:46+00:00
instagram,Satgas Pangan Polres Madiun turun langsung ke pasar tradisional untuk mengecek takaran minyak goreng subsidi. Langkah ini dilakukan guna memastikan distribusi minyak sesuai aturan dan mencegah potensi,21,20.0,1.0,0,positive,https://www.instagram.com/p/DHLkxcfzpYx/,2025-03-14 13:07:25+00:00
youtube,"#BuletinBernama : Penjualan petrol RON97 akan diteruskan seperti biasa dan kekal sebagai bahan api utama untuk kenderaan nombor berdaftar asing, serta masih tidak dibenarkan untuk membeli petrol RON95",21,10.0,0,0,neutral,https://www.youtube.com/watch?v=3A78f3cWbIs,2025-09-23 12:58:44+00:00
instagram,"Sejumlah pedagang di Pasar Badak, Kabupaten Pandeglang, memilih enggan menjual minyak goreng bersubsidi MinyaKita. Hal ini dipicu seringnya keluhan dari pembeli akibat harga jual yang tidak sesuai den",19,17.0,2.0,0,negative,https://www.instagram.com/p/DXyUPClk7Lr/,2026-05-01 06:35:38+00:00
