platform,post_content,comment_content,engagement,sentiment,date
youtube,,RM 3.2 billion a year. Very good PMX👍🏻,71414,positive,NaT
youtube,,We Malaysians still should be happy with petrol subsidies although they reduce the quota. Compared to all other countries including our neighboring countries they have to endure price increase.,4088,neutral,NaT
youtube,,Petronas should start importing oil and fertiliser from russia. They have a pacific ocean port that exports oil.  Russia also sell their oil at a discount - around 20% off.,1855,neutral,NaT
youtube,,"Aku sokong Mat Rempit protes dan nak buat demo. Polis bagi kebenaran atau permit utk mereka demo. Lepas tu sorang² cek, dia bawa motor ada lesen tak. Kalau x de sita terus motor dia.",1400,negative,NaT
youtube,,"hey government! why don't you fully optimized the public transports, with more rapid trips, and cover more areas",1322,neutral,NaT
youtube,,"Forget subsidies for a second, do we even have sufficient oil coming in to refine ? All of our neighbors are having shortages",1100,negative,NaT
youtube,,Budi madani dikurangkan rakyat boleh paham. Tapi korup sprm serta mafia koporat itu kami tak boleh terima.,1100,negative,NaT
youtube,,Keluarkan lah data petronas berapa untung bersih petronas export minyak masa ni.tak yahj nak sorok sorok,900,neutral,NaT
youtube,,X kisah nk kurangkan. Janji telus jgn tipu2.,822,neutral,NaT
youtube,,"Lack of enforcement, tu yang jadikan isu ketirisan subsidi sangat teruk..merugikan negara dan rakyat.",811,negative,NaT
youtube,,penyeludupan tetap berlaku sbb 2.60 masih jauh lebih murah pd harga negara² jiran..jadi stesyen minyak jgn tutup mata..,711,negative,NaT
youtube,,300 liter sbulan utk hr biasa ok..tp klu hr perayaan blk kg + kegunaan harian lebih 300 liter..😢😢,700,negative,NaT
youtube,,First time saya nampak abang Nazz buat podcats dengan Abang Gan lepas ini Abang Nazz buat podcats dengan Abang Jaapar dari mekanika boleh ye abang Nazz,611,positive,NaT
youtube,,Tahap respect aku kat abg gan meningkat secara mendadak.. Well said abg gan...,600,positive,NaT
youtube,,"Xpe lah...aku naik basikal je lah, xyah fikir pasal minyak😂😂",500,neutral,NaT
youtube,,"Kalau penggunaan minyak korang kurang dalam RM 600 sebulan,confirm cukup. Ada lagi kuota isteri atau ahli keluarga lain. So takyah sembang lah kalau tak cukup.

Tapi ehailing, runner yg guna kereta me",500,negative,NaT
youtube,,Apa boleh buat. Minyak krisis terpaksa rakyat akur keputusan kerajaan untuk masa depan rakyat,422,negative,NaT
youtube,,"Host dan tetamu sama² bijak dalam isu subsidi petrol ni.

Terbaik!",411,positive,NaT
youtube,,Alhamdulillah akhirnya turun juga,400,positive,NaT
youtube,,alhamdulilah kerajaan perihatin rakyat malaysia,400,positive,NaT
