platform,content,sentiment_score,engagement,url,date
instagram,"MARA LINER PERKUKUH MOBILITI LUAR BANDAR MENERUSI PROGRAM SBST BAS.MY KANGAR

KANGAR, 28 Julai 2025 – Sebagai anak syarikat MARA Corporation, penglibatan MARA Liner Sdn Bhd dalam Program Transformasi ",0.9994120776653289,8,https://www.instagram.com/p/DMrCsKzzTHZ/,2025-07-29 01:02:16+00:00
instagram,"🎊 SELAMAT MENYAMBUT ULANG TAHUN kE-12 MARALINER 🎊

Genap 12 tahun MARALINER menjadi penyedia pengangkutan awam yang menjadi penghubung mobiliti rakyat di Malaysia. 

Setinggi-tinggi penghargaan diucap",0.9994085371494292,21,https://www.instagram.com/p/DKVle-vBJLJ/,2025-06-01 00:00:00+00:00
instagram,"MARALINER kembali lagi sebagai pengangkutan rasmi ASTAF Sepaktakraw Asian Cup 2025! ☄️

Korang yg nak turun support pasukan kegemaran korang kat Stadium Titiwangsa tunggu ape lagi? Naik je shuttle bas",0.9994080722331999,18,https://www.instagram.com/p/DJa0VWLhBkO/,2025-05-09 04:14:48+00:00
x,Saya meneruskan hari di Shanghai ini dengan menyaksikan majlis menandatangani Memorandum Persefahaman antara SKS CoachBuilders Sdn Bhd dan CRRC Electric Vehicle Co. Ltd serta Memorandum Persetujuan an,0.9994077682495117,22,https://x.com/DrZahidHamidi/status/1794993794599014793,2024-05-27 07:27:24+00:00
instagram,"Untuk semua insan hebat yg kami panggil Ayah, Abah, Baba, Daddy, Abi dan banyak lagi ❤️🫶🏻 

Terima kasih Ayah aka bank bergerak, DBKL, cinta pertama anak perempuan, pilot & hero di hati kami.

Bukan s",0.9994072675704955,13,https://www.instagram.com/p/DK5opRuhInw/,2025-06-15 00:00:00+00:00
instagram,"Tahniah, semoga pelantikan dapat mengukuhkan UMNO dan limpahan manfaat disalurkan kepada akar umbi",0.9994069099426268,0,nan,2026-01-07 10:33:18+00:00
instagram,"Terima kasih Acik!

Pendaftaran dan penyerahan kad konsesi kepada warga emas yang juga mak-mak kita di Sekolah Kebangsaan Tanggol.

Alhamdulillah, hebahan telah diperluaskan dan mereka antara yang ter",0.9994059801101685,2,https://www.instagram.com/p/DOVeisvgZYW/,2025-09-08 09:05:09+00:00
tiktok,"Tahniah Maraliner 
“Dengan penuh rasa syukur, kita meraikan kehadiran bas baharu ini. Semoga ia menjadi simbol kemajuan dan komitmen dalam memberikan perkhidmatan terbaik.”
“Semoga setiap perjalanan d",0.9994054436683655,1119,https://www.tiktok.com/@afzainizamusop/video/7636725463343238407,2026-05-24 00:40:15.711004
instagram,"Ayuh rakyat jelata, sama-sama kita menyelusuri Majlis Anugerah Penghargaan kepada para pendekar kita yang telah berjuang sehabis baik, sepenuh semangat yang ada untuk berbakti kepada semua.

Jangan lu",0.9994042992591857,7,https://www.instagram.com/p/DSj71hLgQAX/,2025-12-22 09:56:04+00:00
instagram,"Cuti dok rumah je??? BOOOOORINGGG!!!! 😜 Molek lagi join trip MARALINER jale2 KL @ Melaka 🚍

Plan last minit ni selalu kompom jadi. Soooo geng, pilih la... nok sia2kan cuti atau cuci mata mesra poket d",0.9994042992591857,2,https://www.instagram.com/p/DPBPadMEzaT/,2025-09-25 08:59:32+00:00
instagram,"Selamat Menyambut Hari Malaysia 2025 🇲🇾 

Malaysia Madani, Rakyat Disantuni

Bersama-sama kita raikan Hari Malaysia dengan penuh rasa bangga dan semangat perpaduan. Ayuhlah kita tingkatkan lagi kesepa",0.9994026005268096,5,https://www.instagram.com/p/DOpGm8rAWbl/,2025-09-16 00:00:50+00:00
instagram,"10112025
Route TBS - DUTA - IPOH - PARIT BUNTAR - SERDANG - KULIM
Bas tronton MAN ni memang mantap. Terowong Meru santai je redah
Keselesaan : 5*
Pemanduan : 5*
Kondisi bas : 5*
Pemandu merokok? Tidak",0.9994013845920562,0,https://www.instagram.com/p/DQ9jAStDwDk/,2025-11-12 15:36:33+00:00
instagram,"SELAMAT MENYAMBUT HARI KEMERDEKAAN MALAYSIA KALI KE-68 🇲🇾

Selamat Hari Kebangsaan ke-68 kepada semua rakyat Malaysia. Marilah kita bersama-sama meraikan hari yang penuh bermakna ini dengan penuh keaz",0.9994007408618926,5,https://www.instagram.com/p/DN_zFVUD1wv/,2025-08-30 23:01:21+00:00
instagram,"Kadang-kadang min ada juga dpt soalan mcm “Bas Maraliner boleh hantar barang ke?”

Okayy untuk makluman semua penumpang kesayangan kita, kita TAK ADA buat servis penghantaran barang yaa~ 🥰 Bas ekspres",0.9994006693363189,5,https://www.instagram.com/p/DI-UfipBiBI/,2025-04-28 02:37:50+00:00
instagram,"𝐒𝐀𝐋𝐀𝐌 𝐍𝐔𝐙𝐔𝐋 𝐀𝐋-𝐐𝐔𝐑𝐀𝐍 𝟏𝟒𝟒𝟕𝐇 🌙📖

Hari memperingati peristiwa agung yang melambangkan kebesaran mukjizat suci Al - Quran kurniaan Allah SWT, yang diturunkan melalui Malaikat Jibril kepada Rasulullah SAW ",0.9993999540805816,6,https://www.instagram.com/p/DVirI5bCWhJ/,2026-03-06 11:45:07+00:00
instagram,"✨🧧𝗦𝗲𝗹𝗮𝗺𝗮𝘁 𝗧𝗮𝗵𝘂𝗻 𝗕𝗮𝗿𝘂 𝗖𝗶𝗻𝗮 𝟮𝟬𝟮𝟲! 🧧✨
MARALINER mengucapkan Selamat Tahun Baru Cina kepada seluruh rakyat Malaysia khususnya yang meraikannya.

Semoga tahun baru ini membawa sinar kebahagiaan, kesihatan ",0.9993992745876312,4,https://www.instagram.com/p/DU0THJziR23/,2026-02-16 11:30:06+00:00
x,"Selepas merasmikan Majlis Anugerah Pendidik MARA 2024, saya mengambil peluang untuk melawat dan melihat sendiri operasi MARA Liner disini.

Saya amat berbangga dengan peranan yang dimainkan oleh MARA ",0.9993992745876312,9,https://x.com/DrZahidHamidi/status/1808831982916546909,2024-07-04 11:55:25+00:00
tiktok,"Bas pinky-pinky untuk warga perlis & terengganu…nantikan kemunculan bas henti-henti @maralinersdnbhd yg baru untuk keselesaan anda…jangan lupa share and see u soon guyss🫰🏻😁🚌😎
#maraliner
#KAMIMARALINER",0.9993981122970581,23481,https://www.tiktok.com/@jiji_hotari/video/7460441422131367175,2026-05-24 00:40:21.656941
instagram,"Alhamdulillah ..

Ada di sini.
Semoga semua berjalan lancar

#basmy
#KadKonsesi 
#apad 
#maraliner",0.9993967175483702,0,https://www.instagram.com/p/DO42D_rAVoI/,2025-09-22 02:44:06+00:00
instagram,"Srs laa RM7 je?! 

Betul tuuuu harga dah turun guys!!! Hanya untuk laluan Hentian Pekeliling ke Raub, setiap hari ISNIN hingga JUMAAT, pada 5.30 PETANG je tauuu. Yang penting kena naik MARALINER dan p",0.9993951082229613,7,https://www.instagram.com/p/DIh8ST6ByAC/,2025-04-17 02:07:34+00:00
tiktok,"📣 Haa, berita baik orang Perlis! Kini kami ada laluan baru untuk mudahkan perjalanan hampa semua! 🚍❤

Jadi, jom naik bas dan tag kawan-kawan yang patut tau pasai laluan baru ni! 💬✨    

#JomNaikBas #L",0.9993944108486175,6,https://www.tiktok.com/@wan_bdkperlisbukitjalil/video/7432090254854704392,2026-05-24 00:40:17.032458
instagram,"🕋 SELAMAT HARI RAYA AIDILADHA 🕋

Selamat Hari Raya AidilAdha kepada umat Islam di seluruh dunia.

Bagi jemaah haji tahun ini, semoga beroleh haji yang mabrur dan sempurna disisi Allah SWT. 

#MARALine",0.999394017457962,11,https://www.instagram.com/p/DKjv2CdhEan/,2025-06-06 12:00:00+00:00
instagram,"MARALINER komited menyediakan perkhidmatan pengangkutan yang selamat, efisien dan mampan untuk semua.

HAPPY WORLD PUBLIC TRANSPORT DAY! Terima kasih kerana memilih kami 🚌🚌💕💝💖

#MARALINER #MARACORP #I",0.9993936955928802,13,https://www.instagram.com/p/DXOScLVge0g/,2026-04-17 07:00:01+00:00
x,"𝐏𝐞𝐫𝐤𝐡𝐢𝐝𝐦𝐚𝐭𝐚𝐧 𝐁𝐚𝐬 𝐏𝐞𝐫𝐜𝐮𝐦𝐚 𝐤𝐞 𝐌𝐚𝐣𝐥𝐢𝐬 𝐑𝐮𝐦𝐚𝐡 𝐓𝐞𝐫𝐛𝐮𝐤𝐚 𝐋𝐞𝐛𝐚𝐫𝐚𝐧 𝐊𝐚𝐬𝐢𝐡 𝐀𝐢𝐝𝐢𝐥𝐟𝐢𝐭𝐫𝐢

Bagi memudahkan kehadiran anda ke Majlis Rumah Terbuka Lebaran Kasih Aidilfitri, perkhidmatan bas perantara dan bas Maraliner",0.9993936598300933,7,https://x.com/DrZahidHamidi/status/1910499392408429054,2025-04-11 01:05:25+00:00
instagram,"“PEKERJA KESUMA BANGSA”

Keluarga Besar MARALINER mengucapkan Selamat Hari Pekerja kepada seluruh rakyat Malaysia dan  setinggi-tinggi penghargaan kepada kakitangan atas segala usaha dan komitmen luar",0.9993932664394378,9,https://www.instagram.com/p/DJFw0dvhmar/,2025-05-01 00:00:00+00:00
facebook,"Kurang daripada 18 hari je lagi utk korang grab harga RM20 KL-PENANG or PENANG-KL ni! 

Lepastu? Harga back to normal la sahabat 😌

Dapatkan sekarang di semua platform ticketing🔥

#maraliner #basekspr",0.999392408132553,0,https://www.facebook.com/reel/1180850293846101/,NaT
instagram,"✨𝗦𝗲𝗹𝗮𝗺𝗮𝘁 𝗠𝗲𝗻𝘆𝗮𝗺𝗯𝘂𝘁 𝗛𝗮𝗿𝗶 𝗪𝗶𝗹𝗮𝘆𝗮𝗵 𝗣𝗲𝗿𝘀𝗲𝗸𝘂𝘁𝘂𝗮𝗻 𝟮𝟬𝟮𝟲✨
Hari untuk kita raikan keunikan, kemakmuran dan perpaduan yang menyatukan kita semua. Marilah kita bersama-sama terus memupuk semangat keharmonian dem",0.9993922293186187,2,https://www.instagram.com/p/DULGZQjD2BO/,2026-01-31 11:30:06+00:00
instagram,"Selamat Menyambut Ulang Tahun Kelahiran YBhg. Dato’ Wira Dr. Asyraf Wajdi bin Dato’ Dusuki, Pengerusi MARA. Semoga YBhg. Dato’ Wira sentiasa diberi kesihatan yang baik, dilimpahkan keberkatan, dan ter",0.9993921935558319,6,https://www.instagram.com/p/DYTO5xWh1xu/,2026-05-14 01:31:04+00:00
instagram,"Rezeki naik bas dari TBS balik Penang dapat harga Diskaun RM20 sahaja sehala.
Tambah insurans RM1. Total RM21.
Fuh!! Jimat Jimat.

Bas mana?
Semestinya #MaraLiner.
Kebetulan pula mmg kerja dgn anak sy",0.9993921220302582,0,https://www.instagram.com/p/DLhn1Jxgro-/,2025-06-30 12:43:01+00:00
instagram,"✨Selamat Ulang Tahun Ke-60 MARA ✨

Enam dekad menjunjung amanah, MARA terus
merakyat demi masa depan anak bangsa.

Semoga MARA kekal teguh sebagai tunjang utama dalam memperkasakan anak bangsa dan mem",0.999391084909439,7,https://www.instagram.com/p/DVUX_z9kwLe/,2026-02-28 22:32:33+00:00
instagram,"📚 Selamat Menyambut Hari Guru 2025

 “Guru Pemacu Reformasi Pendidikan”

Terima kasih kerana menjadi tulang belakang kepada usaha reformasi pendidikan negara. Setinggi-tinggi penghargaan kepada semua ",0.9993896722793578,4,https://www.instagram.com/p/DJsf1rQBcAp/,2025-05-16 01:02:02+00:00
x,"IKM Kuala Lumpur mengucapkan setinggi – tinggi terima kasih serta penghargaan kepada MARA Liner Sdn Bhd, Yayasan Pelajaran Mara dan Terus Maju Services Sdn Bhd atas bimbingan terutama sekali dalam mer",0.9993883132934569,0,https://x.com/tvetmara_kl/status/1737302394856440143,2023-12-20 02:42:23+00:00
instagram,"🇲🇾 MARALINER x EASYBOOK MERDEKA PROMO 🎉
Raikan semangat Merdeka dengan penjimatan hebat!
Gunakan kod promo 𝐌𝐄𝐑𝐃𝐄𝐊𝐀𝟔𝟖 dan nikmati diskaun 𝗥𝗠 𝟲.𝟴𝟬 untuk setiap tempahan! 🚌💨

📅 Tempoh Promosi: 4 Ogos – 2",0.9993882775306702,1,https://www.instagram.com/p/DNDh4YfvwhD/,2025-08-07 13:16:36+00:00
tiktok,"Kami mohon maaf untuk insiden yang berlaku. Kami mengaku khilaf kami dan penerangan kedua belah pihak juga telah kami ambil. 

Cadangan dan sokongan daripada anda yang membawa kami , kepada siapa kami",0.9993877053260802,4883,https://www.tiktok.com/@maralinersdnbhd/video/7281288831863688455,2026-05-24 00:40:12.021830
instagram,"Selamat Ulang Tahun ke-12 MARA Liner!

Tahniah kepada seluruh warga MARA Liner atas 12 tahun komitmen dalam menyediakan perkhidmatan pengangkutan yang selamat, cekap dan berintegriti untuk rakyat Mala",0.9993874192237853,8,https://www.instagram.com/p/DKV6uiRTPw7/,2025-06-01 03:05:51+00:00
instagram,"𝐒𝐄𝐒𝐈 𝐓𝐎𝐖𝐍𝐇𝐀𝐋𝐋 𝐌𝐀𝐑𝐀𝐋𝐈𝐍𝐄𝐑 𝟐𝟎𝟐𝟔

MARA Liner Sdn. Bhd. (MLSB) telah mengadakan Sesi Townhall 2026 yang berlangsung di Ibu Pejabat dan disertai secara dalam talian oleh seluruh cawangan MLSB di seluruh Mal",0.9993864893913269,13,https://www.instagram.com/p/DVfAknFD-gy/,2026-03-05 01:35:26+00:00
instagram,"🚍🔧𝗛𝗲𝗮𝘃𝘆 𝗩𝗲𝗵𝗶𝗰𝗹𝗲 𝗔𝗽𝗽𝗿𝗲𝗻𝘁𝗶𝗰𝗲𝘀𝗵𝗶𝗽 𝗣𝗿𝗼𝗴𝗿𝗮𝗺 (𝗛𝗩𝗔𝗣) 𝗧𝗩𝗘𝗧 𝗠𝗔𝗥𝗔𝗟𝗶𝗻𝗲𝗿 🔧🚍

Tahniah buat Muhammad Nur Izzuddin Shah Bin Amiruddin (DGP Sem 3), Uthman Alif Bin Maisul Nisyam (TAK Sem 6) dan Mohamad Naufal Bin Hal",0.9993863463401793,46,https://www.instagram.com/p/DOAHtEQia_9/,2025-08-31 02:01:32+00:00
instagram,"Selamat Menyambut Ulang Tahun Kelahiran YBhg. Dato’ Wira Dr. Asyraf Wajdi bin Dato’ Dusuki, Pengerusi MARA. Semoga YBhg. Dato’ Wira sentiasa diberi kesihatan yang baik, dilimpahkan keberkatan, dan ter",0.9993858098983763,7,https://www.instagram.com/p/DJnjC1LBahO/,2025-05-14 02:53:51+00:00
instagram,"Min perlukan vote dari korggggg !!!! 😱🚌

Congkak ke Batu Seremban? Korg nak tengok abam2 kapten bas main yang mana 👀 kita tgk nnti diorg power ke idokk, atau power bawak bas je 🤪

#kaptenbas #mini #ch",0.9993857383728026,6,https://www.instagram.com/p/DQ3t2AygRCe/,2025-11-10 09:15:49+00:00
instagram,"Selamat Menyambut Ulang Tahun Kelahiran kepada Ketua Pengarah Majlis Amanah Rakyat (MARA), YBhg. Dato' Zulfikri Osman. Semoga YBhg. Dato' dikurniakan kesihatan yang baik, dipermudahkan segala urusan d",0.9993857026100158,4,https://www.instagram.com/p/DPAykeoE_PA/,2025-09-25 04:47:30+00:00
x,"“Kami telah menghubungi penumpang terbabit bagi menzahirkan permohonan maaf dan rasa kesal.”

#AWANInews #AWANI745

https://t.co/0S2wxnzIsu",0.9993842542171478,4707,https://x.com/501Awani/status/1705533045502365906,2023-09-23 10:42:19+00:00
instagram,"✨🌙𝐒𝐄𝐋𝐀𝐌𝐀𝐓 𝐌𝐄𝐍𝐘𝐀𝐌𝐁𝐔𝐓 𝐁𝐔𝐋𝐀𝐍 𝐑𝐀𝐌𝐀𝐃𝐀𝐍 𝐀𝐋-𝐌𝐔𝐁𝐀𝐑𝐀𝐊 𝟏𝟒𝟒7𝐇/ 𝟐𝟎𝟐6𝐌 ✨🌙
Daripada Abu Hurairah RA, bahawa Nabi SAW bersabda yang bermaksud: “𝘉𝘢𝘳𝘢𝘯𝘨𝘴𝘪𝘢𝘱𝘢 𝘺𝘢𝘯𝘨 𝘣𝘦𝘳𝘱𝘶𝘢𝘴𝘢 𝘥𝘪 𝘣𝘶𝘭𝘢𝘯 𝘙𝘢𝘮𝘢𝘥𝘢𝘯 𝘥𝘦𝘯𝘨𝘢𝘯 𝘱𝘦𝘯𝘶𝘩 𝘬𝘦𝘪𝘮𝘢𝘯𝘢𝘯 𝘥𝘢𝘯 𝘱𝘦",0.9993840396404265,7,https://www.instagram.com/p/DU5IG6tgUeC/,2026-02-18 08:30:09+00:00
instagram,"Mungkin dah tiba masanya untuk “dia” pergi hmmm 🥲😣
Selamat tinggal sbb harini je tinggal untuk korg pergi borong semua tiket TENGAH!!!! 

Srs min bagi last min deal utk korang SPECIALLL PUNYERRRRR!! 👀",0.9993830740451812,0,https://www.instagram.com/p/DQd630hAZWO/,2025-10-31 08:49:25+00:00
instagram,"TAHNIAH MALAYSIA JUARA SEPAKTAKRAW REGU PIALA ASIA 2025

15 Mei 2025 - Selepas kejayaan Pasukan Quadrant Sepak Takraw Kebangsaan menumbangkan Pasukan Jepun, Kali ini, Pasukan Regu Sepaktakraw Kebangsa",0.9993830025196075,20,https://www.instagram.com/p/DJsw6K4h1D3/,2025-05-16 03:31:12+00:00
