platform,post_content,comment_content,engagement,sentiment,date
x,,@KDEBWaste @BinSabari @SinarOnline TQ... will do it tomorrow...,1,neutral,NaT
instagram,,actv,0,positive,2026-05-24 14:53:17+00:00
instagram,,actv,0,positive,2026-05-24 13:27:18+00:00
instagram,,Actv,0,positive,2026-05-24 07:48:46+00:00
instagram,,actv,0,positive,2026-05-24 05:09:32+00:00
instagram,,Actv,0,positive,2026-05-24 04:54:12+00:00
instagram,,actv,0,positive,2026-05-24 03:35:26+00:00
instagram,,actv,0,positive,2026-05-24 02:59:12+00:00
instagram,,On,0,positive,2026-05-24 02:49:26+00:00
instagram,,actv,0,positive,2026-05-24 02:18:43+00:00
instagram,,actv,0,positive,2026-05-24 00:33:34+00:00
instagram,,actv,0,positive,2026-05-23 23:54:08+00:00
instagram,,actv,0,positive,2026-05-23 15:45:25+00:00
instagram,,actv,0,positive,2026-05-23 13:55:33+00:00
instagram,,actv,0,positive,2026-05-23 13:27:22+00:00
instagram,,actv,0,positive,2026-05-23 13:25:33+00:00
instagram,,actv,0,positive,2026-05-23 11:39:21+00:00
instagram,,actvv,0,positive,2026-05-23 11:22:22+00:00
instagram,,Actv,0,positive,2026-05-23 10:58:38+00:00
instagram,,actv,0,positive,2026-05-23 10:24:27+00:00
instagram,,actv,0,positive,2026-05-23 10:14:55+00:00
instagram,,Actv,0,positive,2026-05-23 09:59:52+00:00
instagram,,actv,0,positive,2026-05-23 09:39:12+00:00
instagram,,actv,0,positive,2026-05-23 07:14:06+00:00
instagram,,actv,0,positive,2026-05-23 06:50:41+00:00
instagram,,actv,0,positive,2026-05-23 06:30:22+00:00
instagram,,actv,0,positive,2026-05-23 06:28:13+00:00
instagram,,actv,0,positive,2026-05-23 06:20:41+00:00
instagram,,actv,0,positive,2026-05-23 06:16:14+00:00
instagram,,actv,0,positive,2026-05-23 05:36:59+00:00
instagram,,actv,0,positive,2026-05-23 05:26:41+00:00
instagram,,actv,0,positive,2026-05-23 04:23:30+00:00
instagram,,actv,0,positive,2026-05-23 04:10:49+00:00
instagram,,actv,0,positive,2026-05-23 04:08:15+00:00
instagram,,actv,0,positive,2026-05-23 04:07:03+00:00
instagram,,actv,0,positive,2026-05-23 04:05:55+00:00
instagram,,actv,0,positive,2026-05-23 04:03:30+00:00
instagram,,actv,0,positive,2026-05-23 03:28:18+00:00
instagram,,actv,0,positive,2026-05-23 03:14:36+00:00
instagram,,on,0,positive,2026-05-23 03:02:10+00:00
instagram,,actv,0,positive,2026-05-23 02:43:22+00:00
instagram,,actv,0,positive,2026-05-23 02:42:32+00:00
instagram,,actv,0,positive,2026-05-23 02:42:02+00:00
instagram,,actv,0,positive,2026-05-23 02:36:29+00:00
instagram,,actv,0,positive,2026-05-23 02:35:51+00:00
instagram,,actv,0,positive,2026-05-23 02:28:35+00:00
instagram,,actv,0,positive,2026-05-23 01:36:26+00:00
instagram,,actv,0,positive,2026-05-23 01:07:43+00:00
instagram,,actv,0,positive,2026-05-23 00:51:02+00:00
instagram,,actv,0,positive,2026-05-23 00:50:30+00:00
instagram,,actv,0,positive,2026-05-23 00:37:10+00:00
instagram,,actv,0,positive,2026-05-23 00:28:29+00:00
instagram,,actv,0,positive,2026-05-23 00:27:34+00:00
instagram,,actv,0,positive,2026-05-23 00:27:02+00:00
instagram,,actv,0,positive,2026-05-23 00:18:42+00:00
instagram,,actv,0,positive,2026-05-23 00:08:08+00:00
instagram,,actv,0,positive,2026-05-23 00:07:32+00:00
instagram,,actv,0,positive,2026-05-22 23:51:35+00:00
instagram,,actv,0,positive,2026-05-22 23:45:17+00:00
instagram,,Actv,0,positive,2026-05-22 23:41:48+00:00
instagram,,actv,0,positive,2026-05-22 23:34:16+00:00
instagram,,actv,0,positive,2026-05-22 23:25:56+00:00
instagram,,actv,0,positive,2026-05-22 23:22:04+00:00
instagram,,Actv,0,positive,2026-05-22 23:17:20+00:00
instagram,,actv,0,positive,2026-05-22 23:09:26+00:00
instagram,,actv,0,positive,2026-05-22 23:08:47+00:00
instagram,,actv,0,positive,2026-05-22 23:05:46+00:00
instagram,,on/actv,0,positive,2026-05-22 23:00:54+00:00
instagram,,actv,0,positive,2026-05-22 22:59:29+00:00
instagram,,actv,0,positive,2026-05-22 22:57:29+00:00
instagram,,actv,0,positive,2026-05-22 22:55:37+00:00
instagram,,on,0,positive,2026-05-22 22:52:46+00:00
instagram,,actv,0,positive,2026-05-22 22:43:37+00:00
instagram,,actv,0,positive,2026-05-22 22:38:47+00:00
instagram,,actv,0,positive,2026-05-22 22:38:22+00:00
instagram,,actv,0,positive,2026-05-22 22:29:23+00:00
instagram,,actv,0,positive,2026-05-22 22:26:24+00:00
instagram,,actv,0,positive,2026-05-22 22:14:53+00:00
instagram,,on,0,positive,2026-05-22 21:41:41+00:00
instagram,,actv,0,positive,2026-05-22 21:11:47+00:00
instagram,,actv,0,positive,2026-05-22 20:02:55+00:00
instagram,,actv,0,positive,2026-05-22 20:00:59+00:00
instagram,,actv,0,positive,2026-05-22 19:50:50+00:00
instagram,,actv,0,positive,2026-05-22 19:49:26+00:00
instagram,,actv,0,positive,2026-05-22 19:03:53+00:00
instagram,,Actv,0,positive,2026-05-22 18:54:43+00:00
instagram,,actv,0,positive,2026-05-22 17:34:23+00:00
instagram,,actv,0,positive,2026-05-22 16:53:05+00:00
instagram,,actv,0,positive,2026-05-22 16:45:35+00:00
instagram,,actv,0,positive,2026-05-22 15:51:53+00:00
instagram,,actv,0,positive,2026-05-22 15:40:32+00:00
instagram,,actv,0,positive,2026-05-22 15:29:45+00:00
instagram,,actv,0,positive,2026-05-22 15:27:32+00:00
instagram,,actv,0,positive,2026-05-22 15:20:13+00:00
instagram,,Actv,0,positive,2026-05-24 06:26:03+00:00
instagram,,actv,0,positive,2026-05-24 00:16:27+00:00
instagram,,actv,0,positive,2026-05-23 03:30:56+00:00
instagram,,actv,0,positive,2026-05-23 01:16:47+00:00
instagram,,Actv,0,positive,2026-05-22 14:12:11+00:00
instagram,,actv,0,positive,2026-05-22 12:04:13+00:00
