platform,post_content,comment_content,engagement,sentiment,date
facebook,,PAS PIS PUS jgn mimpi Rafizi akan bersama2 mereka. Rafizi sudah kenal perangai dan tindak tanduk PAS PIS PUS yg bermulut manis tetapi sifat perkauman PAS PIS PUS tetap ada. Negara ini yg mempunyai rak,12,negative,2026-05-24 10:35:53+00:00
facebook,,PPBM ni dulu lagi dah sejak penubuhan nya ramai duk kata level Ular Lidi shj….nak lagak terus jadi Ular Sawa besar payah lah….🤔🤔,5,neutral,2026-05-24 03:34:32+00:00
x,,https://t.co/QBrZwXWei4,5,neutral,NaT
x,,"Pas kaji semula hubungan dengan Bersatu - Abdul Hadi
https://t.co/GbISHsNaS4",4,positive,NaT
x,,@SinarOnline Ambillah bekas MP Bersatu utk tambah jumlah. Juga pandangan pekat tak sesuai. Cairkan lah pendirian bukan erti prinsip di ketepikan.,3,negative,NaT
facebook,,"PAS hanya mampu menunggang atas ugama je, Tak mampu bangunkan negara pun.😂",2,negative,2026-05-22 18:13:37+00:00
x,,"@SinarOnline Pas asyik kawen cerai je.. kawen dgn Dap, kawen dgn pkr,kawen umno, kawen dgn besatu last sekali kawen sesama sendiri",2,neutral,NaT
x,,@SinarOnline https://t.co/ZGgLLCFNjW,2,neutral,NaT
facebook,,Terbaik.....,1,neutral,2026-05-23 03:46:28+00:00
x,,"#BeritaFMT Seorang penganalisis berkata Bersatu, Gerakan dan MIPP akhirnya akan berpisah dengan PN jika PAS terus mengukuhkan cengkamannya dalam gabungan itu.

Artikel Penuh: https://t.co/7W3Cv7eA0o",1,neutral,NaT
x,,"KOMUNITI ROHINGYA SELAYANG ‘CEMAR’ IBADAH KORBAN AIDILADHA

BERBEZA pula sambutan Hari Raya Aidiladha di sekitar Jalan Besar Selayang Baru menyaksikan ibadah korban mencetuskan rasa kurang senang dala",1,positive,NaT
x,,@SinarOnline https://t.co/FrAiQFmRQn,1,neutral,NaT
x,,"@SinarOnline PAS harus bergabung dengan UMNO, brotherhood made in heaven",1,positive,NaT
tiktok,,pas,1,positive,2026-05-28 14:31:57.094665
tiktok,,pas,1,positive,2026-05-28 14:31:57.711174
tiktok,,pas,1,positive,2026-05-28 14:31:58.280323
tiktok,,pas,1,positive,2026-05-28 14:31:58.940056
tiktok,,pas,1,positive,2026-05-28 14:31:59.554750
tiktok,,pas,1,positive,2026-05-28 14:32:00.169262
tiktok,,pas,1,positive,2026-05-28 14:32:00.797013
tiktok,,pas,1,positive,2026-05-28 14:32:01.367958
tiktok,,pas,1,positive,2026-05-28 14:32:01.972707
tiktok,,pas,1,positive,2026-05-28 14:32:02.565683
tiktok,,pas,1,positive,2026-05-28 14:32:03.174863
tiktok,,pas,1,positive,2026-05-28 14:32:03.855136
tiktok,,pas,1,positive,2026-05-28 14:32:04.241762
tiktok,,pas,1,positive,2026-05-28 14:32:04.586972
tiktok,,pas,1,positive,2026-05-28 14:32:04.944092
tiktok,,pas,1,positive,2026-05-28 14:32:05.347879
tiktok,,pas,1,positive,2026-05-28 14:32:05.686181
tiktok,,pas,1,positive,2026-05-28 14:32:06.021659
tiktok,,pas,1,positive,2026-05-28 14:32:06.415058
tiktok,,pas,1,positive,2026-05-28 14:32:06.751906
tiktok,,pas,1,positive,2026-05-28 14:32:07.093153
tiktok,,pas,1,positive,2026-05-28 14:32:07.439646
tiktok,,pas,1,positive,2026-05-28 14:32:07.820718
tiktok,,pas,1,positive,2026-05-28 14:32:08.157388
tiktok,,pas,1,positive,2026-05-28 14:32:08.511490
tiktok,,pas,1,positive,2026-05-28 14:32:08.873623
tiktok,,pas,1,positive,2026-05-28 14:32:09.221969
tiktok,,pas,1,positive,2026-05-28 14:32:09.592437
tiktok,,pas,1,positive,2026-05-28 14:32:09.925072
tiktok,,pas,1,positive,2026-05-28 14:32:10.300855
tiktok,,pas,1,positive,2026-05-28 14:32:10.674549
tiktok,,pas,1,positive,2026-05-28 14:32:11.016818
tiktok,,pas,1,positive,2026-05-28 14:32:11.358104
tiktok,,pas,1,positive,2026-05-28 14:32:11.712393
tiktok,,pas,1,positive,2026-05-28 14:32:12.062162
tiktok,,pas,1,positive,2026-05-28 14:32:12.428859
tiktok,,pas,1,positive,2026-05-28 14:32:12.771644
tiktok,,pas,1,positive,2026-05-28 14:32:13.107660
tiktok,,pas,1,positive,2026-05-28 14:32:13.466631
tiktok,,pas,1,positive,2026-05-28 14:32:13.842037
tiktok,,pas,1,positive,2026-05-28 14:32:14.198200
tiktok,,pas,1,positive,2026-05-28 14:32:14.628436
tiktok,,pas,1,positive,2026-05-28 14:32:14.972946
tiktok,,pas,1,positive,2026-05-28 14:32:15.329016
tiktok,,pas,1,positive,2026-05-28 14:32:15.743333
tiktok,,pas,1,positive,2026-05-28 14:32:16.158394
tiktok,,pas,1,positive,2026-05-28 14:32:16.496559
tiktok,,pas,1,positive,2026-05-28 14:32:16.860927
tiktok,,pas,1,positive,2026-05-28 14:32:17.189803
tiktok,,pas,1,positive,2026-05-28 14:32:17.533686
tiktok,,pas,1,positive,2026-05-28 14:32:17.856856
tiktok,,pas,1,positive,2026-05-28 14:32:18.199318
tiktok,,pas,1,positive,2026-05-28 14:32:18.544587
tiktok,,pas,1,positive,2026-05-28 14:32:18.869046
tiktok,,pas,1,positive,2026-05-28 14:32:19.220721
tiktok,,pas,1,positive,2026-05-28 14:32:19.564723
tiktok,,pas,1,positive,2026-05-28 14:32:19.893030
tiktok,,pas,1,positive,2026-05-28 14:32:20.240616
tiktok,,pas,1,positive,2026-05-28 14:32:20.641434
tiktok,,pas,1,positive,2026-05-28 14:32:21.027464
tiktok,,pas,1,positive,2026-05-28 14:32:21.366521
tiktok,,pas,1,positive,2026-05-28 14:32:21.725337
tiktok,,pas,1,positive,2026-05-28 14:32:22.083622
tiktok,,pas,1,positive,2026-05-28 14:32:22.406864
tiktok,,pas,1,positive,2026-05-28 14:32:22.739240
tiktok,,pas,1,positive,2026-05-28 14:32:23.101036
tiktok,,pas,1,positive,2026-05-28 14:32:23.418531
tiktok,,pas,1,positive,2026-05-28 14:32:23.753155
tiktok,,pas,1,positive,2026-05-28 14:32:24.070171
tiktok,,pas,1,positive,2026-05-28 14:32:24.453004
tiktok,,pas,1,positive,2026-05-28 14:32:24.771188
tiktok,,pas,1,positive,2026-05-28 14:32:25.154480
tiktok,,pas,1,positive,2026-05-28 14:32:25.515410
tiktok,,pas,1,positive,2026-05-28 14:32:25.835594
tiktok,,pas,1,positive,2026-05-28 14:32:26.206801
tiktok,,pas,1,positive,2026-05-28 14:32:26.584769
tiktok,,pas,1,positive,2026-05-28 14:32:26.944843
tiktok,,pas,1,positive,2026-05-28 14:32:27.310910
tiktok,,pas,1,positive,2026-05-28 14:32:27.656163
tiktok,,pas,1,positive,2026-05-28 14:32:28.007338
tiktok,,pas,1,positive,2026-05-28 14:32:28.328934
tiktok,,pas,1,positive,2026-05-28 14:32:28.654978
tiktok,,pas,1,positive,2026-05-28 14:32:29.025509
tiktok,,pas,1,positive,2026-05-28 14:32:29.362708
tiktok,,pas,1,positive,2026-05-28 14:32:29.743146
tiktok,,pas,1,positive,2026-05-28 14:32:30.116631
tiktok,,pas,1,positive,2026-05-28 14:32:30.457758
